Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,sirna,tissue,cell type,chip antibody
SRR18054567,42402836,3222615536,76,1125,SRX14206564,GSM5904790,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028659,SAMN26000287,simple,9606,Homo sapiens,GSM5904790,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,siNC#1,Breast invasive carcinoma,MCF7,siNC#1,,,
SRR18054566,38522815,2927733940,76,1026,SRX14206565,GSM5904791,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028660,SAMN26000286,simple,9606,Homo sapiens,GSM5904791,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,siNC#2,Breast invasive carcinoma,MCF7,siNC#2,,,
SRR18054565,52708632,4005856032,76,1398,SRX14206566,GSM5904792,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028662,SAMN26000285,simple,9606,Homo sapiens,GSM5904792,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,siNC#3,Breast invasive carcinoma,MCF7,siNC#3,,,
SRR18054564,38621996,2935271696,76,1027,SRX14206567,GSM5904793,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028661,SAMN26000284,simple,9606,Homo sapiens,GSM5904793,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,siLINC00992#1,Breast invasive carcinoma,MCF7,siLINC00992#1,,,
SRR18054563,58425850,4440364600,76,1552,SRX14206568,GSM5904794,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028663,SAMN26000283,simple,9606,Homo sapiens,GSM5904794,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,siLINC00992#2,Breast invasive carcinoma,MCF7,siLINC00992#2,,,
SRR18054562,42810812,3253621712,76,1131,SRX14206569,GSM5904795,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028664,SAMN26000282,simple,9606,Homo sapiens,GSM5904795,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,siLNC00992#3,Breast invasive carcinoma,MCF7,siLNC00992#3,,,
SRR18054561,27287809,1379960598,50,600,SRX14206570,GSM5904796,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028665,SAMN26000281,simple,9606,Homo sapiens,GSM5904796,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,siNC2#1,Breast invasive carcinoma,MCF7,siNC2#1,,,
SRR18054560,25824939,1305988072,50,567,SRX14206571,GSM5904797,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028666,SAMN26000280,simple,9606,Homo sapiens,GSM5904797,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,siNC2#2,Breast invasive carcinoma,MCF7,siNC2#2,,,
SRR18054559,28089224,1420511029,50,617,SRX14206572,GSM5904798,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028667,SAMN26000279,simple,9606,Homo sapiens,GSM5904798,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,siNC2#3,Breast invasive carcinoma,MCF7,siNC2#3,,,
SRR18054558,27501706,1390839557,50,605,SRX14206573,GSM5904799,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028669,SAMN26000278,simple,9606,Homo sapiens,GSM5904799,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,siGATA3#1,Breast invasive carcinoma,MCF7,siGATA3#1,,,
SRR18054557,27226229,1376871484,50,598,SRX14206574,GSM5904800,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028668,SAMN26000277,simple,9606,Homo sapiens,GSM5904800,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,siGATA3#2,Breast invasive carcinoma,MCF7,siGATA3#2,,,
SRR18054556,26490127,1339667753,50,585,SRX14206575,GSM5904801,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028670,SAMN26000276,simple,9606,Homo sapiens,GSM5904801,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,siGATA3#3,Breast invasive carcinoma,MCF7,siGATA3#3,,,
SRR18054555,15155039,1151782964,76,595,SRX14206576,GSM5904802,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028671,SAMN26000275,simple,9606,Homo sapiens,GSM5904802,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,MCF7-Day 0 R1,Breast invasive carcinoma,MCF7,,,,
SRR18054554,13157892,999999792,76,517,SRX14206577,GSM5904803,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028673,SAMN26000274,simple,9606,Homo sapiens,GSM5904803,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,MCF7-Day 0 R2,Breast invasive carcinoma,MCF7,,,,
SRR18054553,14589379,1108792804,76,573,SRX14206578,GSM5904804,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028672,SAMN26000273,simple,9606,Homo sapiens,GSM5904804,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,MCF7-Day 0 R3,Breast invasive carcinoma,MCF7,,,,
SRR18054552,9746201,740711276,76,383,SRX14206579,GSM5904805,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028674,SAMN26000272,simple,9606,Homo sapiens,GSM5904805,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,MCF7-Day 21 R1,Breast invasive carcinoma,MCF7,,,,
SRR18054551,15412751,1171369076,76,606,SRX14206580,GSM5904806,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028675,SAMN26000271,simple,9606,Homo sapiens,GSM5904806,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,MCF7-Day 21 R2,Breast invasive carcinoma,MCF7,,,,
SRR18054550,10092816,767054016,76,397,SRX14206581,GSM5904807,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028676,SAMN26000270,simple,9606,Homo sapiens,GSM5904807,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,MCF7-Day 21 R3,Breast invasive carcinoma,MCF7,,,,
SRR18054549,161870989,8255420439,51,3269,SRX14206582,GSM5904808,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028677,SAMN26000269,simple,9606,Homo sapiens,GSM5904808,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,MCF7 RPF R1,Breast invasive carcinoma,MCF7,,,,
