Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,material,treatment,genotype,GEO Accession
SRR13712415,16587868,845981268,51,278,SRX10101199,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258232,SAMN17918128,simple,9606,Homo sapiens,GSM5082429,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_Ctrl_IN_rep1,HCT116,Input,PBS,wild type,GSM5082429
SRR13712427,16680018,850680918,51,279,SRX10101203,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258237,SAMN17918010,simple,9606,Homo sapiens,GSM5082441,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_Ctrl_IN_rep2,HCT116,Input,PBS,wild type,GSM5082441
SRR13712428,16231618,827812518,51,275,SRX10101204,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258236,SAMN17918139,simple,9606,Homo sapiens,GSM5082442,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_Ctrl_RPF_rep2,HCT116,ribosome-protected fragments,PBS,wild type,GSM5082442
SRR13712429,15222264,776335464,51,254,SRX10101205,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258238,SAMN17918138,simple,9606,Homo sapiens,GSM5082443,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_NCS_IN_rep2,HCT116,Input,neocarzinostatin (4 h),wild type,GSM5082443
SRR13712430,16759814,854750514,51,283,SRX10101206,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258239,SAMN17918137,simple,9606,Homo sapiens,GSM5082444,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_NCS_RPF_rep2,HCT116,ribosome-protected fragments,neocarzinostatin (4 h),wild type,GSM5082444
SRR13712431,16333259,832996209,51,272,SRX10101207,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258241,SAMN17918136,simple,9606,Homo sapiens,GSM5082445,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_Ctrl_IN_rep2,HCT116,Input,PBS,TP53-/-,GSM5082445
SRR13712432,14556675,742390425,51,247,SRX10101208,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258240,SAMN17918135,simple,9606,Homo sapiens,GSM5082446,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_Ctrl_RPF_rep2,HCT116,ribosome-protected fragments,PBS,TP53-/-,GSM5082446
SRR13712433,16807138,857164038,51,280,SRX10101209,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258242,SAMN17918134,simple,9606,Homo sapiens,GSM5082447,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_NCS_IN_rep2,HCT116,Input,neocarzinostatin (4 h),TP53-/-,GSM5082447
SRR13712434,16407974,836806674,51,275,SRX10101210,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258243,SAMN17918133,simple,9606,Homo sapiens,GSM5082448,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_NCS_RPF_rep2,HCT116,ribosome-protected fragments,neocarzinostatin (4 h),TP53-/-,GSM5082448
SRR13712439,35500789,1810540239,51,622,SRX10101215,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258250,SAMN17918008,simple,9606,Homo sapiens,GSM5082453,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_Ctrl_RPF_rep3,HCT116,ribosome-protected fragments,PBS,wild type,GSM5082453
SRR13712440,28274408,1441994808,51,489,SRX10101216,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258248,SAMN17918007,simple,9606,Homo sapiens,GSM5082454,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_Ctrl_IN_rep3,HCT116,Input,PBS,wild type,GSM5082454
SRR13712441,34916690,1780751190,51,607,SRX10101217,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258249,SAMN17918006,simple,9606,Homo sapiens,GSM5082455,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_NCS_RPF_rep3,HCT116,ribosome-protected fragments,neocarzinostatin (4 h),wild type,GSM5082455
SRR13712442,31282004,1595382204,51,555,SRX10101218,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258251,SAMN17918005,simple,9606,Homo sapiens,GSM5082456,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_NCS_IN_rep3,HCT116,Input,neocarzinostatin (4 h),wild type,GSM5082456
SRR13712443,34758899,1772703849,51,604,SRX10101219,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258252,SAMN17918004,simple,9606,Homo sapiens,GSM5082457,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_Ctrl_RPF_rep3,HCT116,ribosome-protected fragments,PBS,TP53-/-,GSM5082457
SRR13712444,37205193,1897464843,51,647,SRX10101220,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258253,SAMN17918003,simple,9606,Homo sapiens,GSM5082458,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_Ctrl_IN_rep3,HCT116,Input,PBS,TP53-/-,GSM5082458
SRR13712445,39166635,1997498385,51,678,SRX10101221,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258254,SAMN17918002,simple,9606,Homo sapiens,GSM5082459,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_NCS_RPF_rep3,HCT116,ribosome-protected fragments,neocarzinostatin (4 h),TP53-/-,GSM5082459
SRR13712446,36728392,1873147992,51,640,SRX10101222,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258255,SAMN17918001,simple,9606,Homo sapiens,GSM5082460,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_NCS_IN_rep3,HCT116,Input,neocarzinostatin (4 h),TP53-/-,GSM5082460
SRR13712447,31778436,1620700236,51,553,SRX10101223,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258256,SAMN17918000,simple,9606,Homo sapiens,GSM5082461,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_Ctrl_RPF_rep4,HCT116,ribosome-protected fragments,PBS,wild type,GSM5082461
SRR13712448,36907815,1882298565,51,640,SRX10101224,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258257,SAMN17917999,simple,9606,Homo sapiens,GSM5082462,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_Ctrl_IN_rep4,HCT116,Input,PBS,wild type,GSM5082462
SRR13712449,34454451,1757177001,51,595,SRX10101225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258258,SAMN17917998,simple,9606,Homo sapiens,GSM5082463,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_NCS_RPF_rep4,HCT116,ribosome-protected fragments,neocarzinostatin (4 h),wild type,GSM5082463
SRR13712450,39220859,2000263809,51,679,SRX10101226,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258259,SAMN17917997,simple,9606,Homo sapiens,GSM5082464,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_NCS_IN_rep4,HCT116,Input,neocarzinostatin (4 h),wild type,GSM5082464
SRR13712451,39347979,2006746929,51,682,SRX10101227,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258260,SAMN17917996,simple,9606,Homo sapiens,GSM5082465,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_Ctrl_RPF_rep4,HCT116,ribosome-protected fragments,PBS,TP53-/-,GSM5082465
SRR13712452,33403614,1703584314,51,595,SRX10101228,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258261,SAMN17917995,simple,9606,Homo sapiens,GSM5082466,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_Ctrl_IN_rep4,HCT116,Input,PBS,TP53-/-,GSM5082466
SRR13712453,36323031,1852474581,51,628,SRX10101229,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258262,SAMN17918130,simple,9606,Homo sapiens,GSM5082467,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_NCS_RPF_rep4,HCT116,ribosome-protected fragments,neocarzinostatin (4 h),TP53-/-,GSM5082467
SRR13712454,35187465,1794560715,51,616,SRX10101230,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258263,SAMN17918129,simple,9606,Homo sapiens,GSM5082468,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_NCS_IN_rep4,HCT116,Input,neocarzinostatin (4 h),TP53-/-,GSM5082468
SRR13712416,18323596,934503396,51,307,SRX10101231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258264,SAMN17918127,simple,9606,Homo sapiens,GSM5082430,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_Ctrl_RPF_rep1,HCT116,ribosome-protected fragments,PBS,wild type,GSM5082430
SRR13712417,19974027,1018675377,51,333,SRX10101232,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258265,SAMN17918126,simple,9606,Homo sapiens,GSM5082431,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_NCS_IN_rep1,HCT116,Input,neocarzinostatin (4 h),wild type,GSM5082431
SRR13712418,18769142,957226242,51,313,SRX10101233,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258267,SAMN17918125,simple,9606,Homo sapiens,GSM5082432,GEO,SRA1196414,04,2022,Hisaoka,HCT116,WT_NCS_RPF_rep1,HCT116,ribosome-protected fragments,neocarzinostatin (4 h),wild type,GSM5082432
SRR13712419,14646310,746961810,51,244,SRX10101234,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258266,SAMN17918087,simple,9606,Homo sapiens,GSM5082433,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_Ctrl_IN_rep1,HCT116,Input,PBS,TP53-/-,GSM5082433
SRR13712420,18692309,953307759,51,313,SRX10101235,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258268,SAMN17918017,simple,9606,Homo sapiens,GSM5082434,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_Ctrl_RPF_rep1,HCT116,ribosome-protected fragments,PBS,TP53-/-,GSM5082434
SRR13712421,20738309,1057653759,51,348,SRX10101236,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258269,SAMN17918016,simple,9606,Homo sapiens,GSM5082435,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_NCS_IN_rep1,HCT116,Input,neocarzinostatin (4 h),TP53-/-,GSM5082435
SRR13712422,16843111,858998661,51,283,SRX10101237,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306464,PRJNA701951,35388737,"",SRS8258270,SAMN17918015,simple,9606,Homo sapiens,GSM5082436,GEO,SRA1196414,04,2022,Hisaoka,HCT116,TP53-KO_NCS_RPF_rep1,HCT116,ribosome-protected fragments,neocarzinostatin (4 h),TP53-/-,GSM5082436
