Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,GEO Accession
SRR10814059,55886089,4806203654,86,1817,SRX7487554,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239266,PRJNA598557,33328638,"",SRS5929704,SAMN13707427,simple,9606,Homo sapiens,GSM4240629,GEO,SRA1018697,10,2020,Bartok,"","GEO accession GSM4240629 is currently private and is scheduled to be released on Oct 30, 2020.",GSM4240629
SRR10814060,93398069,8032233934,86,3065,SRX7487555,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239266,PRJNA598557,33328638,"",SRS5929705,SAMN13707426,simple,9606,Homo sapiens,GSM4240630,GEO,SRA1018697,10,2020,Bartok,"","GEO accession GSM4240630 is currently private and is scheduled to be released on Oct 30, 2020.",GSM4240630
SRR10814061,89254113,7675853718,86,2931,SRX7487556,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239266,PRJNA598557,33328638,"",SRS5929706,SAMN13707425,simple,9606,Homo sapiens,GSM4240631,GEO,SRA1018697,10,2020,Bartok,"","GEO accession GSM4240631 is currently private and is scheduled to be released on Oct 30, 2020.",GSM4240631
SRR10814062,60130710,5171241060,86,1959,SRX7487557,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239266,PRJNA598557,33328638,"",SRS5929707,SAMN13707424,simple,9606,Homo sapiens,GSM4240632,GEO,SRA1018697,10,2020,Bartok,"","GEO accession GSM4240632 is currently private and is scheduled to be released on Oct 30, 2020.",GSM4240632
SRR10814063,149384823,12847094778,86,4892,SRX7487558,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239266,PRJNA598557,33328638,"",SRS5929708,SAMN13707423,simple,9606,Homo sapiens,GSM4240633,GEO,SRA1018697,10,2020,Bartok,"","GEO accession GSM4240633 is currently private and is scheduled to be released on Oct 30, 2020.",GSM4240633
SRR10814064,149284158,12838437588,86,4884,SRX7487559,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239266,PRJNA598557,33328638,"",SRS5929709,SAMN13707422,simple,9606,Homo sapiens,GSM4240634,GEO,SRA1018697,10,2020,Bartok,"","GEO accession GSM4240634 is currently private and is scheduled to be released on Oct 30, 2020.",GSM4240634
SRR10814065,42209523,3630018978,86,1186,SRX7487560,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239266,PRJNA598557,33328638,"",SRS5929710,SAMN13707421,simple,9606,Homo sapiens,GSM4240635,GEO,SRA1018697,10,2020,Bartok,"","GEO accession GSM4240635 is currently private and is scheduled to be released on Oct 30, 2020.",GSM4240635
SRR10814066,33580278,2887903908,86,942,SRX7487561,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239266,PRJNA598557,33328638,"",SRS5929711,SAMN13707420,simple,9606,Homo sapiens,GSM4240636,GEO,SRA1018697,10,2020,Bartok,"","GEO accession GSM4240636 is currently private and is scheduled to be released on Oct 30, 2020.",GSM4240636
SRR10814067,34875424,2999286464,86,988,SRX7487562,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239266,PRJNA598557,33328638,"",SRS5929712,SAMN13707419,simple,9606,Homo sapiens,GSM4240637,GEO,SRA1018697,10,2020,Bartok,"","GEO accession GSM4240637 is currently private and is scheduled to be released on Oct 30, 2020.",GSM4240637
SRR10814068,43387847,3731354842,86,1238,SRX7487563,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239266,PRJNA598557,33328638,"",SRS5929713,SAMN13707418,simple,9606,Homo sapiens,GSM4240638,GEO,SRA1018697,10,2020,Bartok,"","GEO accession GSM4240638 is currently private and is scheduled to be released on Oct 30, 2020.",GSM4240638
