Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,passages,origin,genotype,stress,GEO Accession
SRR8494659,30385591,1517203185,49,578,SRX5299225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298228,SAMN10829854,simple,10090,Mus musculus,GSM3580967,GEO,SRA840135,07,2019,Ries,WT_RNA_seq_noStress,WT_RNA_seq_noStress-1,WT_RNA_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,noStress,GSM3580967
SRR8494660,65940070,1320270966,20,635,SRX5299226,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298229,SAMN10829853,simple,10090,Mus musculus,GSM3580968,GEO,SRA840135,07,2019,Ries,WT_ribo_seq_noStress,WT_ribo_seq_noStress-1,WT_ribo_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,noStress,GSM3580968
SRR8494661,36150814,1814928514,50,657,SRX5299227,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298230,SAMN10829852,simple,10090,Mus musculus,GSM3580969,GEO,SRA840135,07,2019,Ries,WT_RNA_seq_noStress,WT_RNA_seq_noStress-2,WT_RNA_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,noStress,GSM3580969
SRR8494662,40328556,1009806472,25,446,SRX5299228,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298231,SAMN10829851,simple,10090,Mus musculus,GSM3580970,GEO,SRA840135,07,2019,Ries,WT_ribo_seq_noStress,WT_ribo_seq_noStress-2,WT_ribo_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,noStress,GSM3580970
SRR8494663,33547506,1684315420,50,609,SRX5299229,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298232,SAMN10829850,simple,10090,Mus musculus,GSM3580971,GEO,SRA840135,07,2019,Ries,WT_RNA_seq_noStress,WT_RNA_seq_noStress-3,WT_RNA_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,noStress,GSM3580971
SRR8494664,44110344,784755257,17,443,SRX5299230,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298233,SAMN10829849,simple,10090,Mus musculus,GSM3580972,GEO,SRA840135,07,2019,Ries,WT_ribo_seq_noStress,WT_ribo_seq_noStress-3,WT_ribo_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,noStress,GSM3580972
SRR8494665,33067254,1660425226,50,601,SRX5299231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298234,SAMN10829848,simple,10090,Mus musculus,GSM3580973,GEO,SRA840135,07,2019,Ries,WT_RNA_seq_noStress,WT_RNA_seq_noStress-4,WT_RNA_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,noStress,GSM3580973
SRR8494666,41616303,619723500,14,369,SRX5299232,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298235,SAMN10829847,simple,10090,Mus musculus,GSM3580974,GEO,SRA840135,07,2019,Ries,WT_ribo_seq_noStress,WT_ribo_seq_noStress-4,WT_ribo_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,noStress,GSM3580974
SRR8494667,32816834,1648678921,50,591,SRX5299233,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298236,SAMN10829846,simple,10090,Mus musculus,GSM3580975,GEO,SRA840135,07,2019,Ries,WT_RNA_seq_heatShock,WT_RNA_seq_heatShock-1,WT_RNA_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,heatShock,GSM3580975
SRR8494668,35618803,873232875,24,388,SRX5299234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298237,SAMN10829845,simple,10090,Mus musculus,GSM3580976,GEO,SRA840135,07,2019,Ries,WT_ribo_seq_heatShock,WT_ribo_seq_heatShock-1,WT_ribo_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,heatShock,GSM3580976
