Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,gender,genotype,GEO Accession
SRR11798129,32678888,3267888800,50,1452,SRX8349774,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666396,SAMN14933593,simple,10090,Mus musculus,GSM4555943,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_A1_Mysm1-KO_Puma-HET,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma+/-,GSM4555943
SRR11798130,27773811,2777381100,50,1233,SRX8349775,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666393,SAMN14933592,simple,10090,Mus musculus,GSM4555944,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_A2_Mysm1-KO_Puma-HET,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma+/-,GSM4555944
SRR11798131,27855822,2785582200,50,1233,SRX8349776,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666395,SAMN14933591,simple,10090,Mus musculus,GSM4555945,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_A3_Mysm1-KO_Puma-HET,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma+/-,GSM4555945
SRR11798132,33475910,3347591000,50,1488,SRX8349777,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666394,SAMN14933590,simple,10090,Mus musculus,GSM4555946,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_A4_Mysm1-KO_Puma-HET,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma+/-,GSM4555946
SRR11798133,25990990,2599099000,50,1118,SRX8349778,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666397,SAMN14933589,simple,10090,Mus musculus,GSM4555947,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_B1_Mysm1-KO_Puma-KO,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma-/-,GSM4555947
SRR11798134,25739385,2573938500,50,1109,SRX8349779,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666398,SAMN14933588,simple,10090,Mus musculus,GSM4555948,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_B3_Mysm1-KO_Puma-KO,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma-/-,GSM4555948
SRR11798135,28275171,2827517100,50,1212,SRX8349780,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666399,SAMN14933587,simple,10090,Mus musculus,GSM4555949,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_B5_Mysm1-KO_Puma-KO,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma-/-,GSM4555949
SRR11798136,28265227,2826522700,50,1213,SRX8349781,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666400,SAMN14933586,simple,10090,Mus musculus,GSM4555950,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_B6_Mysm1-KO_Puma-KO,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma-/-,GSM4555950
SRR11798137,21179739,2117973900,50,953,SRX8349782,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666401,SAMN14933585,simple,10090,Mus musculus,GSM4555951,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_P1_Mysm1-KO_Puma-KO,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma-/-,GSM4555951
SRR11798138,23572114,2357211400,50,1059,SRX8349783,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666402,SAMN14933584,simple,10090,Mus musculus,GSM4555953,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_P2_Mysm1-KO_Puma-KO,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma-/-,GSM4555953
