Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,developmental stage,batch,strain,rna subtype,GEO Accession
SRR914328,19452670,972633500,50,664,SRX311774,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449591,SAMN02209160,simple,6239,Caenorhabditis elegans,GSM1169543,GEO,SRA091389,06,2013,Stadler,population-whole animal,Celeg-1-ST-mRNA,population-whole animal,L1 diapause,1,N2,total mRNA,GSM1169543
SRR914329,31547222,2366041650,75,1336,SRX311775,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449527,SAMN02209112,simple,6239,Caenorhabditis elegans,GSM1169544,GEO,SRA091389,06,2013,Stadler,population-whole animal,Celeg-2-ST-mRNA,population-whole animal,L1 diapause,2,N2,total mRNA,GSM1169544
SRR914330,23438522,1171926100,50,784,SRX311776,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449528,SAMN02209110,simple,6239,Caenorhabditis elegans,GSM1169545,GEO,SRA091389,06,2013,Stadler,population-whole animal,Celeg-3-ST-mRNA,population-whole animal,L1 diapause,3,N2,total mRNA,GSM1169545
SRR914331,14429547,721477350,50,492,SRX311777,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449529,SAMN02209109,simple,6239,Caenorhabditis elegans,GSM1169546,GEO,SRA091389,06,2013,Stadler,population-whole animal,Celeg-1-FED-mRNA,population-whole animal,L1 fed 3 hours,1,N2,total mRNA,GSM1169546
SRR914332,15243931,762196550,50,516,SRX311778,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449530,SAMN02209114,simple,6239,Caenorhabditis elegans,GSM1169547,GEO,SRA091389,06,2013,Stadler,population-whole animal,Celeg-2-FED-mRNA,population-whole animal,L1 fed 3 hours,2,N2,total mRNA,GSM1169547
SRR914333,27043901,1352195050,50,900,SRX311779,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449531,SAMN02209111,simple,6239,Caenorhabditis elegans,GSM1169548,GEO,SRA091389,06,2013,Stadler,population-whole animal,Celeg-3-FED-mRNA,population-whole animal,L1 fed 3 hours,3,N2,total mRNA,GSM1169548
SRR914334,46096938,2304846900,50,1536,SRX311780,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449532,SAMN02209113,simple,6239,Caenorhabditis elegans,GSM1169549,GEO,SRA091389,06,2013,Stadler,population-whole animal,Celeg-1-ST-RPF,population-whole animal,L1 diapause,1,N2,ribosome protected fragments,GSM1169549
SRR914335,20851539,750655404,36,432,SRX311781,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449533,SAMN02209128,simple,6239,Caenorhabditis elegans,GSM1169550,GEO,SRA091389,07,2015,Stadler,population-whole animal,Celeg-2-ST-RPF,population-whole animal,L1 diapause,2,N2,ribosome protected fragments,GSM1169550
SRR914336,50278819,2513940950,50,1675,SRX311782,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449534,SAMN02209115,simple,6239,Caenorhabditis elegans,GSM1169551,GEO,SRA091389,06,2013,Stadler,population-whole animal,Celeg-3-ST-RPF,population-whole animal,L1 diapause,3,N2,ribosome protected fragments,GSM1169551
SRR914337,30099263,1504963150,50,1030,SRX311783,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449535,SAMN02209116,simple,6239,Caenorhabditis elegans,GSM1169552,GEO,SRA091389,06,2013,Stadler,population-whole animal,Celeg-1-FED-RPF,population-whole animal,L1 fed 3 hours,1,N2,ribosome protected fragments,GSM1169552
