Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,rrna depletion,drug treatment,GEO Accession
SRR5223045,88306215,4415310750,50,2677,SRX2532222,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098699,PRJNA369543,28213379,"",SRS1952983,SAMN06288363,simple,9606,Homo sapiens,GSM2474455,GEO,SRA535016,02,2017,Mills,platelet,primary platelet RNA-Seq replicate 1,platelet,primary cell type,RiboZero-Gold rRNA depletion,,GSM2474455
SRR5223046,64104778,3205238900,50,1954,SRX2532223,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098699,PRJNA369543,28213379,"",SRS1952982,SAMN06288362,simple,9606,Homo sapiens,GSM2474456,GEO,SRA535016,02,2017,Mills,platelet,primary platelet RNA-Seq replicate 2,platelet,primary cell type,RiboZero-Gold rRNA depletion,,GSM2474456
SRR5223047,9204724,460236200,50,224,SRX2532224,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098699,PRJNA369543,28213379,"",SRS1952985,SAMN06288361,simple,9606,Homo sapiens,GSM2474457,GEO,SRA535016,02,2017,Mills,platelet-like particle (PLP),PLP_GFP_0hrs_rep1,platelet-like particle (PLP),cell line,RiboZero-Gold rRNA depletion,0.05ng Promega Firefly luciferase per 100ng Total RNA,GSM2474457
SRR5223048,53446068,2672303400,50,1297,SRX2532225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098699,PRJNA369543,28213379,"",SRS1952984,SAMN06288360,simple,9606,Homo sapiens,GSM2474458,GEO,SRA535016,02,2017,Mills,platelet-like particle (PLP),PLP_GFP_0hrs_rep2,platelet-like particle (PLP),cell line,RiboZero-Gold rRNA depletion,0.05ng Promega Firefly luciferase per 100ng Total RNA,GSM2474458
SRR5223049,37601413,1880070650,50,904,SRX2532226,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098699,PRJNA369543,28213379,"",SRS1952986,SAMN06288359,simple,9606,Homo sapiens,GSM2474459,GEO,SRA535016,02,2017,Mills,platelet-like particle (PLP),PLP_GFP_1hr,platelet-like particle (PLP),cell line,RiboZero-Gold rRNA depletion,0.05ng Promega Firefly luciferase per 100ng Total RNA,GSM2474459
SRR5223050,60019402,3000970100,50,1437,SRX2532227,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098699,PRJNA369543,28213379,"",SRS1952987,SAMN06288358,simple,9606,Homo sapiens,GSM2474460,GEO,SRA535016,02,2017,Mills,platelet-like particle (PLP),PLP_GFP_2hrs,platelet-like particle (PLP),cell line,RiboZero-Gold rRNA depletion,0.05ng Promega Firefly luciferase per 100ng Total RNA,GSM2474460
SRR5223051,12529023,626451150,50,305,SRX2532228,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098699,PRJNA369543,28213379,"",SRS1952988,SAMN06288357,simple,9606,Homo sapiens,GSM2474461,GEO,SRA535016,02,2017,Mills,platelet-like particle (PLP),PLP_GFP_4hrs,platelet-like particle (PLP),cell line,RiboZero-Gold rRNA depletion,0.05ng Promega Firefly luciferase per 100ng Total RNA,GSM2474461
SRR5223052,11408737,570436850,50,280,SRX2532229,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098699,PRJNA369543,28213379,"",SRS1952989,SAMN06288356,simple,9606,Homo sapiens,GSM2474462,GEO,SRA535016,02,2017,Mills,platelet-like particle (PLP),PLP_GFP_6hrs,platelet-like particle (PLP),cell line,RiboZero-Gold rRNA depletion,0.05ng Promega Firefly luciferase per 100ng Total RNA,GSM2474462
SRR5223053,39129098,1956454900,50,953,SRX2532230,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098699,PRJNA369543,28213379,"",SRS1952990,SAMN06288355,simple,9606,Homo sapiens,GSM2474463,GEO,SRA535016,02,2017,Mills,platelet-like particle (PLP),PLP_PELO_0hrs_rep1,platelet-like particle (PLP),cell line,RiboZero-Gold rRNA depletion,0.05ng Promega Firefly luciferase per 100ng Total RNA,GSM2474463
SRR5223054,38874172,1943708600,50,938,SRX2532231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098699,PRJNA369543,28213379,"",SRS1952991,SAMN06288354,simple,9606,Homo sapiens,GSM2474464,GEO,SRA535016,02,2017,Mills,platelet-like particle (PLP),PLP_PELO_0hrs_rep2,platelet-like particle (PLP),cell line,RiboZero-Gold rRNA depletion,0.05ng Promega Firefly luciferase per 100ng Total RNA,GSM2474464
