Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,host,isolation_source,collection_date,geo_loc_name,lat_lon,treatment,BioSampleModel,GEO Accession
SRR11186577,29156529,2215896204,76,797,SRX7806861,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219896,SAMN14213169,simple,10090,Mus musculus,GSM4340751,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from thoracic 9 dorsal root ganglion of specific pathogen free Snap25:RiboTag mice,DRG_Snap25_ip_SPF_1,Immunoprecipitated ribosome-bound mRNA from thoracic 9 dorsal root ganglion of specific pathogen free Snap25:RiboTag mice,Snap25:RiboTag,Dorsal root ganglion thoracic 9,,,,,,,,GSM4340751
SRR11186578,31788884,2415955184,76,868,SRX7806862,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219897,SAMN14213168,simple,10090,Mus musculus,GSM4340752,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from thoracic 9 dorsal root ganglion of specific pathogen free Snap25:RiboTag mice,DRG_Snap25_ip_SPF_2,Immunoprecipitated ribosome-bound mRNA from thoracic 9 dorsal root ganglion of specific pathogen free Snap25:RiboTag mice,Snap25:RiboTag,Dorsal root ganglion thoracic 9,,,,,,,,GSM4340752
SRR11186579,33943066,2579673016,76,925,SRX7806863,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219898,SAMN14213167,simple,10090,Mus musculus,GSM4340753,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from thoracic 9 dorsal root ganglion of germ free Snap25:RiboTag mice,DRG_Snap25_ip_GF_1,Immunoprecipitated ribosome-bound mRNA from thoracic 9 dorsal root ganglion of germ free Snap25:RiboTag mice,Snap25:RiboTag,Dorsal root ganglion thoracic 9,,,,,,,,GSM4340753
SRR11186580,32212995,2448187620,76,876,SRX7806864,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219899,SAMN14213166,simple,10090,Mus musculus,GSM4340754,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from thoracic 9 dorsal root ganglion of germ free Snap25:RiboTag mice,DRG_Snap25_ip_GF_2,Immunoprecipitated ribosome-bound mRNA from thoracic 9 dorsal root ganglion of germ free Snap25:RiboTag mice,Snap25:RiboTag,Dorsal root ganglion thoracic 9,,,,,,,,GSM4340754
SRR11186581,29520581,2243564156,76,809,SRX7806865,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219900,SAMN14213165,simple,10090,Mus musculus,GSM4340755,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from thoracic 9 dorsal root ganglion of germ free Snap25:RiboTag mice,DRG_Snap25_ip_GF_3,Immunoprecipitated ribosome-bound mRNA from thoracic 9 dorsal root ganglion of germ free Snap25:RiboTag mice,Snap25:RiboTag,Dorsal root ganglion thoracic 9,,,,,,,,GSM4340755
SRR11186582,42343160,3218080160,76,1206,SRX7806866,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219901,SAMN14213164,simple,10090,Mus musculus,GSM4340756,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of specific pathogen free Snap25:RiboTag mice,NG_Snap25_ip_GF_1_,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of specific pathogen free Snap25:RiboTag mice,Snap25:RiboTag,Left and right nodose ganglion,,,,,,,,GSM4340756
SRR11186583,44324154,3368635704,76,1255,SRX7806867,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219902,SAMN14213163,simple,10090,Mus musculus,GSM4340757,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of specific pathogen free Snap25:RiboTag mice,NG_Snap25_ip_GF_2_,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of specific pathogen free Snap25:RiboTag mice,Snap25:RiboTag,Left and right nodose ganglion,,,,,,,,GSM4340757
SRR11186584,45175300,3433322800,76,1282,SRX7806868,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219903,SAMN14213162,simple,10090,Mus musculus,GSM4340758,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of specific pathogen free Snap25:RiboTag mice,NG_Snap25_ip_SPF_1,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of specific pathogen free Snap25:RiboTag mice,Snap25:RiboTag,Left and right nodose ganglion,,,,,,,,GSM4340758
SRR11186585,43112593,3276557068,76,1220,SRX7806869,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219904,SAMN14213161,simple,10090,Mus musculus,GSM4340759,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of germ free Snap25:RiboTag mice,NG_Snap25_ip_SPF_2,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of germ free Snap25:RiboTag mice,Snap25:RiboTag,Left and right nodose ganglion,,,,,,,,GSM4340759
SRR11186586,42789412,3251995312,76,1218,SRX7806870,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219905,SAMN14213160,simple,10090,Mus musculus,GSM4340760,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of germ free Snap25:RiboTag mice,NG_Snap25_ip_SPF_3,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of germ free Snap25:RiboTag mice,Snap25:RiboTag,Left and right nodose ganglion,,,,,,,,GSM4340760
SRR11186587,32616211,2478832036,76,885,SRX7806871,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219906,SAMN14213183,simple,10090,Mus musculus,GSM4340761,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the celiac superior mesenteric ganglion of specific pathogen free Snap25:RiboTag mice,CGSMG_Snap25_ip_SPF_1,Immunoprecipitated ribosome-bound mRNA from the celiac superior mesenteric ganglion of specific pathogen free Snap25:RiboTag mice,Snap25:RiboTag,Celiac superior mesenteric ganglion,,,,,,,,GSM4340761
SRR11186588,26655501,2025818076,76,725,SRX7806872,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219907,SAMN14213182,simple,10090,Mus musculus,GSM4340762,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the celiac superior mesenteric ganglion of specific pathogen free Snap25:RiboTag mice,CGSMG_Snap25_ip_SPF_2,Immunoprecipitated ribosome-bound mRNA from the celiac superior mesenteric ganglion of specific pathogen free Snap25:RiboTag mice,Snap25:RiboTag,Celiac superior mesenteric ganglion,,,,,,,,GSM4340762
SRR11186589,23195013,1762820988,76,646,SRX7806873,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219908,SAMN14213181,simple,10090,Mus musculus,GSM4340763,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the celiac superior mesenteric ganglion of specific pathogen free Snap25:RiboTag mice,CGSMG_Snap25_ip_SPF_3,Immunoprecipitated ribosome-bound mRNA from the celiac superior mesenteric ganglion of specific pathogen free Snap25:RiboTag mice,Snap25:RiboTag,Celiac superior mesenteric ganglion,,,,,,,,GSM4340763
SRR11186590,26573015,2019549140,76,727,SRX7806874,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219909,SAMN14213180,simple,10090,Mus musculus,GSM4340764,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the celiac superior mesenteric ganglion of germ free Snap25:RiboTag mice,CGSMG_Snap25_ip_GF_1,Immunoprecipitated ribosome-bound mRNA from the celiac superior mesenteric ganglion of germ free Snap25:RiboTag mice,Snap25:RiboTag,Celiac superior mesenteric ganglion,,,,,,,,GSM4340764
SRR11186591,29965584,2277384384,76,815,SRX7806875,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219910,SAMN14213179,simple,10090,Mus musculus,GSM4340765,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the celiac superior mesenteric ganglion of germ free Snap25:RiboTag mice,CGSMG_Snap25_ip_GF_2,Immunoprecipitated ribosome-bound mRNA from the celiac superior mesenteric ganglion of germ free Snap25:RiboTag mice,Snap25:RiboTag,Celiac superior mesenteric ganglion,,,,,,,,GSM4340765
