Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,replicate,molecule subtype,GEO Accession
SRR15410423,29420074,5942854948,101,1983,SRX11712585,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP331950,PRJNA753526,34798057,"",SRS9743348,SAMN20700443,simple,4896,Schizosaccharomyces pombe,GSM5512585,GEO,SRA1276042,10,2021,Finet,S. pombe cells,WT_ribo_A,S. pombe cells,wild-type,A,ribosome-protected RNA,GSM5512585
SRR15410424,15891365,3210055730,101,1103,SRX11712586,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP331950,PRJNA753526,34798057,"",SRS9743350,SAMN20700445,simple,4896,Schizosaccharomyces pombe,GSM5512586,GEO,SRA1276042,10,2021,Finet,S. pombe cells,WT_ribo_B,S. pombe cells,wild-type,B,ribosome-protected RNA,GSM5512586
SRR15410425,13181246,2662611692,101,891,SRX11712587,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP331950,PRJNA753526,34798057,"",SRS9743349,SAMN20700447,simple,4896,Schizosaccharomyces pombe,GSM5512587,GEO,SRA1276042,10,2021,Finet,S. pombe cells,WT_ribo_C,S. pombe cells,wild-type,C,ribosome-protected RNA,GSM5512587
SRR15410426,15022941,3034634082,101,1019,SRX11712588,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP331950,PRJNA753526,34798057,"",SRS9743351,SAMN20700448,simple,4896,Schizosaccharomyces pombe,GSM5512588,GEO,SRA1276042,10,2021,Finet,S. pombe cells,delta4dus_ribo_A,S. pombe cells,delta4dus,A,ribosome-protected RNA,GSM5512588
SRR15410427,18687423,3774859446,101,1254,SRX11712589,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP331950,PRJNA753526,34798057,"",SRS9743352,SAMN20700450,simple,4896,Schizosaccharomyces pombe,GSM5512589,GEO,SRA1276042,10,2021,Finet,S. pombe cells,delta4dus_ribo_B,S. pombe cells,delta4dus,B,ribosome-protected RNA,GSM5512589
SRR15410428,23746716,4796836632,101,1599,SRX11712590,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP331950,PRJNA753526,34798057,"",SRS9743353,SAMN20700452,simple,4896,Schizosaccharomyces pombe,GSM5512590,GEO,SRA1276042,10,2021,Finet,S. pombe cells,delta4dus_ribo_C,S. pombe cells,delta4dus,C,ribosome-protected RNA,GSM5512590
SRR15410429,25204394,5091287588,101,1598,SRX11712591,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP331950,PRJNA753526,34798057,"",SRS9743354,SAMN20700453,simple,4896,Schizosaccharomyces pombe,GSM5512591,GEO,SRA1276042,10,2021,Finet,S. pombe cells,WT_total_A,S. pombe cells,wild-type,A,,GSM5512591
SRR15410430,24612316,4971687832,101,1575,SRX11712592,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP331950,PRJNA753526,34798057,"",SRS9743355,SAMN20700455,simple,4896,Schizosaccharomyces pombe,GSM5512592,GEO,SRA1276042,10,2021,Finet,S. pombe cells,WT_total_B,S. pombe cells,wild-type,B,,GSM5512592
SRR15410431,23525254,4752101308,101,1498,SRX11712593,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP331950,PRJNA753526,34798057,"",SRS9743356,SAMN20700456,simple,4896,Schizosaccharomyces pombe,GSM5512593,GEO,SRA1276042,10,2021,Finet,S. pombe cells,WT_total_C,S. pombe cells,wild-type,C,,GSM5512593
SRR15410432,26601504,5373503808,101,1683,SRX11712594,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP331950,PRJNA753526,34798057,"",SRS9743357,SAMN20700458,simple,4896,Schizosaccharomyces pombe,GSM5512594,GEO,SRA1276042,10,2021,Finet,S. pombe cells,delta4dus_total_A,S. pombe cells,delta4dus,A,,GSM5512594
SRR15410433,23206156,4687643512,101,1482,SRX11712595,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP331950,PRJNA753526,34798057,"",SRS9743358,SAMN20700459,simple,4896,Schizosaccharomyces pombe,GSM5512595,GEO,SRA1276042,10,2021,Finet,S. pombe cells,delta4dus_total_B,S. pombe cells,delta4dus,B,,GSM5512595
SRR15410434,23115198,4669269996,101,1474,SRX11712596,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP331950,PRJNA753526,34798057,"",SRS9743359,SAMN20700430,simple,4896,Schizosaccharomyces pombe,GSM5512596,GEO,SRA1276042,10,2021,Finet,S. pombe cells,delta4dus_total_C,S. pombe cells,delta4dus,C,,GSM5512596
