Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,genetic background,cell line,treatment,GEO Accession
SRR315591,8171580,326863200,40,210,SRX084808,GSM765285: embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) mrna_eb Illumina GAII,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242012,SAMN00672683,simple,10090,Mus musculus,GSM765285,GEO,SRA043500,11,2011,Ingolia,embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) mrna_eb Illumina GAII,embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765285
SRR315592,81314467,3821779949,47,2414,SRX084809,GSM765286: embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) mrna_eb Illumina HiSeq,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP007567,PRJNA144149,22056041,"",SRS242013,SAMN00672684,simple,10090,Mus musculus,GSM765286,GEO,SRA043500,11,2011,Ingolia,embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) mrna_eb Illumina HiSeq,embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765286
SRR315593,10758627,430345080,40,295,SRX084810,GSM765287: ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) mrna_mesc_nolif Illumina GAII,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242014,SAMN00672685,simple,10090,Mus musculus,GSM765287,GEO,SRA043500,11,2011,Ingolia,ES cell,ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) mrna_mesc_nolif Illumina GAII,ES cell,ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765287
SRR315594,83891817,4194590850,50,2787,SRX084811,GSM765288: ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) mrna_mesc_nolif Illumina HiSeq,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP007567,PRJNA144149,22056041,"",SRS242015,SAMN00672686,simple,10090,Mus musculus,GSM765288,GEO,SRA043500,11,2011,Ingolia,ES cell,ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) mrna_mesc_nolif Illumina HiSeq,ES cell,ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765288
SRR315595,11763136,470525440,40,320,SRX084812,"GSM765289: ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) mrna_mesc_yeslif Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242016,SAMN00672687,simple,10090,Mus musculus,GSM765289,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) mrna_mesc_yeslif Illumina GAII",ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml)",129/Ola,E14,,GSM765289
SRR315596,20410585,877655155,43,367,SRX084812,"GSM765289: ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) mrna_mesc_yeslif Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242016,SAMN00672687,simple,10090,Mus musculus,GSM765289,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) mrna_mesc_yeslif Illumina GAII",embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765290
SRR315597,10809020,432360800,40,291,SRX084813,GSM765290: embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_eb Illumina GAII,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242017,SAMN00672688,simple,10090,Mus musculus,GSM765290,GEO,SRA043500,11,2011,Ingolia,embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_eb Illumina GAII,embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765291
SRR315598,17805861,623205135,35,282,SRX084813,GSM765290: embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_eb Illumina GAII,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242017,SAMN00672688,simple,10090,Mus musculus,GSM765290,GEO,SRA043500,11,2011,Ingolia,embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_eb Illumina GAII,ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml)",129/Ola,E14,,GSM765292
SRR315599,14087578,563503120,40,248,SRX084813,GSM765290: embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_eb Illumina GAII,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242017,SAMN00672688,simple,10090,Mus musculus,GSM765290,GEO,SRA043500,11,2011,Ingolia,embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_eb Illumina GAII,ES cell,"ES cell feeder-free, w/ LIF 60 s emetine",129/Ola,E14,"ES cell feeder-free, w/ LIF 120 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml)",GSM765293
SRR315600,75080024,3528761128,47,2292,SRX084814,GSM765291: embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_eb Illumina HiSeq,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP007567,PRJNA144149,22056041,"",SRS242018,SAMN00672689,simple,10090,Mus musculus,GSM765291,GEO,SRA043500,11,2011,Ingolia,embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_eb Illumina HiSeq,ES cell,,129/Ola,E14,,GSM765294
SRR315601,17915072,716602880,40,362,SRX084815,"GSM765292: ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) ribo_mesc_chx Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242019,SAMN00672690,simple,10090,Mus musculus,GSM765292,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) ribo_mesc_chx Illumina GAII",ES cell,"ES cell feeder-free, w/ LIF 150 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml)",129/Ola,E14,,GSM765295
SRR315602,24497475,979899000,40,611,SRX084815,"GSM765292: ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) ribo_mesc_chx Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242019,SAMN00672690,simple,10090,Mus musculus,GSM765292,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) ribo_mesc_chx Illumina GAII",ES cell,"ES cell feeder-free, w/ LIF 180 s HRT (0.5 ug/ml) then 60 s CYH (100 ug/ml)",129/Ola,E14,,GSM765296
