Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,infection,hours post infection,tissue
SRR18676262,4953396,351691116,71,115,SRX14777698,GSM6033092,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537099,SAMN27404981,simple,9606,Homo sapiens,GSM6033092,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human + Virus,Calu3_GC_Del_0hpi_A,Human + Virus,Calu3,SARS-CoV-2,0,
SRR18676261,6350473,450883583,71,146,SRX14777699,GSM6033093,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537101,SAMN27404980,simple,9606,Homo sapiens,GSM6033093,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human + Virus,Calu3_GC_Del_0hpi_B,Human + Virus,Calu3,SARS-CoV-2,0,
SRR18676260,3917389,278134619,71,91,SRX14777700,GSM6033094,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537100,SAMN27404979,simple,9606,Homo sapiens,GSM6033094,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human + Virus,Calu3_GC_Del_11hpi_A,Human + Virus,Calu3,SARS-CoV-2,1,
SRR18676259,2832316,201094436,71,65,SRX14777701,GSM6033095,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537104,SAMN27404978,simple,9606,Homo sapiens,GSM6033095,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human + Virus,Calu3_GC_Del_11hpi_B,Human + Virus,Calu3,SARS-CoV-2,1,
SRR18676258,4095364,290770844,71,94,SRX14777702,GSM6033096,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537102,SAMN27404977,simple,9606,Homo sapiens,GSM6033096,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human + Virus,Calu3_GC_Del_24hpi_A,Human + Virus,Calu3,SARS-CoV-2,24,
SRR18676257,4704887,334046977,71,107,SRX14777703,GSM6033097,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537103,SAMN27404976,simple,9606,Homo sapiens,GSM6033097,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human + Virus,Calu3_GC_Del_24hpi_B,Human + Virus,Calu3,SARS-CoV-2,24,
SRR18676256,2076631,147440801,71,48,SRX14777704,GSM6033098,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537105,SAMN27404975,simple,9606,Homo sapiens,GSM6033098,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human + Virus,Calu3_GC_Del_48hpi_A,Human + Virus,Calu3,SARS-CoV-2,48,
SRR18676255,3198556,227097476,71,73,SRX14777705,GSM6033099,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537107,SAMN27404974,simple,9606,Homo sapiens,GSM6033099,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human + Virus,Calu3_GC_Del_48hpi_B,Human + Virus,Calu3,SARS-CoV-2,48,
SRR18676254,4331094,307507674,71,100,SRX14777706,GSM6033100,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537106,SAMN27404973,simple,9606,Homo sapiens,GSM6033100,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human + Virus,Calu3_GC_WT_0hpi_A,Human + Virus,Calu3,SARS-CoV-2,0,
SRR18676253,6013018,372807116,0,124,SRX14777707,GSM6033129,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537108,SAMN27404944,simple,9606,Homo sapiens,GSM6033129,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human,Frac_NSP1del_A_Nucleus,Human,293T,,24,
SRR18676263,6146506,381083372,0,125,SRX14777708,GSM6033130,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537109,SAMN27404943,simple,9606,Homo sapiens,GSM6033130,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human,Frac_NSP1del_A_Total,Human,293T,,24,
SRR18676252,6041005,374542310,0,122,SRX14777709,GSM6033131,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537110,SAMN27404942,simple,9606,Homo sapiens,GSM6033131,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human,Frac_NSP1del_B_Cytosol,Human,293T,,24,
SRR18676264,3950767,244947554,0,83,SRX14777710,GSM6033132,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537111,SAMN27404941,simple,9606,Homo sapiens,GSM6033132,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human,Frac_NSP1del_B_Nucleus,Human,293T,,24,
SRR18676251,6998271,433892802,0,143,SRX14777711,GSM6033133,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537112,SAMN27404940,simple,9606,Homo sapiens,GSM6033133,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human,Frac_NSP1del_B_Total,Human,293T,,24,
SRR18676265,5352561,331858782,0,108,SRX14777712,GSM6033134,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537113,SAMN27404939,simple,9606,Homo sapiens,GSM6033134,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human,Frac_NSP1del_C_Cytosol,Human,293T,,24,
SRR18676250,4791184,297053408,0,98,SRX14777713,GSM6033135,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537114,SAMN27404938,simple,9606,Homo sapiens,GSM6033135,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human,Frac_NSP1del_C_Nucleus,Human,293T,,24,
SRR18676266,5786121,358739502,0,118,SRX14777714,GSM6033136,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537115,SAMN27404937,simple,9606,Homo sapiens,GSM6033136,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human,Frac_NSP1del_C_Total,Human,293T,,24,
SRR18676249,4470322,277159964,0,94,SRX14777715,GSM6033137,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537116,SAMN27404936,simple,9606,Homo sapiens,GSM6033137,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human,Frac_NSP1wt_A_Cytosol,Human,293T,,24,
SRR18676173,4405706,273153772,0,93,SRX14777716,GSM6033138,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537117,SAMN27404935,simple,9606,Homo sapiens,GSM6033138,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human,Frac_NSP1wt_A_Nucleus,Human,293T,,24,
SRR18676248,5928195,367548090,0,123,SRX14777717,GSM6033139,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537118,SAMN27404934,simple,9606,Homo sapiens,GSM6033139,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human,Frac_NSP1wt_A_Total,Human,293T,,24,
SRR18676218,8592398,524136278,0,172,SRX14777718,GSM6033140,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP368068,PRJNA824486,35671758,"",SRS12537119,SAMN27404933,simple,9606,Homo sapiens,GSM6033140,"Noam Stern-Ginossar, Molecular Genetics, Weizmann Institute",SRA1400828,04,2022,Fisher,Human,Frac_NSP1wt_B_Cytosol,Human,293T,,24,
