Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,growth time,GEO Accession
SRR10811655,44874467,1185520409,26,603,SRX7485150,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927358,SAMN13705614,simple,679895,Escherichia coli BW25113,GSM4240559,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,BW25113_3h_Ribo-seq_rep1_dataset1,Culture grown in M9 minimal medium,BW25113,3h,GSM4240559
SRR10811656,23892938,592369028,24,322,SRX7485151,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927359,SAMN13705613,simple,679895,Escherichia coli BW25113,GSM4240560,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,BW25113_3h_Ribo-seq_rep2_dataset1,Culture grown in M9 minimal medium,BW25113,3h,GSM4240560
SRR10811657,37409183,920141909,24,493,SRX7485152,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927360,SAMN13705612,simple,679895,Escherichia coli BW25113,GSM4240561,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,BW25113_12h_Ribo-seq_rep1,Culture grown in M9 minimal medium,BW25113,12h,GSM4240561
SRR10811658,78036986,2148394630,27,1068,SRX7485153,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927361,SAMN13705611,simple,679895,Escherichia coli BW25113,GSM4240562,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,BW25113_12h_Ribo-seq_rep2,Culture grown in M9 minimal medium,BW25113,12h,GSM4240562
SRR10811659,20294281,508841553,25,273,SRX7485154,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927362,SAMN13705610,simple,679895,Escherichia coli BW25113,GSM4240563,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,BW25113_18h_Ribo-seq_rep1,Culture grown in M9 minimal medium,BW25113,18h,GSM4240563
SRR10811660,27091047,600843876,22,329,SRX7485155,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927363,SAMN13705609,simple,679895,Escherichia coli BW25113,GSM4240564,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,BW25113_18h_Ribo-seq_rep2,Culture grown in M9 minimal medium,BW25113,18h,GSM4240564
SRR10811661,45821841,1105330420,24,553,SRX7485156,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927364,SAMN13705608,simple,679895,Escherichia coli BW25113,GSM4240565,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,ΔRsfS_3h_Ribo-seq_rep1_dataset1,Culture grown in M9 minimal medium,BW25113_<delta>RsfS,3h,GSM4240565
SRR10811662,31442404,812533196,25,414,SRX7485157,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927365,SAMN13705607,simple,679895,Escherichia coli BW25113,GSM4240566,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,ΔRsfS_3h_Ribo-seq_rep2_dataset1,Culture grown in M9 minimal medium,BW25113_<delta>RsfS,3h,GSM4240566
SRR10811663,110378417,2818604833,25,1557,SRX7485158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927366,SAMN13705606,simple,679895,Escherichia coli BW25113,GSM4240567,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,ΔRsfS_12h_Ribo-seq_rep1,Culture grown in M9 minimal medium,BW25113_<delta>RsfS,12h,GSM4240567
SRR10811664,44584192,1107350814,24,598,SRX7485159,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927367,SAMN13705605,simple,679895,Escherichia coli BW25113,GSM4240568,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,ΔRsfS_12h_Ribo-seq_rep2_dataset1,Culture grown in M9 minimal medium,BW25113_<delta>RsfS,12h,GSM4240568
