Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tag,tissue,agent,GEO Accession
SRR15175557,16953143,1245933075,73,496,SRX11482815,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP328685,PRJNA747247,36171426,"",SRS9522713,SAMN20283145,simple,9606,Homo sapiens,GSM5456555,GEO,SRA1260171,08,2022,Duffy,Cultured Neurons,RNA_0h_KCl_rep1,Cultured Neurons,hESC-derived neurons,,,GSM5456555
SRR15175558,18536619,1365478583,73,543,SRX11482816,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP328685,PRJNA747247,36171426,"",SRS9522714,SAMN20283144,simple,9606,Homo sapiens,GSM5456556,GEO,SRA1260171,08,2022,Duffy,Cultured Neurons,RNA_0h_KCl_rep2,Cultured Neurons,hESC-derived neurons,,,GSM5456556
SRR15175559,17941164,1322637148,73,526,SRX11482817,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP328685,PRJNA747247,36171426,"",SRS9522715,SAMN20283143,simple,9606,Homo sapiens,GSM5456557,GEO,SRA1260171,08,2022,Duffy,Cultured Neurons,RNA_0h_KCl_rep3,Cultured Neurons,hESC-derived neurons,,,GSM5456557
SRR15175560,19802626,1464219887,73,582,SRX11482818,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP328685,PRJNA747247,36171426,"",SRS9522716,SAMN20283142,simple,9606,Homo sapiens,GSM5456558,GEO,SRA1260171,08,2022,Duffy,Cultured Neurons,RNA_6h_KCl_rep1,Cultured Neurons,hESC-derived neurons,,,GSM5456558
SRR15175561,16752425,1239703987,74,493,SRX11482819,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP328685,PRJNA747247,36171426,"",SRS9522717,SAMN20283141,simple,9606,Homo sapiens,GSM5456559,GEO,SRA1260171,08,2022,Duffy,Cultured Neurons,RNA_6h_KCl_rep2,Cultured Neurons,hESC-derived neurons,,,GSM5456559
SRR15175562,26670464,1977354663,74,784,SRX11482820,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP328685,PRJNA747247,36171426,"",SRS9522718,SAMN20283140,simple,9606,Homo sapiens,GSM5456560,GEO,SRA1260171,08,2022,Duffy,Cultured Neurons,RNA_6h_KCl_rep3,Cultured Neurons,hESC-derived neurons,,,GSM5456560
SRR15175563,93462704,4344477434,46,1423,SRX11482821,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP328685,PRJNA747247,36171426,"",SRS9522719,SAMN20283139,simple,9606,Homo sapiens,GSM5456561,GEO,SRA1260171,08,2022,Duffy,Cultured Neurons,Ribo_0h_KCl_rep1,Cultured Neurons,hESC-derived neurons,,,GSM5456561
SRR15175564,113071421,5221189481,46,1727,SRX11482822,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP328685,PRJNA747247,36171426,"",SRS9522720,SAMN20283138,simple,9606,Homo sapiens,GSM5456562,GEO,SRA1260171,08,2022,Duffy,Cultured Neurons,Ribo_0h_KCl_rep2,Cultured Neurons,hESC-derived neurons,,,GSM5456562
SRR15175565,20097195,1004859750,50,315,SRX11482823,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP328685,PRJNA747247,36171426,"",SRS9522721,SAMN20283137,simple,9606,Homo sapiens,GSM5456563,GEO,SRA1260171,08,2022,Duffy,Cultured Neurons,Ribo_0h_KCl_rep3,Cultured Neurons,hESC-derived neurons,,,GSM5456563
SRR15175566,74815547,3740777350,50,1191,SRX11482824,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP328685,PRJNA747247,36171426,"",SRS9522722,SAMN20283136,simple,9606,Homo sapiens,GSM5456564,GEO,SRA1260171,08,2022,Duffy,Cultured Neurons,Ribo_6h_KCl_rep1,Cultured Neurons,hESC-derived neurons,,,GSM5456564
