Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,batch,genotype,GEO Accession
SRR16200870,2807325,212511963,75,90,SRX12485358,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448907,SAMN22045095,simple,4932,Saccharomyces cerevisiae,GSM5610123,GEO,SRA1305758,10,2021,Egorov,yeast cell,rna_wt_1_b1_s2,yeast cell,wt,1,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0,GSM5610123
SRR16200871,3154043,239365366,75,83,SRX12485359,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448908,SAMN22045099,simple,4932,Saccharomyces cerevisiae,GSM5610124,GEO,SRA1305758,10,2021,Egorov,yeast cell,rna_wt_2_b4_s2,yeast cell,wt,4,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0,GSM5610124
SRR16200872,3009020,228291081,75,80,SRX12485360,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448909,SAMN22045100,simple,4932,Saccharomyces cerevisiae,GSM5610125,GEO,SRA1305758,10,2021,Egorov,yeast cell,rna_wt_3_b4_s2,yeast cell,wt,4,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0,GSM5610125
SRR16200873,3031677,229967848,75,82,SRX12485361,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448910,SAMN22045101,simple,4932,Saccharomyces cerevisiae,GSM5610126,GEO,SRA1305758,10,2021,Egorov,yeast cell,rna_wt_4_b1_s2,yeast cell,wt,1,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0,GSM5610126
SRR16200874,3718225,281573060,75,119,SRX12485362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448911,SAMN22045102,simple,4932,Saccharomyces cerevisiae,GSM5610127,GEO,SRA1305758,10,2021,Egorov,yeast cell,rna_wt_5_b1_s2,yeast cell,wt,1,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0,GSM5610127
SRR16200875,4010693,304363649,75,104,SRX12485363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448912,SAMN22045103,simple,4932,Saccharomyces cerevisiae,GSM5610128,GEO,SRA1305758,10,2021,Egorov,yeast cell,rna_gir2_1_b2_s2,yeast cell,gir2delta,2,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 gir2::KanMX,GSM5610128
SRR16200876,3498706,265422327,75,93,SRX12485364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448913,SAMN22045104,simple,4932,Saccharomyces cerevisiae,GSM5610129,GEO,SRA1305758,10,2021,Egorov,yeast cell,rna_gir2_2_b2_s2,yeast cell,gir2delta,2,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 gir2::KanMX,GSM5610129
SRR16200877,3773296,286285488,75,100,SRX12485365,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448914,SAMN22045105,simple,4932,Saccharomyces cerevisiae,GSM5610130,GEO,SRA1305758,10,2021,Egorov,yeast cell,rna_gir2_3_b2_s2,yeast cell,gir2delta,2,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 gir2::KanMX,GSM5610130
SRR16200878,4620665,350630481,75,121,SRX12485366,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448915,SAMN22045106,simple,4932,Saccharomyces cerevisiae,GSM5610131,GEO,SRA1305758,10,2021,Egorov,yeast cell,rna_gir2_4_b1_s2,yeast cell,gir2delta,1,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 gir2::KanMX,GSM5610131
SRR16200879,4985183,378318184,75,131,SRX12485367,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448916,SAMN22045107,simple,4932,Saccharomyces cerevisiae,GSM5610132,GEO,SRA1305758,10,2021,Egorov,yeast cell,rna_pub1_1_b3_s2,yeast cell,pub1delta,3,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 gir2::KanMX,GSM5610132
