Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,genotype,molecule subtype
SRR18098650,44132272,8914718944,101,2610,SRX14249568,GSM5910756,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069536,SAMN26171671,simple,4932,Saccharomyces cerevisiae,GSM5910756,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,154716,Yeast cells,LiCl IC50,WT,polyA RNA
SRR18098649,30140607,6088402614,101,1789,SRX14249569,GSM5910757,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069537,SAMN26171670,simple,4932,Saccharomyces cerevisiae,GSM5910757,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,154719,Yeast cells,Glucose 20%,WT,polyA RNA
SRR18098648,44130961,8914454122,101,2604,SRX14249570,GSM5910758,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069538,SAMN26171669,simple,4932,Saccharomyces cerevisiae,GSM5910758,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,154721,Yeast cells,Myriocin IC50,WT,polyA RNA
SRR18098647,30920848,6246011296,101,1831,SRX14249571,GSM5910759,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069539,SAMN26171668,simple,4932,Saccharomyces cerevisiae,GSM5910759,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,154723,Yeast cells,Fenpropimorph IC50,WT,polyA RNA
SRR18098646,36291079,7330797958,101,2148,SRX14249572,GSM5910760,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069540,SAMN26171667,simple,4932,Saccharomyces cerevisiae,GSM5910760,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,154725,Yeast cells,LiCl IC50,RPS22B-GFP 5'UTR intron deleted,polyA RNA
SRR18098645,43547288,8796552176,101,2571,SRX14249573,GSM5910761,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069541,SAMN26171666,simple,4932,Saccharomyces cerevisiae,GSM5910761,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,154727,Yeast cells,NaCl 0.4 M,WT,polyA RNA
SRR18098643,17282700,3491105400,101,1075,SRX14249574,GSM5910762,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069542,SAMN26171665,simple,4932,Saccharomyces cerevisiae,GSM5910762,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,155586,Yeast cells,"LiCl IC50, sorted GFP high",RPS22B-GFP,polyA RNA
SRR18098644,11256298,2273772196,101,686,SRX14249574,GSM5910762,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069542,SAMN26171665,simple,4932,Saccharomyces cerevisiae,GSM5910762,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,155586,Yeast cells,"LiCl IC50, sorted GFP low",RPS22B-GFP,polyA RNA
SRR18098641,23808865,4809390730,101,1480,SRX14249575,GSM5910763,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069543,SAMN26171664,simple,4932,Saccharomyces cerevisiae,GSM5910763,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,155589,Yeast cells,LiCl IC50,WT,Ribodepleted RNA
SRR18098642,13686967,2764767334,101,836,SRX14249575,GSM5910763,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069543,SAMN26171664,simple,4932,Saccharomyces cerevisiae,GSM5910763,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,155589,Yeast cells,Glucose 20%,WT,Ribodepleted RNA
SRR18098640,33870506,6841842212,101,2071,SRX14249576,GSM5910764,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069544,SAMN26171663,simple,4932,Saccharomyces cerevisiae,GSM5910764,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,155608,Yeast cells,Myriocin IC50,WT,Ribodepleted RNA
SRR18098638,24303175,4909241350,101,1494,SRX14249577,GSM5910765,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069545,SAMN26171662,simple,4932,Saccharomyces cerevisiae,GSM5910765,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,155609,Yeast cells,Fenpropimorph IC50,WT,Ribodepleted RNA
SRR18098639,5879818,1187723236,101,367,SRX14249577,GSM5910765,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069545,SAMN26171662,simple,4932,Saccharomyces cerevisiae,GSM5910765,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,155609,Yeast cells,LiCl IC50,RPS22B-GFP 5'UTR intron deleted,Ribodepleted RNA
SRR18098636,23927464,4833347728,101,1458,SRX14249578,GSM5910766,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069546,SAMN26171661,simple,4932,Saccharomyces cerevisiae,GSM5910766,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,155610,Yeast cells,NaCl 0.4 M,WT,Ribodepleted RNA
SRR18098637,5815780,1174787560,101,360,SRX14249578,GSM5910766,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069546,SAMN26171661,simple,4932,Saccharomyces cerevisiae,GSM5910766,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,155610,Yeast cells,"LiCl IC50, sorted GFP high",RPS22B-GFP HOdelta::TDH3pr-mCherry-natMX4,Ribodepleted RNA
SRR18098635,28191817,5694747034,101,1723,SRX14249579,GSM5910767,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360917,PRJNA809314,35444278,"",SRS12069547,SAMN26171660,simple,4932,Saccharomyces cerevisiae,GSM5910767,"Bollenbach Lab, Institute for Biological Physics, Universität zu Köln",SRA1376928,02,2022,Lukačišin,Yeast cells,155611,Yeast cells,"LiCl IC50, sorted GFP low",RPS22B-GFP HOdelta::TDH3pr-mCherry-natMX4,Ribodepleted RNA
