Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,passage,treatment,GEO Accession
SRR13711206,7419216,556441200,75,558,SRX10100121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306426,PRJNA701895,1,"",SRS8257259,SAMN17916061,simple,9606,Homo sapiens,GSM5082083,GEO,SRA1196362,07,2022,Makar,HEK293T cells,Control_Ribo-seq_1 [OligodT cleaned RNA],HEK293T cells,Human embryonic kidney cells,passages 5-8,DMSO,GSM5082083
SRR13711207,7913370,593502750,75,598,SRX10100122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306426,PRJNA701895,1,"",SRS8257260,SAMN17916060,simple,9606,Homo sapiens,GSM5082084,GEO,SRA1196362,07,2022,Makar,HEK293T cells,Control_Ribo-seq_2 [OligodT cleaned RNA],HEK293T cells,Human embryonic kidney cells,passages 5-8,DMSO,GSM5082084
SRR13711208,8187207,614040525,75,619,SRX10100123,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306426,PRJNA701895,1,"",SRS8257261,SAMN17916059,simple,9606,Homo sapiens,GSM5082085,GEO,SRA1196362,07,2022,Makar,HEK293T cells,Control_Ti-seq_1 [OligodT cleaned RNA],HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-10 (20 microM),GSM5082085
SRR13711209,5556803,416760225,75,420,SRX10100124,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306426,PRJNA701895,1,"",SRS8257262,SAMN17916058,simple,9606,Homo sapiens,GSM5082086,GEO,SRA1196362,07,2022,Makar,HEK293T cells,Control_Ti-seq_2 [OligodT cleaned RNA],HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-10 (20 microM),GSM5082086
SRR13711210,10258896,769417200,75,774,SRX10100125,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306426,PRJNA701895,1,"",SRS8257263,SAMN17916057,simple,9606,Homo sapiens,GSM5082087,GEO,SRA1196362,07,2022,Makar,HEK293T cells,i14G1-10_Ribo-seq_1 [OligodT cleaned RNA],HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-12 (10 microM),GSM5082087
SRR13711211,7686003,576450225,75,580,SRX10100126,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306426,PRJNA701895,1,"",SRS8257264,SAMN17916056,simple,9606,Homo sapiens,GSM5082088,GEO,SRA1196362,07,2022,Makar,HEK293T cells,i14G1-10_Ribo-seq_2 [OligodT cleaned RNA],HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-12 (10 microM),GSM5082088
SRR13711212,8071949,605396175,75,606,SRX10100127,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306426,PRJNA701895,1,"",SRS8257265,SAMN17916055,simple,9606,Homo sapiens,GSM5082089,GEO,SRA1196362,07,2022,Makar,HEK293T cells,i14G1-10_Ti-seq_1 [OligodT cleaned RNA],HEK293T cells,Human embryonic kidney cells,passages 5-8,DMSO,GSM5082089
SRR13711213,8301857,622639275,75,623,SRX10100128,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306426,PRJNA701895,1,"",SRS8257266,SAMN17916054,simple,9606,Homo sapiens,GSM5082090,GEO,SRA1196362,07,2022,Makar,HEK293T cells,i14G1-10_Ti-seq_2 [OligodT cleaned RNA],HEK293T cells,Human embryonic kidney cells,passages 5-8,DMSO,GSM5082090
SRR13711214,3617993,271349475,75,272,SRX10100129,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306426,PRJNA701895,1,"",SRS8257267,SAMN17916589,simple,9606,Homo sapiens,GSM5082091,GEO,SRA1196362,07,2022,Makar,HEK293T cells,i14G1-12_Ribo-seq_1 [OligodT cleaned RNA],HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-10 (20 microM),GSM5082091
SRR13711215,5966957,447521775,75,448,SRX10100130,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306426,PRJNA701895,1,"",SRS8257268,SAMN17916588,simple,9606,Homo sapiens,GSM5082092,GEO,SRA1196362,07,2022,Makar,HEK293T cells,i14G1-12_Ribo-seq_2 [OligodT cleaned RNA],HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-10 (20 microM),GSM5082092
SRR13711216,6084057,456304275,75,457,SRX10100131,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306426,PRJNA701895,1,"",SRS8257269,SAMN17916587,simple,9606,Homo sapiens,GSM5082093,GEO,SRA1196362,07,2022,Makar,HEK293T cells,i14G1-12_Ti-seq_1 [OligodT cleaned RNA],HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-12 (10 microM),GSM5082093
SRR13711217,6325599,474419925,75,475,SRX10100132,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP306426,PRJNA701895,1,"",SRS8257270,SAMN17916586,simple,9606,Homo sapiens,GSM5082094,GEO,SRA1196362,07,2022,Makar,HEK293T cells,i14G1-12_Ti-seq_2 [OligodT cleaned RNA],HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-12 (10 microM),GSM5082094
