Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,host strain,reporter expressed in host strain,tissue,molecule,GEO Accession
SRR13919657,7181607,413411807,31,257,SRX10299130,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421040,SAMN18234681,simple,5141,Neurospora crassa,GSM5150307,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-WT-1wt_1,mycelia,WT,1хWT-EDP,mycelia,ribosome protected fragments,GSM5150309
SRR13919658,6596887,384637593,31,238,SRX10299131,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421041,SAMN18234680,simple,5141,Neurospora crassa,GSM5150308,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-WT-1wt_2,mycelia,WT,1хWT-EDP,mycelia,ribosome protected fragments,GSM5150312
SRR13919659,6700731,189993400,28,90,SRX10299132,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP310013,PRJNA708348,34417614,"",SRS8421043,SAMN18234679,simple,5141,Neurospora crassa,GSM5150309,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-WT-1wt_3,mycelia,WT,1хWT-EDP,mycelia,ribosome protected fragments,GSM5150315
SRR13919660,7993524,436407829,30,281,SRX10299133,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421042,SAMN18234678,simple,5141,Neurospora crassa,GSM5150310,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-WT-3wt_1,mycelia,WT,3хWT-EDP,mycelia,ribosome protected fragments,GSM5150318
SRR13919661,9750811,507930149,32,342,SRX10299134,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421046,SAMN18234673,simple,5141,Neurospora crassa,GSM5150311,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-WT-3wt_2,mycelia,WT,3хWT-EDP,mycelia,ribosome protected fragments,GSM5150309
SRR13919662,3715420,104179170,28,50,SRX10299135,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP310013,PRJNA708348,34417614,"",SRS8421044,SAMN18234698,simple,5141,Neurospora crassa,GSM5150312,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-WT-3wt_3,mycelia,WT,3хWT-EDP,mycelia,ribosome protected fragments,GSM5150312
SRR13919663,4277515,241225572,31,157,SRX10299136,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421045,SAMN18234697,simple,5141,Neurospora crassa,GSM5150313,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-WT-1opt_1,mycelia,WT,1хOPT-EDP,mycelia,ribosome protected fragments,GSM5150315
SRR13919664,4494840,257142088,31,164,SRX10299137,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421047,SAMN18234677,simple,5141,Neurospora crassa,GSM5150314,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-WT-1opt_2,mycelia,WT,1хOPT-EDP,mycelia,ribosome protected fragments,GSM5150318
SRR13919665,4211964,119670768,28,57,SRX10299138,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP310013,PRJNA708348,34417614,"",SRS8421052,SAMN18234676,simple,5141,Neurospora crassa,GSM5150315,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-WT-1opt_3,mycelia,WT,1хOPT-EDP,mycelia,ribosome protected fragments,GSM5150309
SRR13919666,7635784,408793799,29,265,SRX10299139,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421049,SAMN18234675,simple,5141,Neurospora crassa,GSM5150316,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-WT-3opt_1,mycelia,WT,3хOPT-EDP,mycelia,ribosome protected fragments,GSM5150312
