Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,GEO Accession
SRR4447104,28009689,2828978589,101,1586,SRX2265924,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757448,SAMN05936273,simple,10090,Mus musculus,GSM2358917,GEO,SRA486420,08,2017,Reid,6 week old,BAT-WT1,6 week old,C57BL/6,interscapular brown fat,GSM2358917
SRR4447105,29028506,2931879106,101,1645,SRX2265925,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757447,SAMN05936272,simple,10090,Mus musculus,GSM2358918,GEO,SRA486420,08,2017,Reid,6 week old,BAT-WT2,6 week old,C57BL/6,interscapular brown fat,GSM2358918
SRR4447106,24601314,2484732714,101,1421,SRX2265926,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757449,SAMN05936295,simple,10090,Mus musculus,GSM2358919,GEO,SRA486420,08,2017,Reid,primary stromal vascular fraction cell culture,BAT1-D0a,primary stromal vascular fraction cell culture,C57BL/6,interscapular brown fat,GSM2358919
SRR4447107,23827543,2406581843,101,1393,SRX2265927,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757450,SAMN05936294,simple,10090,Mus musculus,GSM2358920,GEO,SRA486420,08,2017,Reid,primary stromal vascular fraction cell culture,BAT1-D0b,primary stromal vascular fraction cell culture,C57BL/6,interscapular brown fat,GSM2358920
SRR4447108,20835549,2104390449,101,1215,SRX2265928,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757451,SAMN05936293,simple,10090,Mus musculus,GSM2358921,GEO,SRA486420,08,2017,Reid,primary stromal vascular fraction cell culture,BAT1-D5a,primary stromal vascular fraction cell culture,C57BL/6,interscapular brown fat,GSM2358921
SRR4447109,20125684,2032694084,101,1177,SRX2265929,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757452,SAMN05936292,simple,10090,Mus musculus,GSM2358922,GEO,SRA486420,08,2017,Reid,primary stromal vascular fraction cell culture,BAT1-D5b,primary stromal vascular fraction cell culture,C57BL/6,interscapular brown fat,GSM2358922
SRR4447110,23122309,2335353209,101,1288,SRX2265930,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757453,SAMN05936291,simple,10090,Mus musculus,GSM2358923,GEO,SRA486420,08,2017,Reid,6 week old,EPI-WT1,6 week old,C57BL/6,epididymal white fat,GSM2358923
SRR4447111,21891024,2210993424,101,1185,SRX2265931,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757456,SAMN05936290,simple,10090,Mus musculus,GSM2358924,GEO,SRA486420,08,2017,Reid,6 week old,EPI-WT2,6 week old,C57BL/6,epididymal white fat,GSM2358924
SRR4447112,21050258,2126076058,101,1236,SRX2265932,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757454,SAMN05936289,simple,10090,Mus musculus,GSM2358925,GEO,SRA486420,08,2017,Reid,primary stromal vascular fraction cell culture,SUB2-D0a,primary stromal vascular fraction cell culture,C57BL/6,subcutaneous white fat,GSM2358925
SRR4447113,27063974,2733461374,101,1591,SRX2265933,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757455,SAMN05936274,simple,10090,Mus musculus,GSM2358926,GEO,SRA486420,08,2017,Reid,primary stromal vascular fraction cell culture,SUB2-D0b,primary stromal vascular fraction cell culture,C57BL/6,subcutaneous white fat,GSM2358926
SRR4447114,22933313,2316264613,101,1329,SRX2265934,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757457,SAMN05936288,simple,10090,Mus musculus,GSM2358927,GEO,SRA486420,08,2017,Reid,primary stromal vascular fraction cell culture,SUB2-D5a,primary stromal vascular fraction cell culture,C57BL/6,subcutaneous white fat,GSM2358927
SRR4447115,23257680,2349025680,101,1336,SRX2265935,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757459,SAMN05936287,simple,10090,Mus musculus,GSM2358928,GEO,SRA486420,08,2017,Reid,primary stromal vascular fraction cell culture,SUB2-D5b,primary stromal vascular fraction cell culture,C57BL/6,subcutaneous white fat,GSM2358928
SRR4447116,42081462,5260182750,125,2130,SRX2265936,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757458,SAMN05936286,simple,10090,Mus musculus,GSM2358929,GEO,SRA486420,08,2017,Reid,6 week old,mrna-BAT1,6 week old,C57BL/6,interscapular brown fat,GSM2358929
SRR4447117,32527742,4065967750,125,1700,SRX2265937,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757460,SAMN05936285,simple,10090,Mus musculus,GSM2358930,GEO,SRA486420,08,2017,Reid,primary stromal vascular fraction cell culture,mrna-BAT1D0-1,primary stromal vascular fraction cell culture,C57BL/6,interscapular brown fat,GSM2358930
SRR4447118,31988806,3998600750,125,1708,SRX2265938,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757461,SAMN05936284,simple,10090,Mus musculus,GSM2358931,GEO,SRA486420,08,2017,Reid,primary stromal vascular fraction cell culture,mrna-BAT1D0-2,primary stromal vascular fraction cell culture,C57BL/6,interscapular brown fat,GSM2358931
SRR4447119,33132766,4141595750,125,1716,SRX2265939,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757462,SAMN05936283,simple,10090,Mus musculus,GSM2358932,GEO,SRA486420,08,2017,Reid,primary stromal vascular fraction cell culture,mrna-BAT1D5-1,primary stromal vascular fraction cell culture,C57BL/6,interscapular brown fat,GSM2358932
SRR4447120,17804134,2225516750,125,924,SRX2265940,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757463,SAMN05936282,simple,10090,Mus musculus,GSM2358933,GEO,SRA486420,08,2017,Reid,primary stromal vascular fraction cell culture,mrna-BAT1D5-2,primary stromal vascular fraction cell culture,C57BL/6,interscapular brown fat,GSM2358933
SRR4447121,37601318,4700164750,125,1893,SRX2265941,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091987,PRJNA350300,28720757,"",SRS1757464,SAMN05936281,simple,10090,Mus musculus,GSM2358934,GEO,SRA486420,08,2017,Reid,6 week old,mrna-BAT2,6 week old,C57BL/6,interscapular brown fat,GSM2358934
