Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,collection_date,dev_stage,isolate,phenotype,type-material,genotype,isolation_source,subspecf_gen_lin
SRR948548,35666652,1783332600,50,1124,SRX332140,S_par_RNA_Anno_rich_B,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028552,PRJNA213844,1,"",SRS467602,SAMN02302501,simple,27291,Saccharomyces paradoxus,S. paradoxus RNA-seq Annotation Rep B,Carnegie Mellon University,SRA096677,07,2015,Makar,"",General Sample for Saccharomyces paradoxus,CBS432,5/1/2012,Diploid,S. paradoxus Annotation RNA-seq Rep B,CBS432,culture from neotype of Saccharomyces paradoxus,,,
SRR948547,24770408,1238520400,50,783,SRX332143,S_par_RNA_Anno_rich_A,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028552,PRJNA213844,1,"",SRS467599,SAMN02302500,simple,27291,Saccharomyces paradoxus,S. paradoxus RNA-seq Annotation Rep A,Carnegie Mellon University,SRA096677,07,2015,Makar,"",General Sample for Saccharomyces paradoxus Annotation RNA-seq Rep A,CBS432,5/1/2012,Diploid,RNA-seq for annotation Sample A,CBS432,culture from neotype of Saccharomyces paradoxus,,,
SRR948549,26819693,1340984650,50,822,SRX332179,S_par_mRNA_RiboProf_matched_Rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028552,PRJNA213844,1,"",SRS467630,SAMN02302494,simple,27291,Saccharomyces paradoxus,S. paradoxus RNA-seq Rep 1,Carnegie Mellon University,SRA096677,07,2015,Makar,"",General Sample for S. paradoxus,CBS432,9/1/2012,Diploid,Replicate 1,CBS432,culture from neotype of Saccharomyces paradoxus,,,
SRR948550,15222810,761140500,50,477,SRX332180,S_par_mRNA_RiboProf_matched_Rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028552,PRJNA213844,1,"",SRS467631,SAMN02302495,simple,27291,Saccharomyces paradoxus,S. paradoxus RNA-seq Rep 2,Carnegie Mellon University,SRA096677,07,2015,Makar,"",General Sample for Saccharomyces paradoxus,CBS432,9/1/2012,Diploid,Replicate 2,CBS432,culture from neotype of Saccharomyces paradoxus,,,
SRR948551,15288245,764412250,50,484,SRX332181,S_cer_mRNA_RiboProf_matched_Rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028552,PRJNA213844,1,"",SRS467632,SAMN02302492,simple,4932,Saccharomyces cerevisiae,S. cerevisiae RNA-seq Rep 1,Carnegie Mellon University,SRA096677,07,2015,Makar,"",General Sample for Saccharomyces cerevisiae,S288C,9/1/2012,diploid,Replicate 1,,,S288C,Lab sample,S288C
SRR948552,15250639,762531950,50,482,SRX332182,S_cer_mRNA_RiboProf_matched_Rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028552,PRJNA213844,1,"",SRS467633,SAMN02302493,simple,4932,Saccharomyces cerevisiae,S. cerevisiae RNA-seq Rep 2,Carnegie Mellon University,SRA096677,07,2015,Makar,"",General Sample for Saccharomyces cerevisiae,S288C,9/1/2012,diploid,Replicate 2,S288C,,,,
SRR948564,43461865,2173093250,50,1440,SRX332183,S_par_Ribo-seq_matched_Rep1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028552,PRJNA213844,1,"",SRS467641,SAMN02302498,simple,27291,Saccharomyces paradoxus,S. paradoxus Ribo-seq Rep 1,Carnegie Mellon University,SRA096677,07,2015,Makar,"",General Sample for Saccharomyces paradoxus Rep 1,CBS432,9/1/2012,diploid,Ribo-seq Rep 1,CBS432,culture from neotype of Saccharomyces paradoxus,,,
SRR948554,76161853,3808092650,50,2485,SRX332184,S_par_Ribo-seq_matched_Rep2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028552,PRJNA213844,1,"",SRS467635,SAMN02302499,simple,27291,Saccharomyces paradoxus,S. paradoxus Ribo-seq Rep 2,Carnegie Mellon University,SRA096677,07,2015,Makar,"",General Sample for Saccharomyces paradoxus Ribo-seq Rep 2,CBS432,9/1/2012,Diploid,Ribo-seq Rep 2,CBS432,culture from neotype of Saccharomyces paradoxus,,,
SRR948553,41214129,2060706450,50,1352,SRX332185,S_cer_Ribo-seq_matched_Rep1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028552,PRJNA213844,1,"",SRS467634,SAMN02302496,simple,4932,Saccharomyces cerevisiae,S. cerevisiae Ribo-seq Rep 1,Carnegie Mellon University,SRA096677,07,2015,Makar,"",General Sample for Saccharomyces cerevisiae Ribo-seq,S288C,9/1/2012,Diploid,Ribo-seq Rep 1,S288C,,,,
SRR948555,38244257,1912212850,50,1268,SRX332186,S_cer_Ribo-seq_matched_Rep2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028552,PRJNA213844,1,"",SRS467636,SAMN02302497,simple,4932,Saccharomyces cerevisiae,S. cerevisiae Ribo-seq Rep 2,Carnegie Mellon University,SRA096677,07,2015,Makar,"",General Sample for Saccharomyces cerevisiae Ribo-seq 2,S288C,9/1/2012,Diploid,Ribo-seq Rep 2,S288C,,,,
SRR948556,30762220,1538111000,50,965,SRX332187,Hybrid_mRNA_RiboProf_matched_Rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028552,PRJNA213844,1,"",SRS467637,SAMN02302502,simple,595493,Saccharomyces cerevisiae x Saccharomyces paradoxus,S. cerevisiae / S. paradoxus F1 Hybrid RNA-seq Rep 1,Carnegie Mellon University,SRA096677,07,2015,Makar,"",General Sample for F1 Hybrid (S. cerevisiae / S. paradoxus) RNA-seq Rep 1,GSY88,9/1/2012,diploid,,,,,,
SRR948557,27700697,1385034850,50,868,SRX332188,Hybrid_mRNA_RiboProf_matched_Rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028552,PRJNA213844,1,"",SRS467638,SAMN02302503,simple,595493,Saccharomyces cerevisiae x Saccharomyces paradoxus,S. cerevisiae / S. paradoxus F1 Hybrid RNA-seq Rep 2,Carnegie Mellon University,SRA096677,07,2015,Makar,"",General Sample for F1 Hybrid of S. cerevisiae and S. paradoxus RNA-seq Rep 2,GSY88,,diploid,,,,,,
