Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cultivar,dev_stage,geo_loc_name,tissue,sample_type,treatment,replicate,BioSampleModel
SRR12017657,87314798,6635924648,76,2518,SRX8550122,1T_C15,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844098,SAMN15239066,simple,4081,Solanum lycopersicum,Rep1_RNA_Mock_15m,North Carolina State University,SRA1087158,08,2020,Makar,"",1T_C15,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,RNA-seq,15 minutes mock,Replicate 1,Plant
SRR12017656,61939756,4707421456,76,1781,SRX8550123,1R_C15,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844099,SAMN15239067,simple,4081,Solanum lycopersicum,Rep1_FootPrint_Mock_15m,North Carolina State University,SRA1087158,08,2020,Makar,"",1R_C15,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,Ribo-Seq,15 minutes mock,Replicate 1,Plant
SRR12017655,71702788,5449411888,76,2016,SRX8550124,1T_A1h,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844100,SAMN15239076,simple,4081,Solanum lycopersicum,Rep1_RNA_IAA_1h,North Carolina State University,SRA1087158,08,2020,Makar,"",1T_A1h,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,RNA-seq,1 hour IAA,Replicate 1,Plant
SRR12017654,50538116,3840896816,76,1395,SRX8550125,1R_A1h,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844101,SAMN15239077,simple,4081,Solanum lycopersicum,Rep1_FootPrint_IAA_1h,North Carolina State University,SRA1087158,08,2020,Makar,"",1R_A1h,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,Ribo-Seq,1 hour IAA,Replicate 1,Plant
SRR12017653,131284982,9977658632,76,3813,SRX8550126,2T_C15,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844102,SAMN15239078,simple,4081,Solanum lycopersicum,Rep2_RNA_Mock_15m,North Carolina State University,SRA1087158,08,2020,Makar,"",2T_C15,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,RNA-seq,15 minutes mock,Replicate 2,Plant
SRR12017652,62436160,4745148160,76,1811,SRX8550127,2R_C15,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844103,SAMN15239079,simple,4081,Solanum lycopersicum,Rep2_FootPrint_Mock_15m,North Carolina State University,SRA1087158,08,2020,Makar,"",2R_C15,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,Ribo-Seq,15 minutes mock,Replicate 2,Plant
SRR12017651,91764404,6974094704,76,2664,SRX8550128,2T_A15,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844104,SAMN15239080,simple,4081,Solanum lycopersicum,Rep2_RNA_IAA_15m,North Carolina State University,SRA1087158,08,2020,Makar,"",2T_A15,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,RNA-seq,15 minutes IAA,Replicate 2,Plant
SRR12017650,111555681,8478231756,76,3266,SRX8550129,2R_A15,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844105,SAMN15239081,simple,4081,Solanum lycopersicum,Rep2_FootPrint_IAA_15m,North Carolina State University,SRA1087158,08,2020,Makar,"",2R_A15,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,Ribo-Seq,15 minutes IAA,Replicate 2,Plant
SRR12017649,95012866,7220977816,76,2881,SRX8550130,2T_C30,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844106,SAMN15239082,simple,4081,Solanum lycopersicum,Rep2_RNA_Mock_30m,North Carolina State University,SRA1087158,08,2020,Makar,"",2T_C30,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,RNA-seq,30 minutes mock,Replicate 2,Plant
SRR12017648,57366604,4359861904,76,1737,SRX8550131,2R_C30,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844107,SAMN15239083,simple,4081,Solanum lycopersicum,Rep2_FootPrint_Mock_30m,North Carolina State University,SRA1087158,08,2020,Makar,"",2R_C30,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,Ribo-Seq,30 minutes mock,Replicate 2,Plant
SRR12017647,92268513,7012406988,76,2813,SRX8550132,2T_A30,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844108,SAMN15239084,simple,4081,Solanum lycopersicum,Rep2_RNA_IAA_30m,North Carolina State University,SRA1087158,08,2020,Makar,"",2T_A30,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,RNA-seq,30 minutes IAA,Replicate 2,Plant
SRR12017646,63283187,4809522212,76,1922,SRX8550133,2R_A30,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844109,SAMN15239085,simple,4081,Solanum lycopersicum,Rep2_FootPrint_IAA_30m,North Carolina State University,SRA1087158,08,2020,Makar,"",2R_A30,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,Ribo-Seq,30 minutes IAA,Replicate 2,Plant
SRR12017645,91266083,6936222308,76,2621,SRX8550134,1T_A15,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844110,SAMN15239068,simple,4081,Solanum lycopersicum,Rep1_RNA_IAA_15m,North Carolina State University,SRA1087158,08,2020,Makar,"",1T_A15,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,RNA-seq,15 minutes IAA,Replicate 1,Plant
SRR12017644,74520298,5663542648,76,2073,SRX8550135,2T_C1h,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844111,SAMN15239086,simple,4081,Solanum lycopersicum,Rep2_RNA_Mock_1h,North Carolina State University,SRA1087158,08,2020,Makar,"",2T_C1h,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,RNA-seq,1 hour mock,Replicate 2,Plant
SRR12017643,54409066,4135089016,76,1526,SRX8550136,2R_C1h,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844112,SAMN15239087,simple,4081,Solanum lycopersicum,Rep2_FootPrint_Mock_1h,North Carolina State University,SRA1087158,08,2020,Makar,"",2R_C1h,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,Ribo-Seq,1 hour mock,Replicate 2,Plant
SRR12017642,67645900,5141088400,76,1869,SRX8550137,2T_A1h,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844113,SAMN15239088,simple,4081,Solanum lycopersicum,Rep2_RNA_IAA_1h,North Carolina State University,SRA1087158,08,2020,Makar,"",2T_A1h,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,RNA-seq,1 hour IAA,Replicate 2,Plant
SRR12017641,58239434,4426196984,76,1621,SRX8550138,2R_A1h,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP267387,PRJNA639554,1,"",SRS6844114,SAMN15239089,simple,4081,Solanum lycopersicum,Rep2_FootPrint_IAA_1h,North Carolina State University,SRA1087158,08,2020,Makar,"",2R_A1h,Heinz 1706,Seven-day-old etiolated seedling,not applicable,Whole seedling,Ribo-Seq,1 hour IAA,Replicate 2,Plant
