Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,tissue,cell type,translation stalled by,stress induced by,GEO Accession
SRR6726654,17429011,871450550,50,405,SRX3699669,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132874,PRJNA434112,1,"",SRS2959143,SAMN08536544,simple,10090,Mus musculus,GSM3004337,GEO,SRA659552,02,2019,Makar,Erythroblasts,u1chx,Erythroblasts,FVB/n x C57BL/6,Trp53 -/-,fetal liver,Erythroblasts,cyclohexamide,untreated,GSM3004337
SRR6726655,17431245,871562250,50,400,SRX3699670,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132874,PRJNA434112,1,"",SRS2959144,SAMN08536543,simple,10090,Mus musculus,GSM3004338,GEO,SRA659552,02,2019,Makar,Erythroblasts,u2chx,Erythroblasts,FVB/n x C57BL/6,Trp53 -/-,fetal liver,Erythroblasts,cyclohexamide,untreated,GSM3004338
SRR6726656,15748720,787436000,50,363,SRX3699671,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132874,PRJNA434112,1,"",SRS2959145,SAMN08536542,simple,10090,Mus musculus,GSM3004339,GEO,SRA659552,02,2019,Makar,Erythroblasts,u3chx,Erythroblasts,FVB/n x C57BL/6,Trp53 -/-,fetal liver,Erythroblasts,cyclohexamide,untreated,GSM3004339
SRR6726657,15715997,785799850,50,358,SRX3699672,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132874,PRJNA434112,1,"",SRS2959146,SAMN08536541,simple,10090,Mus musculus,GSM3004340,GEO,SRA659552,02,2019,Makar,Erythroblasts,u1har,Erythroblasts,FVB/n x C57BL/6,Trp53 -/-,fetal liver,Erythroblasts,harringtonine,untreated,GSM3004340
SRR6726658,12167990,608399500,50,278,SRX3699673,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132874,PRJNA434112,1,"",SRS2959147,SAMN08536540,simple,10090,Mus musculus,GSM3004341,GEO,SRA659552,02,2019,Makar,Erythroblasts,u2har,Erythroblasts,FVB/n x C57BL/6,Trp53 -/-,fetal liver,Erythroblasts,harringtonine,untreated,GSM3004341
SRR6726659,15922342,796117100,50,368,SRX3699674,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132874,PRJNA434112,1,"",SRS2959148,SAMN08536539,simple,10090,Mus musculus,GSM3004342,GEO,SRA659552,02,2019,Makar,Erythroblasts,u3har,Erythroblasts,FVB/n x C57BL/6,Trp53 -/-,fetal liver,Erythroblasts,harringtonine,untreated,GSM3004342
SRR6726660,16595777,829788850,50,379,SRX3699675,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132874,PRJNA434112,1,"",SRS2959149,SAMN08536538,simple,10090,Mus musculus,GSM3004343,GEO,SRA659552,02,2019,Makar,Erythroblasts,t1chx,Erythroblasts,FVB/n x C57BL/6,Trp53 -/-,fetal liver,Erythroblasts,cyclohexamide,tunicamycin,GSM3004343
SRR6726661,18328539,916426950,50,420,SRX3699676,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132874,PRJNA434112,1,"",SRS2959150,SAMN08536537,simple,10090,Mus musculus,GSM3004344,GEO,SRA659552,02,2019,Makar,Erythroblasts,t2chx,Erythroblasts,FVB/n x C57BL/6,Trp53 -/-,fetal liver,Erythroblasts,cyclohexamide,tunicamycin,GSM3004344
SRR6726662,17020377,851018850,50,394,SRX3699677,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132874,PRJNA434112,1,"",SRS2959151,SAMN08536536,simple,10090,Mus musculus,GSM3004345,GEO,SRA659552,02,2019,Makar,Erythroblasts,t3chx,Erythroblasts,FVB/n x C57BL/6,Trp53 -/-,fetal liver,Erythroblasts,cyclohexamide,tunicamycin,GSM3004345
SRR6726663,12873087,643654350,50,294,SRX3699678,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132874,PRJNA434112,1,"",SRS2959152,SAMN08536534,simple,10090,Mus musculus,GSM3004346,GEO,SRA659552,02,2019,Makar,Erythroblasts,t1har,Erythroblasts,FVB/n x C57BL/6,Trp53 -/-,fetal liver,Erythroblasts,harringtonine,tunicamycin,GSM3004346
SRR6726664,16368850,818442500,50,376,SRX3699679,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132874,PRJNA434112,1,"",SRS2959153,SAMN08536533,simple,10090,Mus musculus,GSM3004347,GEO,SRA659552,02,2019,Makar,Erythroblasts,t2har,Erythroblasts,FVB/n x C57BL/6,Trp53 -/-,fetal liver,Erythroblasts,harringtonine,tunicamycin,GSM3004347
SRR6726665,15692160,784608000,50,361,SRX3699680,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132874,PRJNA434112,1,"",SRS2959155,SAMN08536550,simple,10090,Mus musculus,GSM3004348,GEO,SRA659552,02,2019,Makar,Erythroblasts,t3har,Erythroblasts,FVB/n x C57BL/6,Trp53 -/-,fetal liver,Erythroblasts,harringtonine,tunicamycin,GSM3004348
SRR6726666,20688518,2068851800,50,966,SRX3699681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132874,PRJNA434112,1,"",SRS2959154,SAMN08536549,simple,10090,Mus musculus,GSM3004349,GEO,SRA659552,02,2019,Makar,Erythroblasts,t1rna,Erythroblasts,FVB/n x C57BL/6,Trp53 -/-,fetal liver,Erythroblasts,N/A,tunicamycin,GSM3004349
