Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype/variation,treatment,molecule subtype,GEO Accession
SRR7214386,248785997,12688085847,51,3816,SRX4121331,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335959,SAMN09254300,simple,4932,Saccharomyces cerevisiae,GSM3152879,GEO,SRA710302,08,2019,Stein,TRiC-bound,TRiC-bound Rep 1,TRiC-bound,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152879
SRR7214387,290109654,14795592354,51,6398,SRX4121331,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335959,SAMN09254300,simple,4932,Saccharomyces cerevisiae,GSM3152879,GEO,SRA710302,08,2019,Stein,TRiC-bound,TRiC-bound Rep 1,TRiC-bound,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152880
SRR7214388,180022328,9181138728,51,2783,SRX4121332,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335984,SAMN09254331,simple,4932,Saccharomyces cerevisiae,GSM3152880,GEO,SRA710302,08,2019,Stein,TRiC-bound,TRiC-bound Rep 2,TRiC total,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152881
SRR7214389,54528862,2780971962,51,867,SRX4121332,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335984,SAMN09254331,simple,4932,Saccharomyces cerevisiae,GSM3152880,GEO,SRA710302,08,2019,Stein,TRiC-bound,TRiC-bound Rep 2,TRiC total,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152882
SRR7214390,260920687,13306955037,51,5832,SRX4121332,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335984,SAMN09254331,simple,4932,Saccharomyces cerevisiae,GSM3152880,GEO,SRA710302,08,2019,Stein,TRiC-bound,TRiC-bound Rep 2,TRiC-bound puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152883
SRR7214391,120154379,6127873329,51,1829,SRX4121333,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335960,SAMN09254330,simple,4932,Saccharomyces cerevisiae,GSM3152881,GEO,SRA710302,08,2019,Stein,TRiC total,TRiC total Rep 1,TRiC-bound puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152884
SRR7214392,63975892,3262770492,51,1418,SRX4121333,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335960,SAMN09254330,simple,4932,Saccharomyces cerevisiae,GSM3152881,GEO,SRA710302,08,2019,Stein,TRiC total,TRiC total Rep 1,TRiC total puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152885
SRR7214393,175869045,8969321295,51,2774,SRX4121334,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335961,SAMN09254328,simple,4932,Saccharomyces cerevisiae,GSM3152882,GEO,SRA710302,08,2019,Stein,TRiC total,TRiC total Rep 2,TRiC total puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152886
SRR7214394,16170972,824719572,51,263,SRX4121334,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335961,SAMN09254328,simple,4932,Saccharomyces cerevisiae,GSM3152882,GEO,SRA710302,08,2019,Stein,TRiC total,TRiC total Rep 2,Ssb-bound,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152887
SRR7214395,64672564,3298300764,51,1455,SRX4121334,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335961,SAMN09254328,simple,4932,Saccharomyces cerevisiae,GSM3152882,GEO,SRA710302,08,2019,Stein,TRiC total,TRiC total Rep 2,Ssb-bound,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152888
