Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell culture treatment,GEO Accession
SRR2046309,52021032,2653072632,51,1605,SRX1044619,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP058910,PRJNA285458,26276635,"",SRS950032,SAMN03754009,simple,4932,Saccharomyces cerevisiae,GSM1700885,GEO,SRA270690,06,2015,Young,Whole cells,wild-type,Whole cells,wild-type (BY4741),Grown 8 hours after switch from galactose to glucose,GSM1700885
SRR2046310,52026256,2601312800,50,1630,SRX1044619,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP058910,PRJNA285458,26276635,"",SRS950032,SAMN03754009,simple,4932,Saccharomyces cerevisiae,GSM1700885,GEO,SRA270690,06,2015,Young,Whole cells,wild-type,Whole cells,rli1 degron,Grown 8 hours after switch from galactose to glucose,GSM1700886
SRR2046311,46386847,2365729197,51,1418,SRX1044620,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP058910,PRJNA285458,26276635,"",SRS950031,SAMN03754010,simple,4932,Saccharomyces cerevisiae,GSM1700886,GEO,SRA270690,06,2015,Young,Whole cells,rli1 depletion_1,Whole cells,rli1 degron/dom34delta,Grown 8 hours after switch from galactose to glucose,GSM1700887
SRR2046312,158583030,8087734530,51,4875,SRX1044620,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP058910,PRJNA285458,26276635,"",SRS950031,SAMN03754010,simple,4932,Saccharomyces cerevisiae,GSM1700886,GEO,SRA270690,06,2015,Young,Whole cells,rli1 depletion_1,Whole cells,RLI1 high-copy / dom34delta,,GSM1700888
SRR2046313,61119629,3117101079,51,1836,SRX1044621,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058910,PRJNA285458,26276635,"",SRS950030,SAMN03754011,simple,4932,Saccharomyces cerevisiae,GSM1700887,GEO,SRA270690,06,2015,Young,Whole cells,rli1-depletion/dom34?_1,Whole cells,wild-type +3-AT,3-AT added. Grown 8 hours after switch from galactose to glucose.,GSM1700889
SRR2046314,63212879,3223856829,51,1917,SRX1044622,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058910,PRJNA285458,26276635,"",SRS950029,SAMN03754012,simple,4932,Saccharomyces cerevisiae,GSM1700888,GEO,SRA270690,06,2015,Young,Whole cells,RLI1 high-copy / dom34?,Whole cells,rli1 degron +3-AT,3-AT added. Grown 8 hours after switch from galactose to glucose.,GSM1700890
SRR2046315,97660093,4980664743,51,2956,SRX1044623,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058910,PRJNA285458,26276635,"",SRS950028,SAMN03754013,simple,4932,Saccharomyces cerevisiae,GSM1700889,GEO,SRA270690,06,2015,Young,Whole cells,wild-type +3-AT,Whole cells,rli1 degron,Grown 8 hours after switch from galactose to glucose,GSM1700891
SRR2046316,92361902,4618095100,50,2847,SRX1044623,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058910,PRJNA285458,26276635,"",SRS950028,SAMN03754013,simple,4932,Saccharomyces cerevisiae,GSM1700889,GEO,SRA270690,06,2015,Young,Whole cells,wild-type +3-AT,Whole cells,rli1-degron/dom34delta,Grown 8 hours after switch from galactose to glucose,GSM1700892
SRR2046317,58228840,2969670840,51,1792,SRX1044624,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058910,PRJNA285458,26276635,"",SRS950027,SAMN03754014,simple,4932,Saccharomyces cerevisiae,GSM1700890,GEO,SRA270690,06,2015,Young,Whole cells,rli1 depletion +3-AT,Whole cells,wild-type (BY4741),Grown 8 hours after switch from galactose to glucose,GSM1700893
SRR2046318,195911104,9795555200,50,5873,SRX1044624,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058910,PRJNA285458,26276635,"",SRS950027,SAMN03754014,simple,4932,Saccharomyces cerevisiae,GSM1700890,GEO,SRA270690,06,2015,Young,Whole cells,rli1 depletion +3-AT,Whole cells,rli1 degron mRNA-Seq,Grown 8 hours after switch from galactose to glucose,GSM1700894
SRR2046319,35129965,1756498250,50,1092,SRX1044625,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058910,PRJNA285458,26276635,"",SRS950026,SAMN03754015,simple,4932,Saccharomyces cerevisiae,GSM1700891,GEO,SRA270690,06,2015,Young,Whole cells,rli1 depletion_2,Whole cells,wild-type (BY4741),Grown 8 hours after switch from galactose to glucose,GSM1700885
SRR2046320,162002801,8100140050,50,5170,SRX1044626,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058910,PRJNA285458,26276635,"",SRS950025,SAMN03754016,simple,4932,Saccharomyces cerevisiae,GSM1700892,GEO,SRA270690,06,2015,Young,Whole cells,rli1-depletion/dom34?_2,Whole cells,rli1 degron,Grown 8 hours after switch from galactose to glucose,GSM1700886
SRR2046321,79085832,3954291600,50,2508,SRX1044627,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058910,PRJNA285458,26276635,"",SRS950024,SAMN03754017,simple,4932,Saccharomyces cerevisiae,GSM1700893,GEO,SRA270690,06,2015,Young,Whole cells,wild-type mRNA-Seq,Whole cells,rli1 degron/dom34delta,Grown 8 hours after switch from galactose to glucose,GSM1700887
SRR2046322,75966776,3798338800,50,2407,SRX1044628,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058910,PRJNA285458,26276635,"",SRS950023,SAMN03754018,simple,4932,Saccharomyces cerevisiae,GSM1700894,GEO,SRA270690,06,2015,Young,Whole cells,rli1 depletion mRNA-Seq,Whole cells,RLI1 high-copy / dom34delta,,GSM1700888
