Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,background,genotype,antibody,fraction,GEO Accession
SRR6502788,54120792,4329663360,40,1877,SRX3591481,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP131127,PRJNA430526,30208026,"",SRS2859640,SAMN08375387,simple,4932,Saccharomyces cerevisiae,GSM2940083,GEO,SRA651125,09,2018,Wang,Budding yeast cells,eCLIP.Lso2_IP1.low_RNase,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::LSO2-9XHis-2XPrescission-9XMyc-HIS3,anti-c-Myc,Crosslinked pulldown RNA,GSM2940083
SRR6502789,54301597,4344127760,40,1888,SRX3591482,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP131127,PRJNA430526,30208026,"",SRS2859639,SAMN08375386,simple,4932,Saccharomyces cerevisiae,GSM2940084,GEO,SRA651125,09,2018,Wang,Budding yeast cells,eCLIP.Lso2_IP2.low_RNase,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::LSO2-9XHis-2XPrescission-9XMyc-HIS3,anti-c-Myc,Crosslinked pulldown RNA,GSM2940084
SRR6502790,65636524,5250921920,40,2279,SRX3591483,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP131127,PRJNA430526,30208026,"",SRS2859641,SAMN08375385,simple,4932,Saccharomyces cerevisiae,GSM2940085,GEO,SRA651125,09,2018,Wang,Budding yeast cells,eCLIP.SMI_1.low_RNase,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::LSO2-9XHis-2XPrescission-9XMyc-HIS3,none,Crosslinked input RNA,GSM2940085
SRR6502791,56025475,4482038000,40,1935,SRX3591484,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP131127,PRJNA430526,30208026,"",SRS2859642,SAMN08375379,simple,4932,Saccharomyces cerevisiae,GSM2940086,GEO,SRA651125,09,2018,Wang,Budding yeast cells,eCLIP.SMI_2.low_RNase,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::LSO2-9XHis-2XPrescission-9XMyc-HIS3,none,Crosslinked input RNA,GSM2940086
SRR6502792,54397136,4351770880,40,1909,SRX3591485,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP131127,PRJNA430526,30208026,"",SRS2859644,SAMN08375380,simple,4932,Saccharomyces cerevisiae,GSM2940087,GEO,SRA651125,09,2018,Wang,Budding yeast cells,eCLIP.untagged_1.low_RNase,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1,anti-c-Myc,Crosslinked pulldown RNA,GSM2940087
SRR6502794,51043548,4083483840,40,1784,SRX3591486,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP131127,PRJNA430526,30208026,"",SRS2859643,SAMN08375384,simple,4932,Saccharomyces cerevisiae,GSM2940088,GEO,SRA651125,09,2018,Wang,Budding yeast cells,eCLIP.untagged_2.low_RNase,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1,anti-c-Myc,Crosslinked pulldown RNA,GSM2940088
SRR6502795,76011088,6080887040,40,2441,SRX3591487,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP131127,PRJNA430526,30208026,"",SRS2859645,SAMN08375382,simple,4932,Saccharomyces cerevisiae,GSM2940089,GEO,SRA651125,09,2018,Wang,Budding yeast cells,eCLIP.Lso2_IP1.high_RNase,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::LSO2-9XHis-2XPrescission-9XMyc-HIS3,anti-c-Myc,Crosslinked pulldown RNA,GSM2940089
SRR6502796,73645115,5891609200,40,2359,SRX3591488,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP131127,PRJNA430526,30208026,"",SRS2859646,SAMN08375381,simple,4932,Saccharomyces cerevisiae,GSM2940090,GEO,SRA651125,09,2018,Wang,Budding yeast cells,eCLIP.Lso2_IP2.high_RNase,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::LSO2-9XHis-2XPrescission-9XMyc-HIS3,anti-c-Myc,Crosslinked pulldown RNA,GSM2940090
SRR6502797,78264490,6261159200,40,2543,SRX3591489,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP131127,PRJNA430526,30208026,"",SRS2859647,SAMN08375383,simple,4932,Saccharomyces cerevisiae,GSM2940091,GEO,SRA651125,09,2018,Wang,Budding yeast cells,eCLIP.CCDC124_IP.high_RNase,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::CCDC124-9XHis-2XPrescission-9XMyc-HIS3,anti-c-Myc,Crosslinked pulldown RNA,GSM2940091
SRR6502798,84062466,6724997280,40,2738,SRX3591490,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP131127,PRJNA430526,30208026,"",SRS2859648,SAMN08375378,simple,4932,Saccharomyces cerevisiae,GSM2940092,GEO,SRA651125,09,2018,Wang,Budding yeast cells,eCLIP.SMI.high_RNase,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::LSO2-9XHis-2XPrescission-9XMyc-HIS3,none,Crosslinked input RNA,GSM2940092
