Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,dev_stage,geo_loc_name,tissue,BioSampleModel
SRR4051236,9475709,2368927250,125,851,SRX2040816,WT-total-CK-rep1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA454223,09,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR4051237,8726005,2181501250,125,790,SRX2040817,WT-total-CK-rep2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA454223,09,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR4051238,9837699,2459424750,125,859,SRX2040818,WT-poly-HT-rep2,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA454223,09,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR4051239,9235453,2308863250,125,806,SRX2040819,WT-poly-HT-rep3,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA454223,09,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR4051240,10023197,2505799250,125,897,SRX2040820,3-1-total-CK-rep1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR4051241,8963891,2240972750,125,811,SRX2040821,3-1-total-CK-rep2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR4051242,12675948,3168987000,125,1155,SRX2040822,3-1-total-CK-rep3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR4051243,10472760,2618190000,125,922,SRX2040823,3-1-poly-CK-rep1,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR4051244,9116486,2279121500,125,795,SRX2040824,3-1-poly-CK-rep2,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR4051245,10733525,2683381250,125,918,SRX2040825,3-1-poly-CK-rep3,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
