Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,strain,developmental stage,strain/background,treatment,tissue,Sex,GEO Accession
SRR11497609,80968768,7368157888,61,4371,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,mixed sample (non-demultiplexed),C57Bl6/J,Embryonic days 14 and 18,,,,,GSM4456522
SRR11497610,122334635,11132451785,54,7014,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721912
SRR11497611,124924216,11368103656,54,7145,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721913
SRR11497612,124897716,11365692156,54,7126,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721914
SRR11497613,117488467,10691450497,54,6734,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721915
SRR11497614,114802299,10447009209,54,6642,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721916
SRR11497615,103927020,9457358820,54,6022,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721917
SRR11497616,108839681,9904410971,54,6304,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721918
SRR11497617,97059158,8832383378,54,5338,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721919
SRR11497618,95867591,8723950781,54,5273,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721920
