Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,rep,fraction,GEO Accession
SRR3131003,9593373,489262023,51,303,SRX1550664,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267381,SAMN04446347,simple,9606,Homo sapiens,GSM2049892,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-ctrl-RPF-rep1-readlane1,MDA-parental,MDA-parental,1,RPF,GSM2049892
SRR3131004,9550076,487053876,51,302,SRX1550665,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267380,SAMN04446348,simple,9606,Homo sapiens,GSM2049894,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-ctrl-RPF-rep1-readlane2,MDA-parental,MDA-parental,1,RPF,GSM2049894
SRR3131005,11544912,588790512,51,359,SRX1550666,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267379,SAMN04446349,simple,9606,Homo sapiens,GSM2049896,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-ctrl-TT-rep1-readlane1,MDA-parental,MDA-parental,1,TT,GSM2049896
SRR3131006,11473176,585131976,51,357,SRX1550667,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267378,SAMN04446350,simple,9606,Homo sapiens,GSM2049898,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-ctrl-TT-rep1-readlane2,MDA-parental,MDA-parental,1,TT,GSM2049898
SRR3131007,11809971,602308521,51,372,SRX1550668,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267377,SAMN04446351,simple,9606,Homo sapiens,GSM2049900,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-ctrl-RPF-rep2-readlane1,MDA-parental,MDA-parental,2,RPF,GSM2049900
SRR3131008,11758847,599701197,51,371,SRX1550669,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267376,SAMN04446352,simple,9606,Homo sapiens,GSM2049902,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-ctrl-RPF-rep2-readlane2,MDA-parental,MDA-parental,2,RPF,GSM2049902
SRR3131009,9179993,468179643,51,285,SRX1550670,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267375,SAMN04446353,simple,9606,Homo sapiens,GSM2049904,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-ctrl-TT-rep2-readlane1,MDA-parental,MDA-parental,2,TT,GSM2049904
SRR3131010,9135923,465932073,51,284,SRX1550671,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267374,SAMN04446354,simple,9606,Homo sapiens,GSM2049907,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-ctrl-TT-rep2-readlane2,MDA-parental,MDA-parental,2,TT,GSM2049907
SRR3131011,11650140,594157140,51,372,SRX1550672,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267373,SAMN04446355,simple,9606,Homo sapiens,GSM2049908,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-glu-RPF-rep1-readlane1,MDA-parental,MDA-parental,1,RPF,GSM2049908
SRR3131012,11586612,590917212,51,370,SRX1550673,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267372,SAMN04446356,simple,9606,Homo sapiens,GSM2049910,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-glu-RPF-rep1-readlane2,MDA-parental,MDA-parental,1,RPF,GSM2049910
SRR3131013,11720510,597746010,51,363,SRX1550674,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267371,SAMN04446357,simple,9606,Homo sapiens,GSM2049912,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-glu-TT-rep1-readlane1,MDA-parental,MDA-parental,1,TT,GSM2049912
SRR3131014,11646732,593983332,51,361,SRX1550675,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267370,SAMN04446358,simple,9606,Homo sapiens,GSM2049914,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-glu-TT-rep1-readlane2,MDA-parental,MDA-parental,1,TT,GSM2049914
