Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,sample type,infection,time,treatment,substrain,GEO Accession
SRR869824,21506093,989280278,46,631,SRX287629,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430288,SAMN02183368,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151297,GEO,SRA082464,07,2013,Liu,E. coli lambda phage lysogen heatshock 20min,Induction 20min Rep1,E. coli lambda phage lysogen heatshock 20min,K-12,λcI857 lysogen of MG1655 and E. coli,Bacteriophage lambda,20min,heat shock,MG1655,GSM1151297
SRR869816,34438912,1584189952,46,988,SRX287630,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430289,SAMN02183356,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151289,GEO,SRA082464,07,2013,Liu,E. coli lambda phage lysogen heatshock 0min,Induction 0min Rep1,E. coli lambda phage lysogen heatshock 0min,K-12,λcI857 lysogen of MG1655 and E. coli,Bacteriophage lambda,0min,heat shock,MG1655,GSM1151289
SRR869817,14503766,667173236,46,407,SRX287631,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430290,SAMN02183357,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151290,GEO,SRA082464,07,2013,Liu,E. coli lambda phage lysogen heatshock 0min,Induction 0min Rep2,E. coli lambda phage lysogen heatshock 0min,K-12,λcI857 lysogen of MG1655 and E. coli,Bacteriophage lambda,0min,heat shock,MG1655,GSM1151290
SRR869818,27754817,1276721582,46,804,SRX287632,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430291,SAMN02183358,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151291,GEO,SRA082464,07,2013,Liu,E. coli lambda phage lysogen heatshock 2min,Induction 2min Rep1,E. coli lambda phage lysogen heatshock 2min,K-12,λcI857 lysogen of MG1655 and E. coli,Bacteriophage lambda,2min,heat shock,MG1655,GSM1151291
SRR869819,10874756,500238776,46,300,SRX287633,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430292,SAMN02183359,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151292,GEO,SRA082464,07,2013,Liu,E. coli lambda phage lysogen heatshock 2min,Induction 2min Rep2,E. coli lambda phage lysogen heatshock 2min,K-12,λcI857 lysogen of MG1655 and E. coli,Bacteriophage lambda,2min,heat shock,MG1655,GSM1151292
SRR869820,22986247,1057367362,46,676,SRX287634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430293,SAMN02183360,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151293,GEO,SRA082464,07,2013,Liu,E. coli lambda phage lysogen heatshock 5min,Induction 5min Rep1,E. coli lambda phage lysogen heatshock 5min,K-12,λcI857 lysogen of MG1655 and E. coli,Bacteriophage lambda,5min,heat shock,MG1655,GSM1151293
SRR869821,12974019,596804874,46,366,SRX287635,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430295,SAMN02183361,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151294,GEO,SRA082464,07,2013,Liu,E. coli lambda phage lysogen heatshock 5min,Induction 5min Rep2,E. coli lambda phage lysogen heatshock 5min,K-12,λcI857 lysogen of MG1655 and E. coli,Bacteriophage lambda,5min,heat shock,MG1655,GSM1151294
SRR869822,23265162,1070197452,46,689,SRX287636,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430294,SAMN02183366,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151295,GEO,SRA082464,07,2013,Liu,E. coli lambda phage lysogen heatshock 10min,Induction 10min Rep1,E. coli lambda phage lysogen heatshock 10min,K-12,λcI857 lysogen of MG1655 and E. coli,Bacteriophage lambda,10min,heat shock,MG1655,GSM1151295
SRR869823,14224109,654309014,46,419,SRX287637,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430296,SAMN02183367,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151296,GEO,SRA082464,07,2013,Liu,E. coli lambda phage lysogen heatshock 10min,Induction 10min Rep2,E. coli lambda phage lysogen heatshock 10min,K-12,λcI857 lysogen of MG1655 and E. coli,Bacteriophage lambda,10min,heat shock,MG1655,GSM1151296
SRR869825,13624311,626718306,46,399,SRX287638,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430297,SAMN02183365,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151298,GEO,SRA082464,07,2013,Liu,E. coli lambda phage lysogen heatshock 20min,Induction 20min Rep2,E. coli lambda phage lysogen heatshock 20min,K-12,λcI857 lysogen of MG1655 and E. coli,Bacteriophage lambda,20min,heat shock,MG1655,GSM1151298
