Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,incubation temperature
SRR9052038,29107652,1484490252,51,481,SRX5828287,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP198359,PRJNA542817,32359423,"",SRS4755988,SAMN11639969,simple,4932,Saccharomyces cerevisiae,GSM3765211,GEO,SRA886211,04,2020,Iserman,Yeast liquid culture,WT_30°C_Rep1,Yeast liquid culture,W303 Ade+,Ded1-mCherry,30 degreeC
SRR9052039,23874725,1217610975,51,402,SRX5828288,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP198359,PRJNA542817,32359423,"",SRS4755989,SAMN11639968,simple,4932,Saccharomyces cerevisiae,GSM3765212,GEO,SRA886211,04,2020,Iserman,Yeast liquid culture,WT_30°C_Rep2,Yeast liquid culture,W303 Ade+,Ded1-mCherry,30 degreeC
SRR9052040,22286218,1136597118,51,373,SRX5828289,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP198359,PRJNA542817,32359423,"",SRS4755990,SAMN11639966,simple,4932,Saccharomyces cerevisiae,GSM3765213,GEO,SRA886211,04,2020,Iserman,Yeast liquid culture,WT_40°C_Rep1,Yeast liquid culture,W303 Ade+,Ded1-mCherry,40 degreeC
SRR9052041,27947625,1425328875,51,459,SRX5828290,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP198359,PRJNA542817,32359423,"",SRS4755991,SAMN11639965,simple,4932,Saccharomyces cerevisiae,GSM3765214,GEO,SRA886211,04,2020,Iserman,Yeast liquid culture,WT_40°C_Rep2,Yeast liquid culture,W303 Ade+,Ded1-mCherry,40 degreeC
SRR9052042,31465250,1604727750,51,516,SRX5828291,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP198359,PRJNA542817,32359423,"",SRS4755992,SAMN11639964,simple,4932,Saccharomyces cerevisiae,GSM3765215,GEO,SRA886211,04,2020,Iserman,Yeast liquid culture,WT_42°C_Rep1,Yeast liquid culture,W303 Ade+,Ded1-mCherry,42 degreeC
SRR9052043,22730333,1159246983,51,377,SRX5828292,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP198359,PRJNA542817,32359423,"",SRS4755993,SAMN11639963,simple,4932,Saccharomyces cerevisiae,GSM3765216,GEO,SRA886211,04,2020,Iserman,Yeast liquid culture,WT_42°C_Rep2,Yeast liquid culture,W303 Ade+,Ded1-mCherry,42 degreeC
SRR9052044,18003587,918182937,51,300,SRX5828293,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP198359,PRJNA542817,32359423,"",SRS4755994,SAMN11639962,simple,4932,Saccharomyces cerevisiae,GSM3765217,GEO,SRA886211,04,2020,Iserman,Yeast liquid culture,IDRm_30°C_Rep1,Yeast liquid culture,W303 Ade+,Ded1_IDRm-mCherry,30 degreeC
SRR9052045,20851840,1063443840,51,348,SRX5828294,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP198359,PRJNA542817,32359423,"",SRS4755995,SAMN11639961,simple,4932,Saccharomyces cerevisiae,GSM3765218,GEO,SRA886211,04,2020,Iserman,Yeast liquid culture,IDRm_30°C_Rep2,Yeast liquid culture,W303 Ade+,Ded1_IDRm-mCherry,30 degreeC
SRR9052046,21490219,1096001169,51,354,SRX5828295,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP198359,PRJNA542817,32359423,"",SRS4755996,SAMN11639960,simple,4932,Saccharomyces cerevisiae,GSM3765219,GEO,SRA886211,04,2020,Iserman,Yeast liquid culture,IDRm_40°C_Rep1,Yeast liquid culture,W303 Ade+,Ded1_IDRm-mCherry,40 degreeC
SRR9052047,22081597,1126161447,51,370,SRX5828296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP198359,PRJNA542817,32359423,"",SRS4755997,SAMN11639959,simple,4932,Saccharomyces cerevisiae,GSM3765220,GEO,SRA886211,04,2020,Iserman,Yeast liquid culture,IDRm_40°C_Rep2,Yeast liquid culture,W303 Ade+,Ded1_IDRm-mCherry,40 degreeC
SRR9052048,21216943,1082064093,51,353,SRX5828297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP198359,PRJNA542817,32359423,"",SRS4755998,SAMN11639958,simple,4932,Saccharomyces cerevisiae,GSM3765221,GEO,SRA886211,04,2020,Iserman,Yeast liquid culture,IDRm_42°C_Rep1,Yeast liquid culture,W303 Ade+,Ded1_IDRm-mCherry,42 degreeC
SRR9052049,20841350,1062908850,51,343,SRX5828298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP198359,PRJNA542817,32359423,"",SRS4755999,SAMN11639957,simple,4932,Saccharomyces cerevisiae,GSM3765222,GEO,SRA886211,04,2020,Iserman,Yeast liquid culture,IDRm_42°C_Rep2,Yeast liquid culture,W303 Ade+,Ded1_IDRm-mCherry,42 degreeC
