Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,age,cells,GEO Accession
SRR8895030,139983054,7979034078,57,4459,SRX5681167,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192549,PRJNA532831,31551601,"",SRS4621864,SAMN11415855,simple,10090,Mus musculus,GSM3722100,GEO,SRA873914,07,2019,Ximerakis,10x of dissociated mouse brain - young 1,YX1L: Young animal 1,10x of dissociated mouse brain - young 1,brain,2-3 months,1370,GSM3722100
SRR8895031,123119726,7017824382,57,4106,SRX5681168,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192549,PRJNA532831,31551601,"",SRS4621863,SAMN11415854,simple,10090,Mus musculus,GSM3722101,GEO,SRA873914,07,2019,Ximerakis,10x of dissociated mouse brain - young 2,YX2L: Young animal 2,10x of dissociated mouse brain - young 2,brain,2-3 months,1666,GSM3722101
SRR8895032,100419219,5723895483,57,3447,SRX5681169,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192549,PRJNA532831,31551601,"",SRS4621866,SAMN11415853,simple,10090,Mus musculus,GSM3722102,GEO,SRA873914,07,2019,Ximerakis,10x of dissociated mouse brain - young 3,YX3R: Young animal 3,10x of dissociated mouse brain - young 3,brain,2-3 months,1851,GSM3722102
SRR8895033,109301141,6230165037,57,3749,SRX5681170,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192549,PRJNA532831,31551601,"",SRS4621865,SAMN11415852,simple,10090,Mus musculus,GSM3722103,GEO,SRA873914,07,2019,Ximerakis,10x of dissociated mouse brain - young 4,YX4R: Young animal 4,10x of dissociated mouse brain - young 4,brain,2-3 months,2279,GSM3722103
SRR8895034,96952518,5526293526,57,3424,SRX5681171,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192549,PRJNA532831,31551601,"",SRS4621867,SAMN11415851,simple,10090,Mus musculus,GSM3722104,GEO,SRA873914,07,2019,Ximerakis,10x of dissociated mouse brain - young 5,YX5R: Young animal 5,10x of dissociated mouse brain - young 5,brain,2-3 months,1856,GSM3722104
SRR8895035,110632230,6306037110,57,3868,SRX5681172,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192549,PRJNA532831,31551601,"",SRS4621868,SAMN11415850,simple,10090,Mus musculus,GSM3722105,GEO,SRA873914,07,2019,Ximerakis,10x of dissociated mouse brain - young 6,YX6L: Young animal 6,10x of dissociated mouse brain - young 6,brain,2-3 months,1839,GSM3722105
SRR8895036,121135396,6904717572,57,4183,SRX5681173,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192549,PRJNA532831,31551601,"",SRS4621869,SAMN11415849,simple,10090,Mus musculus,GSM3722106,GEO,SRA873914,07,2019,Ximerakis,10x of dissociated mouse brain - young 7,YX7R: Young animal 7,10x of dissociated mouse brain - young 7,brain,2-3 months,2519,GSM3722106
SRR8895037,190763173,10873500861,57,6597,SRX5681174,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192549,PRJNA532831,31551601,"",SRS4621870,SAMN11415848,simple,10090,Mus musculus,GSM3722107,GEO,SRA873914,07,2019,Ximerakis,10x of dissociated mouse brain - young 8,YX8L: Young animal 8,10x of dissociated mouse brain - young 8,brain,2-3 months,2648,GSM3722107
SRR8895038,121242194,6910805058,57,4254,SRX5681175,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192549,PRJNA532831,31551601,"",SRS4621871,SAMN11415847,simple,10090,Mus musculus,GSM3722108,GEO,SRA873914,07,2019,Ximerakis,10x of dissociated mouse brain - old 8,OX1X: Old animal 1,10x of dissociated mouse brain - old 8,brain,21-22 months,1823,GSM3722108
SRR8895023,104421101,5952002757,57,3678,SRX5681176,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192549,PRJNA532831,31551601,"",SRS4621872,SAMN11415846,simple,10090,Mus musculus,GSM3722109,GEO,SRA873914,07,2019,Ximerakis,10x of dissociated mouse brain - old 9,OX2X: Old animal 2,10x of dissociated mouse brain - old 9,brain,21-22 months,1489,GSM3722109
