Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,GEO Accession
SRR12382153,51649667,5164966700,100,1502,SRX8880834,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP275758,PRJNA655121,33963355,"",SRS7140828,SAMN15721189,simple,9606,Homo sapiens,GSM4709474,GEO,SRA1107477,05,2021,Brannan,HEK293T,HEK293T-control-STAMP none,HEK293T,HEK293T,GSM4709474
SRR12382154,46302558,4630255800,100,1332,SRX8880835,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP275758,PRJNA655121,33963355,"",SRS7140829,SAMN15721188,simple,9606,Homo sapiens,GSM4709475,GEO,SRA1107477,05,2021,Brannan,HEK293T,HEK293T-control-STAMP low,HEK293T,HEK293T,GSM4709475
SRR12382155,54020544,5402054400,100,1552,SRX8880836,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP275758,PRJNA655121,33963355,"",SRS7140830,SAMN15721187,simple,9606,Homo sapiens,GSM4709476,GEO,SRA1107477,05,2021,Brannan,HEK293T,HEK293T-control-STAMP high,HEK293T,HEK293T,GSM4709476
SRR12382156,8160803,824241103,101,225,SRX8880837,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP275758,PRJNA655121,33963355,"",SRS7140831,SAMN15721186,simple,9606,Homo sapiens,GSM4709477,GEO,SRA1107477,05,2021,Brannan,HEK293T,HEK293T-control-STAMP none rep1,HEK293T,HEK293T,GSM4709477
SRR12382157,6206749,626881649,101,172,SRX8880838,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP275758,PRJNA655121,33963355,"",SRS7140832,SAMN15721185,simple,9606,Homo sapiens,GSM4709478,GEO,SRA1107477,05,2021,Brannan,HEK293T,HEK293T-control-STAMP none rep2,HEK293T,HEK293T,GSM4709478
SRR12382158,35065767,2664998292,76,980,SRX8880839,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP275758,PRJNA655121,33963355,"",SRS7140833,SAMN15721179,simple,9606,Homo sapiens,GSM4709479,GEO,SRA1107477,05,2021,Brannan,HEK293T,HEK293T-control-STAMP 24h low rep1,HEK293T,HEK293T,GSM4709479
SRR12382159,7579020,765481020,101,211,SRX8880840,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP275758,PRJNA655121,33963355,"",SRS7140834,SAMN15721172,simple,9606,Homo sapiens,GSM4709480,GEO,SRA1107477,05,2021,Brannan,HEK293T,HEK293T-control-STAMP 24h low rep2,HEK293T,HEK293T,GSM4709480
SRR12382160,7379161,745295261,101,205,SRX8880841,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP275758,PRJNA655121,33963355,"",SRS7140835,SAMN15721169,simple,9606,Homo sapiens,GSM4709481,GEO,SRA1107477,05,2021,Brannan,HEK293T,HEK293T-control-STAMP 24h high rep1,HEK293T,HEK293T,GSM4709481
SRR12382161,20954080,1592510080,76,586,SRX8880842,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP275758,PRJNA655121,33963355,"",SRS7140836,SAMN15721165,simple,9606,Homo sapiens,GSM4709482,GEO,SRA1107477,05,2021,Brannan,HEK293T,HEK293T-control-STAMP 24h high rep2,HEK293T,HEK293T,GSM4709482
SRR12382162,7625605,770186105,101,209,SRX8880843,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP275758,PRJNA655121,33963355,"",SRS7140837,SAMN15721157,simple,9606,Homo sapiens,GSM4709483,GEO,SRA1107477,05,2021,Brannan,HEK293T,HEK293T-control-STAMP 48h low rep1,HEK293T,HEK293T,GSM4709483
