Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,Stage,temperature,GEO Accession
SRR14189725,31780155,2383511625,75,842,SRX10556676,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314065,PRJNA720671,35476978,"",SRS8663290,SAMN18675308,simple,6239,Caenorhabditis elegans,GSM5231627,GEO,SRA1216467,04,2021,Duan,whole animal,DG3913_rep_A [Ribo-seq],whole animal,lin-41(tn1541),mid L4,20C,GSM5231627
SRR14189726,25240467,1893035025,75,691,SRX10556677,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314065,PRJNA720671,35476978,"",SRS8663291,SAMN18675307,simple,6239,Caenorhabditis elegans,GSM5231628,GEO,SRA1216467,04,2021,Duan,whole animal,DG3913_rep_B [Ribo-seq],whole animal,lin-41(tn1541),mid L4,20C,GSM5231628
SRR14189727,24216765,1816257375,75,649,SRX10556678,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314065,PRJNA720671,35476978,"",SRS8663292,SAMN18675306,simple,6239,Caenorhabditis elegans,GSM5231629,GEO,SRA1216467,04,2021,Duan,whole animal,DG3913_rep_C [Ribo-seq],whole animal,lin-41(tn1541),mid L4,20C,GSM5231629
SRR14189728,29484691,2211351825,75,795,SRX10556679,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314065,PRJNA720671,35476978,"",SRS8663293,SAMN18675305,simple,6239,Caenorhabditis elegans,GSM5231630,GEO,SRA1216467,04,2021,Duan,whole animal,VT3878_rep_A [Ribo-seq],whole animal,lin-41(tn1541ma480);let-7(ma432),mid L4,20C,GSM5231630
SRR14189729,56429503,4232212725,75,1514,SRX10556680,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314065,PRJNA720671,35476978,"",SRS8663294,SAMN18675304,simple,6239,Caenorhabditis elegans,GSM5231631,GEO,SRA1216467,04,2021,Duan,whole animal,VT3878_rep_B [Ribo-seq],whole animal,lin-41(tn1541ma480);let-7(ma432),mid L4,20C,GSM5231631
SRR14189730,28515308,2138648100,75,772,SRX10556681,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314065,PRJNA720671,35476978,"",SRS8663295,SAMN18675303,simple,6239,Caenorhabditis elegans,GSM5231632,GEO,SRA1216467,04,2021,Duan,whole animal,VT3878_rep_C [Ribo-seq],whole animal,lin-41(tn1541ma480);let-7(ma432),mid L4,20C,GSM5231632
SRR14189731,33067264,2480044800,75,902,SRX10556682,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314065,PRJNA720671,35476978,"",SRS8663296,SAMN18675302,simple,6239,Caenorhabditis elegans,GSM5231633,GEO,SRA1216467,04,2021,Duan,whole animal,VT1367_rep_A [Ribo-seq],whole animal,maIs105,mid L4,20C,GSM5231633
SRR14189732,67468404,5060130300,75,1825,SRX10556683,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314065,PRJNA720671,35476978,"",SRS8663297,SAMN18675301,simple,6239,Caenorhabditis elegans,GSM5231634,GEO,SRA1216467,04,2021,Duan,whole animal,VT1367_rep_B [Ribo-seq],whole animal,maIs105,mid L4,20C,GSM5231634
SRR14189733,45289508,3396713100,75,1237,SRX10556684,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314065,PRJNA720671,35476978,"",SRS8663298,SAMN18675300,simple,6239,Caenorhabditis elegans,GSM5231635,GEO,SRA1216467,04,2021,Duan,whole animal,VT1367_rep_C [Ribo-seq],whole animal,maIs105,mid L4,20C,GSM5231635
SRR14189734,27060563,2029542225,75,735,SRX10556685,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314065,PRJNA720671,35476978,"",SRS8663299,SAMN18675299,simple,6239,Caenorhabditis elegans,GSM5231636,GEO,SRA1216467,04,2021,Duan,whole animal,VT3797_rep_A [Ribo-seq],whole animal,maIs105;let-7(ma435),mid L4,20C,GSM5231636
SRR14189735,23036017,1727701275,75,625,SRX10556686,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314065,PRJNA720671,35476978,"",SRS8663300,SAMN18675298,simple,6239,Caenorhabditis elegans,GSM5231637,GEO,SRA1216467,04,2021,Duan,whole animal,VT3797_rep_B [Ribo-seq],whole animal,maIs105;let-7(ma435),mid L4,20C,GSM5231637
SRR14189736,25762025,1932151875,75,699,SRX10556687,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP314065,PRJNA720671,35476978,"",SRS8663301,SAMN18675297,simple,6239,Caenorhabditis elegans,GSM5231638,GEO,SRA1216467,04,2021,Duan,whole animal,VT3797_rep_C [Ribo-seq],whole animal,maIs105;let-7(ma435),mid L4,20C,GSM5231638
