Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,strain,sample type,GEO Accession
SRR6189654,93798604,4689930200,50,1448,SRX3299683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120478,PRJNA414959,30643286,"",SRS2610902,SAMN07813941,simple,10090,Mus musculus,GSM2823253,GEO,SRA620997,01,2019,Xu,liver,RNA-seq for WT mouse liver 1,liver,Wild type,C57BL/6,polyA RNA,GSM2823253
SRR6189655,79925501,3996275050,50,1232,SRX3299684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120478,PRJNA414959,30643286,"",SRS2610903,SAMN07813940,simple,10090,Mus musculus,GSM2823254,GEO,SRA620997,01,2019,Xu,liver,RNA-seq for WT mouse liver 2,liver,Wild type,C57BL/6,polyA RNA,GSM2823254
SRR6189656,119120421,5956021050,50,2063,SRX3299685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120478,PRJNA414959,30643286,"",SRS2610901,SAMN07813939,simple,10090,Mus musculus,GSM2823255,GEO,SRA620997,01,2019,Xu,liver,RNA-seq for WT mouse liver 3,liver,Wild type,C57BL/6,polyA RNA,GSM2823255
SRR6189657,63789695,3189484750,50,965,SRX3299686,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120478,PRJNA414959,30643286,"",SRS2610904,SAMN07813938,simple,10090,Mus musculus,GSM2823256,GEO,SRA620997,01,2019,Xu,liver,Ribo-seq for WT mouse liver 1,liver,Wild type,C57BL/6,ribosome protected RNA,GSM2823256
SRR6189658,88683091,4434154550,50,1337,SRX3299687,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120478,PRJNA414959,30643286,"",SRS2610905,SAMN07813937,simple,10090,Mus musculus,GSM2823257,GEO,SRA620997,01,2019,Xu,liver,Ribo-seq for WT mouse liver 2,liver,Wild type,C57BL/6,ribosome protected RNA,GSM2823257
SRR6189659,75270285,3763514250,50,1245,SRX3299688,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120478,PRJNA414959,30643286,"",SRS2610906,SAMN07813936,simple,10090,Mus musculus,GSM2823258,GEO,SRA620997,01,2019,Xu,liver,Ribo-seq for WT mouse liver 3,liver,Wild type,C57BL/6,ribosome protected RNA,GSM2823258
SRR6189660,51509890,2627004390,51,1386,SRX3299689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120478,PRJNA414959,30643286,"",SRS2610907,SAMN07813935,simple,10090,Mus musculus,GSM2823259,GEO,SRA620997,01,2019,Xu,liver,RNA-seq for KRAS(G12D) mouse liver tumor 1,liver,Alb Cre specific expression of LSL-KRAS(G12D),C57BL/6,polyA RNA,GSM2823259
SRR6189661,56867440,2900239440,51,1526,SRX3299690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120478,PRJNA414959,30643286,"",SRS2610908,SAMN07813934,simple,10090,Mus musculus,GSM2823260,GEO,SRA620997,01,2019,Xu,liver,RNA-seq for KRAS(G12D) mouse liver tumor 2,liver,Alb Cre specific expression of LSL-KRAS(G12D),C57BL/6,polyA RNA,GSM2823260
SRR6189662,37573820,1916264820,51,1012,SRX3299691,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120478,PRJNA414959,30643286,"",SRS2610909,SAMN07813933,simple,10090,Mus musculus,GSM2823261,GEO,SRA620997,01,2019,Xu,liver,Ribo-seq for KRAS(G12D) mouse liver tumor 1,liver,Alb Cre specific expression of LSL-KRAS(G12D),C57BL/6,ribosome protected RNA,GSM2823261
SRR6189663,51347445,2618719695,51,1392,SRX3299692,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120478,PRJNA414959,30643286,"",SRS2610911,SAMN07813932,simple,10090,Mus musculus,GSM2823262,GEO,SRA620997,01,2019,Xu,liver,Ribo-seq for KRAS(G12D) mouse liver tumor 2,liver,Alb Cre specific expression of LSL-KRAS(G12D),C57BL/6,ribosome protected RNA,GSM2823262
SRR6189664,51058266,2603971566,51,1614,SRX3299693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120478,PRJNA414959,30643286,"",SRS2610910,SAMN07813931,simple,10090,Mus musculus,GSM2823263,GEO,SRA620997,01,2019,Xu,liver,RNA-seq for MYC(Tg); KRAS(G12D) mouse liver tumor 1,liver,Alb Cre specific expression of HA-epitope tagged c-MYC (human) and LSL-KRAS(G12D),C57BL/6,polyA RNA,GSM2823263
SRR6189665,75365579,3843644529,51,2396,SRX3299694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120478,PRJNA414959,30643286,"",SRS2610912,SAMN07813930,simple,10090,Mus musculus,GSM2823264,GEO,SRA620997,01,2019,Xu,liver,RNA-seq for MYC(Tg); KRAS(G12D) mouse liver tumor 2,liver,Alb Cre specific expression of HA-epitope tagged c-MYC (human) and LSL-KRAS(G12D),C57BL/6,polyA RNA,GSM2823264
SRR6189666,94313554,4809991254,51,2990,SRX3299695,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120478,PRJNA414959,30643286,"",SRS2610914,SAMN07813929,simple,10090,Mus musculus,GSM2823265,GEO,SRA620997,01,2019,Xu,liver,Ribo-seq for MYC(Tg); KRAS(G12D) mouse liver tumor 1,liver,Alb Cre specific expression of HA-epitope tagged c-MYC (human) and LSL-KRAS(G12D),C57BL/6,ribosome protected RNA,GSM2823265
SRR6189667,61079177,3115038027,51,1953,SRX3299696,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120478,PRJNA414959,30643286,"",SRS2610913,SAMN07813928,simple,10090,Mus musculus,GSM2823266,GEO,SRA620997,01,2019,Xu,liver,Ribo-seq for MYC(Tg); KRAS(G12D) mouse liver tumor 2,liver,Alb Cre specific expression of HA-epitope tagged c-MYC (human) and LSL-KRAS(G12D),C57BL/6,ribosome protected RNA,GSM2823266
