Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue source,cell type,days in vitro,cell culture platform,cellular fraction,molecule subtype,GEO Accession
SRR8919665,30723558,7680889500,125,3443,SRX5700999,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192787,PRJNA533159,31697236,"",SRS4640192,SAMN11444446,simple,10116,Rattus norvegicus,GSM3728192,GEO,SRA875520,04,2019,Saini,whole-cell total RNAseq,whole-cell total RNAseq rep1,whole-cell total RNAseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Whole-cells,"Total RNA, rRNA depleted",GSM3728192
SRR8919666,37691664,9422916000,125,4203,SRX5701000,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192787,PRJNA533159,31697236,"",SRS4640191,SAMN11444445,simple,10116,Rattus norvegicus,GSM3728193,GEO,SRA875520,04,2019,Saini,whole-cell total RNAseq,whole-cell total RNAseq rep2,whole-cell total RNAseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Whole-cells,"Total RNA, rRNA depleted",GSM3728193
SRR8919667,36516546,9129136500,125,4087,SRX5701001,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192787,PRJNA533159,31697236,"",SRS4640193,SAMN11444444,simple,10116,Rattus norvegicus,GSM3728194,GEO,SRA875520,04,2019,Saini,whole-cell total RNAseq,whole-cell total RNAseq rep3,whole-cell total RNAseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Whole-cells,"Total RNA, rRNA depleted",GSM3728194
SRR8919668,43410992,8682198400,100,3001,SRX5701002,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP192787,PRJNA533159,31697236,"",SRS4640194,SAMN11444443,simple,10116,Rattus norvegicus,GSM3728195,GEO,SRA875520,04,2019,Saini,whole-cell total RNAseq,whole-cell total RNAseq rep4,whole-cell total RNAseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Whole-cells,"Total RNA, rRNA depleted",GSM3728195
SRR8919669,46281721,9256344200,100,3281,SRX5701003,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP192787,PRJNA533159,31697236,"",SRS4640195,SAMN11444442,simple,10116,Rattus norvegicus,GSM3728196,GEO,SRA875520,04,2019,Saini,whole-cell total RNAseq,whole-cell total RNAseq rep5,whole-cell total RNAseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Whole-cells,"Total RNA, rRNA depleted",GSM3728196
SRR8919670,64057234,16014308500,125,7175,SRX5701004,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192787,PRJNA533159,31697236,"",SRS4640197,SAMN11444441,simple,10116,Rattus norvegicus,GSM3728197,GEO,SRA875520,04,2019,Saini,projections total RNAseq,projections total RNAseq rep1,projections total RNAseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Projections,"Total RNA, rRNA depleted",GSM3728197
SRR8919671,62323377,15580844250,125,7106,SRX5701005,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192787,PRJNA533159,31697236,"",SRS4640196,SAMN11444440,simple,10116,Rattus norvegicus,GSM3728198,GEO,SRA875520,04,2019,Saini,projections total RNAseq,projections total RNAseq rep2,projections total RNAseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Projections,"Total RNA, rRNA depleted",GSM3728198
SRR8919672,58929210,14732302500,125,6605,SRX5701006,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192787,PRJNA533159,31697236,"",SRS4640198,SAMN11444439,simple,10116,Rattus norvegicus,GSM3728199,GEO,SRA875520,04,2019,Saini,projections total RNAseq,projections total RNAseq rep3,projections total RNAseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Projections,"Total RNA, rRNA depleted",GSM3728199
SRR8919673,84655213,16931042600,100,5808,SRX5701007,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP192787,PRJNA533159,31697236,"",SRS4640199,SAMN11444438,simple,10116,Rattus norvegicus,GSM3728200,GEO,SRA875520,04,2019,Saini,projections total RNAseq,projections total RNAseq rep4,projections total RNAseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Projections,"Total RNA, rRNA depleted",GSM3728200
SRR8919674,81081275,16216255000,100,5618,SRX5701008,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP192787,PRJNA533159,31697236,"",SRS4640200,SAMN11444437,simple,10116,Rattus norvegicus,GSM3728201,GEO,SRA875520,04,2019,Saini,projections total RNAseq,projections total RNAseq rep5,projections total RNAseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Projections,"Total RNA, rRNA depleted",GSM3728201
