Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,genotype,sample name,strain,Experimental Factor: hfq deletion strain,Experimental Factor: wild type genotype
ERR1797533,10384865,1570390818,75,569,ERX1861083,hfq1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505506,SAMEA50543668,simple,294,Pseudomonas fluorescens,SAMEA50543668,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",hfq1,2017-08-24,2017-01-16,SAMEA50543668,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:hfq1,ArrayExpress,hfq deletion strain,E-MTAB-5396:hfq1,SBW25,genotype,
ERR1797534,10183432,1539948537,75,560,ERX1861083,hfq1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505506,SAMEA50543668,simple,294,Pseudomonas fluorescens,SAMEA50543668,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",hfq1,2017-08-24,2017-01-16,SAMEA50544418,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:hfq2,ArrayExpress,hfq deletion strain,E-MTAB-5396:hfq2,SBW25,genotype,
ERR1797535,10632133,1607785715,75,592,ERX1861083,hfq1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505506,SAMEA50543668,simple,294,Pseudomonas fluorescens,SAMEA50543668,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",hfq1,2017-08-24,2017-01-16,SAMEA50545168,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:wt1,ArrayExpress,wild type genotype,E-MTAB-5396:wt1,SBW25,,genotype
ERR1797536,10451344,1580481016,75,580,ERX1861083,hfq1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505506,SAMEA50543668,simple,294,Pseudomonas fluorescens,SAMEA50543668,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",hfq1,2017-08-24,2017-01-16,SAMEA50545918,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:wt2,ArrayExpress,wild type genotype,E-MTAB-5396:wt2,SBW25,,genotype
ERR1797537,9564146,1446205147,75,517,ERX1861084,hfq2_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505507,SAMEA50544418,simple,294,Pseudomonas fluorescens,SAMEA50544418,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",hfq2,2017-08-24,2017-01-16,SAMEA50543668,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:hfq1,ArrayExpress,hfq deletion strain,E-MTAB-5396:hfq1,SBW25,genotype,
ERR1797538,9412134,1423264921,75,511,ERX1861084,hfq2_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505507,SAMEA50544418,simple,294,Pseudomonas fluorescens,SAMEA50544418,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",hfq2,2017-08-24,2017-01-16,SAMEA50544418,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:hfq2,ArrayExpress,hfq deletion strain,E-MTAB-5396:hfq2,SBW25,genotype,
ERR1797539,9856249,1490375484,75,544,ERX1861084,hfq2_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505507,SAMEA50544418,simple,294,Pseudomonas fluorescens,SAMEA50544418,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",hfq2,2017-08-24,2017-01-16,SAMEA50545168,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:wt1,ArrayExpress,wild type genotype,E-MTAB-5396:wt1,SBW25,,genotype
ERR1797540,9729383,1471242704,75,534,ERX1861084,hfq2_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505507,SAMEA50544418,simple,294,Pseudomonas fluorescens,SAMEA50544418,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",hfq2,2017-08-24,2017-01-16,SAMEA50545918,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:wt2,ArrayExpress,wild type genotype,E-MTAB-5396:wt2,SBW25,,genotype
ERR1797541,9244047,1397942848,75,504,ERX1861085,wt1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505508,SAMEA50545168,simple,294,Pseudomonas fluorescens,SAMEA50545168,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",wt1,2017-08-24,2017-01-16,SAMEA50543668,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:hfq1,ArrayExpress,hfq deletion strain,E-MTAB-5396:hfq1,SBW25,genotype,
ERR1797542,9086758,1374182581,75,498,ERX1861085,wt1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505508,SAMEA50545168,simple,294,Pseudomonas fluorescens,SAMEA50545168,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",wt1,2017-08-24,2017-01-16,SAMEA50544418,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:hfq2,ArrayExpress,hfq deletion strain,E-MTAB-5396:hfq2,SBW25,genotype,
ERR1797543,9478405,1433372601,75,527,ERX1861085,wt1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505508,SAMEA50545168,simple,294,Pseudomonas fluorescens,SAMEA50545168,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",wt1,2017-08-24,2017-01-16,SAMEA50545168,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:wt1,ArrayExpress,wild type genotype,E-MTAB-5396:wt1,SBW25,,genotype
ERR1797544,9322787,1409867683,75,516,ERX1861085,wt1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505508,SAMEA50545168,simple,294,Pseudomonas fluorescens,SAMEA50545168,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",wt1,2017-08-24,2017-01-16,SAMEA50545918,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:wt2,ArrayExpress,wild type genotype,E-MTAB-5396:wt2,SBW25,,genotype
ERR1797545,9604049,1452219392,75,526,ERX1861086,wt2_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505509,SAMEA50545918,simple,294,Pseudomonas fluorescens,SAMEA50545918,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",wt2,2017-08-24,2017-01-16,SAMEA50543668,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:hfq1,ArrayExpress,hfq deletion strain,E-MTAB-5396:hfq1,SBW25,genotype,
ERR1797546,9419793,1424384734,75,517,ERX1861086,wt2_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505509,SAMEA50545918,simple,294,Pseudomonas fluorescens,SAMEA50545918,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",wt2,2017-08-24,2017-01-16,SAMEA50544418,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:hfq2,ArrayExpress,hfq deletion strain,E-MTAB-5396:hfq2,SBW25,genotype,
ERR1797547,9840867,1488023549,75,548,ERX1861086,wt2_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505509,SAMEA50545918,simple,294,Pseudomonas fluorescens,SAMEA50545918,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",wt2,2017-08-24,2017-01-16,SAMEA50545168,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:wt1,ArrayExpress,wild type genotype,E-MTAB-5396:wt1,SBW25,,genotype
ERR1797548,9695208,1466038892,75,537,ERX1861086,wt2_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP020996,PRJEB19015,1,"",ERS1505509,SAMEA50545918,simple,294,Pseudomonas fluorescens,SAMEA50545918,Department of Molecular Microbiology,ERA789571,08,2017,Makar,"",wt2,2017-08-24,2017-01-16,SAMEA50545918,Department of Molecular Microbiology,Department of Molecular Microbiology,2017-08-24T17:01:40Z,2017-01-16T15:14:56Z,public,E-MTAB-5396:wt2,ArrayExpress,wild type genotype,E-MTAB-5396:wt2,SBW25,,genotype
