Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,target molecule,cell culture treatment,GEO Accession
SRR4050168,32402573,1652531223,51,1033,SRX2039795,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082570,PRJNA339793,28193672,"",SRS1633226,SAMN05607421,simple,4932,Saccharomyces cerevisiae,GSM2288295,GEO,SRA454184,01,2017,Guydosh,Whole cells,10F: ski2KO long footprints previous replicate,Whole cells,ski2KO,Ribosome-protected RNA 25-34 nt,,GSM2288295
SRR4050169,34311089,1749865539,51,1085,SRX2039796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082570,PRJNA339793,28193672,"",SRS1633227,SAMN05607420,simple,4932,Saccharomyces cerevisiae,GSM2288296,GEO,SRA454184,01,2017,Guydosh,Whole cells,11F: ski2KO dom34KO previous replicate,Whole cells,ski2KO dom34KO,Ribosome-protected RNA 25-34 nt,,GSM2288296
SRR4050170,50131630,2456449870,49,1606,SRX2039797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082570,PRJNA339793,28193672,"",SRS1633228,SAMN05607419,simple,4932,Saccharomyces cerevisiae,GSM2288297,GEO,SRA454184,01,2017,Guydosh,Whole cells,33Fs: ski2KO short footprints previous replicate,Whole cells,ski2KO,Ribosome-protected RNA 15-24 nt,,GSM2288297
SRR4050171,41529493,2034945157,49,1332,SRX2039798,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082570,PRJNA339793,28193672,"",SRS1633229,SAMN05607418,simple,4932,Saccharomyces cerevisiae,GSM2288298,GEO,SRA454184,01,2017,Guydosh,Whole cells,34Fs: ski2KO dom34KO short footprints previous replicate,Whole cells,ski2KO dom34KO,Ribosome-protected RNA 15-24 nt,,GSM2288298
SRR4050172,52714529,2688440979,51,1594,SRX2039799,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082570,PRJNA339793,28193672,"",SRS1633230,SAMN05607422,simple,4932,Saccharomyces cerevisiae,GSM2288299,GEO,SRA454184,01,2017,Guydosh,Whole cells,22F: ski2KO suppressor tRNA long footprints previous replicate,Whole cells,ski2KO SUP4-o,Ribosome-protected RNA 25-34 nt,CSM-His media,GSM2288299
SRR4050173,99315946,5065113246,51,3047,SRX2039799,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082570,PRJNA339793,28193672,"",SRS1633230,SAMN05607422,simple,4932,Saccharomyces cerevisiae,GSM2288299,GEO,SRA454184,01,2017,Guydosh,Whole cells,22F: ski2KO suppressor tRNA long footprints previous replicate,Whole cells,ski2KO SUP4-o,Ribosome-protected RNA 15-24 nt,CSM-His media,GSM2288300
SRR4050174,97880098,4991884998,51,3021,SRX2039799,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082570,PRJNA339793,28193672,"",SRS1633230,SAMN05607422,simple,4932,Saccharomyces cerevisiae,GSM2288299,GEO,SRA454184,01,2017,Guydosh,Whole cells,22F: ski2KO suppressor tRNA long footprints previous replicate,Whole cells,ski2KO dom34KO SUP4-o,Ribosome-protected RNA 25-34 nt,CSM-His media,GSM2288301
SRR4050175,76469638,3899951538,51,2306,SRX2039800,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082570,PRJNA339793,28193672,"",SRS1633231,SAMN05607424,simple,4932,Saccharomyces cerevisiae,GSM2288300,GEO,SRA454184,01,2017,Guydosh,Whole cells,22Fs: ski2KO suppressor tRNA short footprints,Whole cells,ski2KO dom34KO SUP4-o,Ribosome-protected RNA 15-24 nt,CSM-His media,GSM2288302
SRR4050176,46559657,2374542507,51,1416,SRX2039801,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082570,PRJNA339793,28193672,"",SRS1633232,SAMN05607423,simple,4932,Saccharomyces cerevisiae,GSM2288301,GEO,SRA454184,01,2017,Guydosh,Whole cells,23F: ski2KO dom34KO suppressor tRNA long footprints,Whole cells,ski2KO,Ribosome-protected RNA 15-34 nt,,GSM2288303
SRR4050177,79747539,4067124489,51,2402,SRX2039802,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082570,PRJNA339793,28193672,"",SRS1633233,SAMN05607425,simple,4932,Saccharomyces cerevisiae,GSM2288302,GEO,SRA454184,01,2017,Guydosh,Whole cells,23Fs: ski2KO dom34KO suppressor tRNA short footprints,Whole cells,ski2KO dom34KO,Ribosome-protected RNA 15-34 nt,,GSM2288304
SRR4050178,28663385,1433169250,50,603,SRX2039803,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082570,PRJNA339793,28193672,"",SRS1633234,SAMN05607426,simple,4932,Saccharomyces cerevisiae,GSM2288303,GEO,SRA454184,01,2017,Guydosh,Whole cells,33F2: ski2KO short and long footprints,Whole cells,dom34KO SUP4-o,Ribosome-protected RNA 15-34 nt,CSM-His media,GSM2288305
SRR4050179,71112266,3555613300,50,1812,SRX2039804,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082570,PRJNA339793,28193672,"",SRS1633235,SAMN05607431,simple,4932,Saccharomyces cerevisiae,GSM2288304,GEO,SRA454184,01,2017,Guydosh,Whole cells,34Fc2: ski2KO dom34KO short and long footprints,Whole cells,SUP4-o,Ribosome-protected RNA 15-34 nt,CSM-His media,GSM2288306
SRR4050180,66712527,3335626350,50,1587,SRX2039804,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082570,PRJNA339793,28193672,"",SRS1633235,SAMN05607431,simple,4932,Saccharomyces cerevisiae,GSM2288304,GEO,SRA454184,01,2017,Guydosh,Whole cells,34Fc2: ski2KO dom34KO short and long footprints,Whole cells,ski2KO,Total RNA 15-34 nt,,GSM2288307
SRR4050181,98948748,5046386148,51,2984,SRX2039805,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082570,PRJNA339793,28193672,"",SRS1633236,SAMN05607430,simple,4932,Saccharomyces cerevisiae,GSM2288305,GEO,SRA454184,01,2017,Guydosh,Whole cells,46F: dom34KO suppressor tRNA short and long footprints,Whole cells,ski2KO dom34KO,Total RNA 15-34 nt,,GSM2288308
SRR4050182,25851321,1292566050,50,539,SRX2039806,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082570,PRJNA339793,28193672,"",SRS1633237,SAMN05607429,simple,4932,Saccharomyces cerevisiae,GSM2288306,GEO,SRA454184,01,2017,Guydosh,Whole cells,60F: suppressor tRNA short and long footprints,Whole cells,ski2KO,Ribosome-protected RNA 25-34 nt,,GSM2288295
SRR4050183,111818770,5590938500,50,2617,SRX2039807,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082570,PRJNA339793,28193672,"",SRS1633238,SAMN05607428,simple,4932,Saccharomyces cerevisiae,GSM2288307,GEO,SRA454184,01,2017,Guydosh,Whole cells,33Mc: ski2KO mRNA-Seq,Whole cells,ski2KO dom34KO,Ribosome-protected RNA 25-34 nt,,GSM2288296
SRR4050184,118995579,5949778950,50,2958,SRX2039807,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082570,PRJNA339793,28193672,"",SRS1633238,SAMN05607428,simple,4932,Saccharomyces cerevisiae,GSM2288307,GEO,SRA454184,01,2017,Guydosh,Whole cells,33Mc: ski2KO mRNA-Seq,Whole cells,ski2KO,Ribosome-protected RNA 15-24 nt,,GSM2288297
