Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,lentivirally transduced transgenes,strain,GEO Accession
SRR1562883,28860685,1471894935,51,915,SRX691029,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693496,SAMN03015584,simple,4932,Saccharomyces cerevisiae,GSM1495505,GEO,SRA181105,11,2014,Jan,S288C,BirA_+CHX_2minBiotin_input,S288C,rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2::pPGK1-BirA::LEU2 ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495505
SRR1562884,37858537,1930785387,51,1182,SRX691030,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693497,SAMN03015585,simple,4932,Saccharomyces cerevisiae,GSM1495506,GEO,SRA181105,11,2014,Jan,S288C,BirA_+CHX_2minBiotin_pulldown,S288C,rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2::pPGK1-BirA::LEU2 ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495506
SRR1562885,32401932,1652498532,51,1024,SRX691031,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693498,SAMN03015586,simple,4932,Saccharomyces cerevisiae,GSM1495507,GEO,SRA181105,11,2014,Jan,S288C,BirAHeh2Ssh1_+CHX_7minBiotin_input,S288C,ssh1::BirA-heh2-SSH1::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495507
SRR1562886,32569604,1661049804,51,1033,SRX691032,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693499,SAMN03015587,simple,4932,Saccharomyces cerevisiae,GSM1495508,GEO,SRA181105,11,2014,Jan,S288C,BirAHeh2Ssh1_+CHX_7minBiotin_pulldown,S288C,ssh1::BirA-heh2-SSH1::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495508
SRR1562887,32976845,1681819095,51,1158,SRX691033,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693502,SAMN03015588,simple,4932,Saccharomyces cerevisiae,GSM1495509,GEO,SRA181105,11,2014,Jan,S288C,BirAHeh2Ssh1_+CHX_7minBiotin_replicate_input,S288C,ssh1::BirA-heh2-SSH1::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495509
SRR1562888,32421183,1653480333,51,1136,SRX691033,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693502,SAMN03015588,simple,4932,Saccharomyces cerevisiae,GSM1495509,GEO,SRA181105,11,2014,Jan,S288C,BirAHeh2Ssh1_+CHX_7minBiotin_replicate_input,S288C,ssh1::BirA-heh2-SSH1::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495510
SRR1562889,34615524,1765391724,51,1225,SRX691034,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693500,SAMN03015589,simple,4932,Saccharomyces cerevisiae,GSM1495510,GEO,SRA181105,11,2014,Jan,S288C,BirAHeh2Ssh1_+CHX_7minBiotin_replicate_pulldown,S288C,ssh1::BirA-mVenus-SSH1::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495511
SRR1562890,34020590,1735050090,51,1201,SRX691034,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693500,SAMN03015589,simple,4932,Saccharomyces cerevisiae,GSM1495510,GEO,SRA181105,11,2014,Jan,S288C,BirAHeh2Ssh1_+CHX_7minBiotin_replicate_pulldown,S288C,ssh1::BirA-mVenus-SSH1::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495512
SRR1562891,28717087,1464571437,51,941,SRX691035,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693501,SAMN03015590,simple,4932,Saccharomyces cerevisiae,GSM1495511,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusSsh1_+CHX_2minBiotin_input,S288C,his3::pSEC63-BirA-mVenus-UBC6 TA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 leu2delta0,n/a,S288C,GSM1495513
SRR1562892,28901770,1473990270,51,945,SRX691035,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693501,SAMN03015590,simple,4932,Saccharomyces cerevisiae,GSM1495511,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusSsh1_+CHX_2minBiotin_input,S288C,his3::pSEC63-BirA-mVenus-UBC6 TA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 leu2delta0,n/a,S288C,GSM1495514
