Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,gender,tissue,chip antibody,GEO Accession
SRR10854571,35525651,2667748215,37,1044,SRX7524953,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240702,PRJNA600026,32234480,"",SRS5964392,SAMN13781082,simple,10090,Mus musculus,GSM4257222,GEO,SRA1022542,04,2020,Shah,Hippocampus tissue,H3K36me3_1,Hippocampus tissue,C57BL/6N (wild-type),P35,male,Hippocampus,"H3K36me3 (Abcam ab9050, 5μg per ChIP)",GSM4257222
SRR10854572,24888978,1868047550,37,727,SRX7524954,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240702,PRJNA600026,32234480,"",SRS5964393,SAMN13781081,simple,10090,Mus musculus,GSM4257223,GEO,SRA1022542,04,2020,Shah,Hippocampus tissue,H3K36me3_2,Hippocampus tissue,C57BL/6N (wild-type),P35,male,Hippocampus,"H3K36me3 (Abcam ab9050, 5μg per ChIP)",GSM4257223
SRR10854573,25183946,1889958812,37,745,SRX7524955,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240702,PRJNA600026,32234480,"",SRS5964394,SAMN13781080,simple,10090,Mus musculus,GSM4257224,GEO,SRA1022542,04,2020,Shah,Hippocampus tissue,H3K36me3_3,Hippocampus tissue,B6.129P2-Fmr1tm1Cgr/J (Fmr1 KO),P35,male,Hippocampus,"H3K36me3 (Abcam ab9050, 5μg per ChIP)",GSM4257224
SRR10854574,31302272,2349162186,37,914,SRX7524956,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240702,PRJNA600026,32234480,"",SRS5964395,SAMN13781079,simple,10090,Mus musculus,GSM4257225,GEO,SRA1022542,04,2020,Shah,Hippocampus tissue,H3K36me3_4,Hippocampus tissue,B6.129P2-Fmr1tm1Cgr/J (Fmr1 KO),P35,male,Hippocampus,"H3K36me3 (Abcam ab9050, 5μg per ChIP)",GSM4257225
SRR10854575,33079842,2481429231,37,945,SRX7524957,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240702,PRJNA600026,32234480,"",SRS5964396,SAMN13781078,simple,10090,Mus musculus,GSM4257226,GEO,SRA1022542,04,2020,Shah,Hippocampus tissue,Input_1,Hippocampus tissue,C57BL/6N (wild-type),P35,male,Hippocampus,none,GSM4257226
SRR10854576,46054872,3454880784,37,1327,SRX7524958,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240702,PRJNA600026,32234480,"",SRS5964397,SAMN13781077,simple,10090,Mus musculus,GSM4257227,GEO,SRA1022542,04,2020,Shah,Hippocampus tissue,Input_2,Hippocampus tissue,C57BL/6N (wild-type),P35,male,Hippocampus,none,GSM4257227
SRR10854577,32123859,2410235295,37,931,SRX7524959,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240702,PRJNA600026,32234480,"",SRS5964398,SAMN13781076,simple,10090,Mus musculus,GSM4257228,GEO,SRA1022542,04,2020,Shah,Hippocampus tissue,Input_3,Hippocampus tissue,B6.129P2-Fmr1tm1Cgr/J (Fmr1 KO),P35,male,Hippocampus,none,GSM4257228
SRR10854578,38444657,2884496201,37,1108,SRX7524960,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240702,PRJNA600026,32234480,"",SRS5964399,SAMN13781075,simple,10090,Mus musculus,GSM4257229,GEO,SRA1022542,04,2020,Shah,Hippocampus tissue,Input_4,Hippocampus tissue,B6.129P2-Fmr1tm1Cgr/J (Fmr1 KO),P35,male,Hippocampus,none,GSM4257229
SRR10854579,2736641,204873989,37,80,SRX7524961,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240702,PRJNA600026,32234480,"",SRS5964400,SAMN13781074,simple,10090,Mus musculus,GSM4257230,GEO,SRA1022542,04,2020,Shah,Hippocampus tissue,IgG_1,Hippocampus tissue,C57BL/6N (wild-type),P35,male,Hippocampus,"IgG (Sigma 12-371, 5 μg per ChIP)",GSM4257230
SRR10854580,4269584,323452666,37,117,SRX7524962,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240702,PRJNA600026,32234480,"",SRS5964401,SAMN13781073,simple,10090,Mus musculus,GSM4257231,GEO,SRA1022542,04,2020,Shah,Hippocampus tissue,IgG_2,Hippocampus tissue,C57BL/6N (wild-type),P35,male,Hippocampus,"IgG (Sigma 12-371, 5 μg per ChIP)",GSM4257231
SRR10854581,4847596,363577842,37,137,SRX7524963,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240702,PRJNA600026,32234480,"",SRS5964402,SAMN13781072,simple,10090,Mus musculus,GSM4257232,GEO,SRA1022542,04,2020,Shah,Hippocampus tissue,IgG_3,Hippocampus tissue,B6.129P2-Fmr1tm1Cgr/J (Fmr1 KO),P35,male,Hippocampus,"IgG (Sigma 12-371, 5 μg per ChIP)",GSM4257232
SRR10854582,9786098,648826472,37,247,SRX7524964,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240702,PRJNA600026,32234480,"",SRS5964403,SAMN13781071,simple,10090,Mus musculus,GSM4257233,GEO,SRA1022542,04,2020,Shah,Hippocampus tissue,IgG_4,Hippocampus tissue,B6.129P2-Fmr1tm1Cgr/J (Fmr1 KO),P35,male,Hippocampus,"IgG (Sigma 12-371, 5 μg per ChIP)",GSM4257233
