Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,merip antibody,cell type,geo_loc_name,collection_date,rip antibody,rna fragment,cell linr
SRR17395473,39131479,1993222006,50,1141,SRX13569529,GSM5766792,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353043,PRJNA793440,37379838,"",SRS11461989,SAMN24538201,simple,9606,Homo sapiens,GSM5766792,"Chen Lab, Systems Biology, City of Hope",SRA1350679,05,2023,Zhao,HepG2 input,HepG2 input rep1,HepG2 input,HepG2,none,Hepatocellular carcinoma,missing,missing,,,
SRR17395472,35329691,1798186763,50,1036,SRX13569530,GSM5766793,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353043,PRJNA793440,37379838,"",SRS11461990,SAMN24538200,simple,9606,Homo sapiens,GSM5766793,"Chen Lab, Systems Biology, City of Hope",SRA1350679,05,2023,Zhao,HepG2 input,HepG2 input rep2,HepG2 input,HepG2,none,Hepatocellular carcinoma,missing,missing,,,
SRR17395471,35652307,1816000264,50,1040,SRX13569531,GSM5766794,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353043,PRJNA793440,37379838,"",SRS11461991,SAMN24538199,simple,9606,Homo sapiens,GSM5766794,"Chen Lab, Systems Biology, City of Hope",SRA1350679,05,2023,Zhao,HepG2 m7G IP,HepG2 IP rep1,HepG2 m7G IP,HepG2,"m7G antibody (Cat#: RN017M, MBL international)",Hepatocellular carcinoma,missing,missing,,,
SRR17395470,31428915,1601298380,50,923,SRX13569532,GSM5766795,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353043,PRJNA793440,37379838,"",SRS11461992,SAMN24538198,simple,9606,Homo sapiens,GSM5766795,"Chen Lab, Systems Biology, City of Hope",SRA1350679,05,2023,Zhao,HepG2 m7G IP,HepG2 IP rep2,HepG2 m7G IP,HepG2,"m7G antibody (Cat#: RN017M, MBL international)",Hepatocellular carcinoma,missing,missing,,,
SRR17395477,68304979,3481276445,50,1092,SRX13569533,GSM5766808,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353044,PRJNA793437,37379838,"",SRS11461993,SAMN24538227,simple,9606,Homo sapiens,GSM5766808,"Chen Lab, Systems Biology, City of Hope",SRA1350673,05,2023,Zhao,QKI7-bound transcripts RIP-seq input (U2OS),U2OS QKI7 input rep1 [qki7.1.in],QKI7-bound transcripts RIP-seq input (U2OS),U2OS,,Bone Osteosarcoma,missing,missing,none,,
SRR17395476,64446112,3284689513,50,1033,SRX13569534,GSM5766809,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353044,PRJNA793437,37379838,"",SRS11461994,SAMN24538226,simple,9606,Homo sapiens,GSM5766809,"Chen Lab, Systems Biology, City of Hope",SRA1350673,05,2023,Zhao,QKI7-bound transcripts RIP-seq input (U2OS),U2OS QKI7 input rep2 [qki7.2.in],QKI7-bound transcripts RIP-seq input (U2OS),U2OS,,Bone Osteosarcoma,missing,missing,none,,
SRR17395475,58986653,3006400343,50,953,SRX13569535,GSM5766810,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353044,PRJNA793437,37379838,"",SRS11461995,SAMN24538225,simple,9606,Homo sapiens,GSM5766810,"Chen Lab, Systems Biology, City of Hope",SRA1350673,05,2023,Zhao,QKI7-bound transcripts RIP-seq IP (U2OS),U2OS QKI7 RIP rep1 [qki7.1.ip],QKI7-bound transcripts RIP-seq IP (U2OS),U2OS,,Bone Osteosarcoma,missing,missing,"Flag (Cat#: F3165, Sigma-Aldrich)",,
SRR17395474,60439795,3080568908,50,968,SRX13569536,GSM5766811,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353044,PRJNA793437,37379838,"",SRS11461996,SAMN24538224,simple,9606,Homo sapiens,GSM5766811,"Chen Lab, Systems Biology, City of Hope",SRA1350673,05,2023,Zhao,QKI7-bound transcripts RIP-seq IP (U2OS),U2OS QKI7 RIP rep2 [qki7.2.ip],QKI7-bound transcripts RIP-seq IP (U2OS),U2OS,,Bone Osteosarcoma,missing,missing,"Flag (Cat#: F3165, Sigma-Aldrich)",,
SRR17395485,63768524,3054451729,47,1616,SRX13569537,GSM5766800,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353045,PRJNA793438,37379838,"",SRS11461997,SAMN24538223,simple,9606,Homo sapiens,GSM5766800,"Chen Lab, Systems Biology, City of Hope",SRA1350675,05,2023,Zhao,vector input,vector input rep1 [vector.1.in],vector input,U2OS,,Bone Osteosarcoma,missing,missing,,Input RNA,
SRR17395484,57423127,2750239230,47,1468,SRX13569538,GSM5766801,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353045,PRJNA793438,37379838,"",SRS11461998,SAMN24538222,simple,9606,Homo sapiens,GSM5766801,"Chen Lab, Systems Biology, City of Hope",SRA1350675,05,2023,Zhao,vector input,vector input rep2 [vector.2.in],vector input,U2OS,,Bone Osteosarcoma,missing,missing,,Input RNA,
