Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,genotype,GEO Accession
SRR14651191,8486353,1697270600,100,1045,SRX10989716,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP321450,PRJNA732783,34728675,"",SRS9065171,SAMN19337887,simple,7227,Drosophila melanogaster,GSM5341636,GEO,SRA1237048,08,2021,Yazar,dopaminergic neurons,whole brain rep1,dopaminergic neurons,w1118,brain,post natal day 30,wild type,GSM5341636
SRR14651192,12780393,2556078600,100,1546,SRX10989717,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP321450,PRJNA732783,34728675,"",SRS9065169,SAMN19337886,simple,7227,Drosophila melanogaster,GSM5341637,GEO,SRA1237048,08,2021,Yazar,dopaminergic neurons,TRAP control rep1,dopaminergic neurons,w1118XdTH-Gal4,brain,post natal day 30,dTH+TRAP(GFP-RpL10a),GSM5341637
SRR14651193,11880244,2376048800,100,1438,SRX10989718,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP321450,PRJNA732783,34728675,"",SRS9065172,SAMN19337885,simple,7227,Drosophila melanogaster,GSM5341638,GEO,SRA1237048,08,2021,Yazar,dopaminergic neurons,TRAP control rep2,dopaminergic neurons,w1118XdTH-Gal4,brain,post natal day 30,dTH+TRAP(GFP-RpL10a),GSM5341638
SRR14651194,8012774,1602554800,100,973,SRX10989719,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP321450,PRJNA732783,34728675,"",SRS9065170,SAMN19337884,simple,7227,Drosophila melanogaster,GSM5341639,GEO,SRA1237048,08,2021,Yazar,dopaminergic neurons,TRAP control rep3,dopaminergic neurons,w1118XdTH-Gal4,brain,post natal day 30,dTH+TRAP(GFP-RpL10a),GSM5341639
SRR14651195,15035909,3007181800,100,1813,SRX10989720,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP321450,PRJNA732783,34728675,"",SRS9065173,SAMN19337883,simple,7227,Drosophila melanogaster,GSM5341640,GEO,SRA1237048,08,2021,Yazar,dopaminergic neurons,TRAP-PARIS wild type rep1,dopaminergic neurons,w1118XdTH-Gal4,brain,post natal day 30,dTH+TRAP(hPARIS wild type),GSM5341640
SRR14651196,7696449,1539289800,100,931,SRX10989721,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP321450,PRJNA732783,34728675,"",SRS9065174,SAMN19337882,simple,7227,Drosophila melanogaster,GSM5341641,GEO,SRA1237048,08,2021,Yazar,dopaminergic neurons,TRAP-PARIS wild type rep2,dopaminergic neurons,w1118XdTH-Gal4,brain,post natal day 30,dTH+TRAP(hPARIS wild type),GSM5341641
SRR14651197,13384541,2676908200,100,1617,SRX10989722,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP321450,PRJNA732783,34728675,"",SRS9065175,SAMN19337881,simple,7227,Drosophila melanogaster,GSM5341642,GEO,SRA1237048,08,2021,Yazar,dopaminergic neurons,TRAP-PARIS wild type rep3,dopaminergic neurons,w1118XdTH-Gal4,brain,post natal day 30,dTH+TRAP(hPARIS wild type),GSM5341642
SRR14651198,12526796,2505359200,100,1523,SRX10989723,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP321450,PRJNA732783,34728675,"",SRS9065176,SAMN19337880,simple,7227,Drosophila melanogaster,GSM5341643,GEO,SRA1237048,08,2021,Yazar,dopaminergic neurons,TRAP-PARIS mutant (C571A) rep1,dopaminergic neurons,w1118XdTH-Gal4,brain,post natal day 30,dTH+TRAP(hPARIS C571A),GSM5341643
SRR14651199,10333703,2066740600,100,1259,SRX10989724,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP321450,PRJNA732783,34728675,"",SRS9065178,SAMN19337879,simple,7227,Drosophila melanogaster,GSM5341644,GEO,SRA1237048,08,2021,Yazar,dopaminergic neurons,TRAP-PARIS mutant (C571A) rep2,dopaminergic neurons,w1118XdTH-Gal4,brain,post natal day 30,dTH+TRAP(hPARIS C571A),GSM5341644
SRR14651200,20202676,4040535200,100,2437,SRX10989725,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP321450,PRJNA732783,34728675,"",SRS9065177,SAMN19337892,simple,7227,Drosophila melanogaster,GSM5341645,GEO,SRA1237048,08,2021,Yazar,dopaminergic neurons,TRAP-PARIS mutant (C571A) rep3,dopaminergic neurons,w1118XdTH-Gal4,brain,post natal day 30,dTH+TRAP(hPARIS C571A),GSM5341645
