Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,treatment,genotype,GEO Accession
SRR17188997,105997003,5299850150,50,1598,SRX13371961,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350144,PRJNA787625,35087868,"",SRS11276314,SAMN23829267,simple,4932,Saccharomyces cerevisiae,GSM5726201,GEO,SRA1341518,01,2022,Stanciu,S. cerevisiae cells,DK_WT_FT_1,S. cerevisiae cells,H450 cells transformed with YCp-i/TIF34-HA,37 ºC for 30 min,"MATa leu2-3,-112 ura3-52::GCN2 trp1<delta> tif34<delta> hc TIF34 URA3 transformed with YCp-i/TIF34-HA",GSM5726201
SRR17188998,67106905,3355345250,50,1016,SRX13371962,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350144,PRJNA787625,35087868,"",SRS11276315,SAMN23829268,simple,4932,Saccharomyces cerevisiae,GSM5726202,GEO,SRA1341518,01,2022,Stanciu,S. cerevisiae cells,DK_MUT_FT_1,S. cerevisiae cells,H450 cells transformed with YCp-i/TIF34-D207K-D224K-HA,37 ºC for 30 min,"MATa leu2-3,-112 ura3-52::GCN2 trp1<delta> tif34<delta> hc TIF34 URA3 transformed with YCp-i/TIF34-D207K-D224K-HA",GSM5726202
SRR17188999,110522441,5526122050,50,1730,SRX13371963,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350144,PRJNA787625,35087868,"",SRS11276316,SAMN23829270,simple,4932,Saccharomyces cerevisiae,GSM5726203,GEO,SRA1341518,01,2022,Stanciu,S. cerevisiae cells,DK_WT_mRNA_1,S. cerevisiae cells,H450 cells transformed with YCp-i/TIF34-HA,37 ºC for 30 min,"MATa leu2-3,-112 ura3-52::GCN2 trp1<delta> tif34<delta> hc TIF34 URA3 transformed with YCp-i/TIF34-HA",GSM5726203
SRR17189000,78136832,3906841600,50,1223,SRX13371964,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350144,PRJNA787625,35087868,"",SRS11276317,SAMN23829271,simple,4932,Saccharomyces cerevisiae,GSM5726204,GEO,SRA1341518,01,2022,Stanciu,S. cerevisiae cells,DK_MUT_mRNA_1,S. cerevisiae cells,H450 cells transformed with YCp-i/TIF34-D207K-D224K-HA,37 ºC for 30 min,"MATa leu2-3,-112 ura3-52::GCN2 trp1<delta> tif34<delta> hc TIF34 URA3 transformed with YCp-i/TIF34-D207K-D224K-HA",GSM5726204
SRR17189001,125183023,6259151150,50,1865,SRX13371965,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350144,PRJNA787625,35087868,"",SRS11276318,SAMN23829272,simple,4932,Saccharomyces cerevisiae,GSM5726205,GEO,SRA1341518,01,2022,Stanciu,S. cerevisiae cells,DK_WT_FT_2,S. cerevisiae cells,H450 cells transformed with YCp-i/TIF34-HA,37 ºC for 30 min,"MATa leu2-3,-112 ura3-52::GCN2 trp1<delta> tif34<delta> hc TIF34 URA3 transformed with YCp-i/TIF34-HA",GSM5726205
SRR17189002,73247490,3662374500,50,1101,SRX13371966,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350144,PRJNA787625,35087868,"",SRS11276319,SAMN23829274,simple,4932,Saccharomyces cerevisiae,GSM5726206,GEO,SRA1341518,01,2022,Stanciu,S. cerevisiae cells,DK_MUT_FT_2,S. cerevisiae cells,H450 cells transformed with YCp-i/TIF34-D207K-D224K-HA,37 ºC for 30 min,"MATa leu2-3,-112 ura3-52::GCN2 trp1<delta> tif34<delta> hc TIF34 URA3 transformed with YCp-i/TIF34-D207K-D224K-HA",GSM5726206
SRR17189003,72448441,3622422050,50,1121,SRX13371967,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350144,PRJNA787625,35087868,"",SRS11276320,SAMN23829275,simple,4932,Saccharomyces cerevisiae,GSM5726207,GEO,SRA1341518,01,2022,Stanciu,S. cerevisiae cells,DK_WT_mRNA_2,S. cerevisiae cells,H450 cells transformed with YCp-i/TIF34-HA,37 ºC for 30 min,"MATa leu2-3,-112 ura3-52::GCN2 trp1<delta> tif34<delta> hc TIF34 URA3 transformed with YCp-i/TIF34-HA",GSM5726207
SRR17189004,74645431,3732271550,50,1161,SRX13371968,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350144,PRJNA787625,35087868,"",SRS11276321,SAMN23829276,simple,4932,Saccharomyces cerevisiae,GSM5726208,GEO,SRA1341518,01,2022,Stanciu,S. cerevisiae cells,DK_MUT_mRNA_2,S. cerevisiae cells,H450 cells transformed with YCp-i/TIF34-D207K-D224K-HA,37 ºC for 30 min,"MATa leu2-3,-112 ura3-52::GCN2 trp1<delta> tif34<delta> hc TIF34 URA3 transformed with YCp-i/TIF34-D207K-D224K-HA",GSM5726208
SRR17189005,97896022,4894801100,50,1475,SRX13371969,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350144,PRJNA787625,35087868,"",SRS11276322,SAMN23829277,simple,4932,Saccharomyces cerevisiae,GSM5726209,GEO,SRA1341518,01,2022,Stanciu,S. cerevisiae cells,Deg_WT_FT_1,S. cerevisiae cells,YAJ3 cells,SCRaff/Gal + BCS at 36 ºC for 90 min,"MATa trp1<delta>? leu2-3,112 ura3-52 gcn2?::hisG PGAL1-myc-UBR1::TRP1::ubr1 pRS316 [URA3]",GSM5726209
SRR17189006,89258215,4462910750,50,1351,SRX13371970,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350144,PRJNA787625,35087868,"",SRS11276323,SAMN23829278,simple,4932,Saccharomyces cerevisiae,GSM5726210,GEO,SRA1341518,01,2022,Stanciu,S. cerevisiae cells,Deg_MUT_FT_1,S. cerevisiae cells,YAJ34 cells,SCRaff/Gal + BCS at 36 ºC for 90 min,"MATa trp1<delta>? leu2-3,112 ura3-52 gcn2?::hisG PGAL1-myc-UBR1::TRP1::ubr1 PCUP1H$%-UBI-R-HA-tif32td::URA3::tif32 PCUP1-UBI-R-DHFRts-HA-prt1td::URA3::prt1",GSM5726210
