Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genetic background,cell line,treatment,GEO Accession
SRR8756003,37072369,1032756342,27,705,SRX5546717,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512333,SAMN11175810,simple,4932,Saccharomyces cerevisiae,GSM3680540,GEO,SRA862541,11,2020,Matsuki,WT.0hr,WT.0hr.Ribo-seq_rep1,WT.0hr,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,,GSM3680540
SRR8756004,38961594,1146371828,29,757,SRX5546718,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512334,SAMN11175809,simple,4932,Saccharomyces cerevisiae,GSM3680541,GEO,SRA862541,11,2020,Matsuki,WT.0hr,WT.0hr.Ribo-seq_rep2,WT.0hr,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,,GSM3680541
SRR8756005,24462144,721762392,29,479,SRX5546719,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512335,SAMN11175808,simple,4932,Saccharomyces cerevisiae,GSM3680542,GEO,SRA862541,11,2020,Matsuki,WT.1hr,WT.1hr.Ribo-seq,WT.1hr,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,Tm treatment for 1hr,GSM3680542
SRR8756006,24831314,737396131,29,485,SRX5546720,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512336,SAMN11175807,simple,4932,Saccharomyces cerevisiae,GSM3680543,GEO,SRA862541,11,2020,Matsuki,WT.2hr,WT.2hr.Ribo-seq,WT.2hr,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,Tm treatment for 2hr,GSM3680543
SRR8756007,16503495,491817340,29,323,SRX5546721,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512337,SAMN11175806,simple,4932,Saccharomyces cerevisiae,GSM3680544,GEO,SRA862541,11,2020,Matsuki,WT.4hr,WT.4hr.Ribo-seq,WT.4hr,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,Tm treatment for 4hr,GSM3680544
SRR8756008,105555397,3198690340,30,1249,SRX5546722,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512338,SAMN11175805,simple,4932,Saccharomyces cerevisiae,GSM3680545,GEO,SRA862541,11,2020,Matsuki,eS7_WT.0hr,eS7_WT.0hr.Ribo-seq_rep1,eS7_WT.0hr,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-3HA,eS7-WT,,GSM3680545
SRR8756009,108348599,3235113120,29,1259,SRX5546723,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512339,SAMN11175804,simple,4932,Saccharomyces cerevisiae,GSM3680546,GEO,SRA862541,11,2020,Matsuki,eS7_WT.0hr,eS7_WT.0hr.Ribo-seq_rep2,eS7_WT.0hr,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-3HA,eS7-WT,,GSM3680546
SRR8756010,59073217,1766778021,29,697,SRX5546724,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512340,SAMN11175803,simple,4932,Saccharomyces cerevisiae,GSM3680547,GEO,SRA862541,11,2020,Matsuki,eS7_WT.4hr,eS7_WT.4hr.Ribo-seq_rep1,eS7_WT.4hr,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-3HA,eS7-WT,Tm treatment for 4hr,GSM3680547
SRR8756011,59416514,1758587461,29,695,SRX5546725,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512341,SAMN11175802,simple,4932,Saccharomyces cerevisiae,GSM3680548,GEO,SRA862541,11,2020,Matsuki,eS7_WT.4hr,eS7_WT.4hr.Ribo-seq_rep2,eS7_WT.4hr,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-3HA,eS7-WT,Tm treatment for 4hr,GSM3680548
SRR8756012,107837001,3237100593,30,1275,SRX5546726,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512342,SAMN11175801,simple,4932,Saccharomyces cerevisiae,GSM3680549,GEO,SRA862541,11,2020,Matsuki,eS7_4KR.0hr,eS7_4KR.0hr.Ribo-seq_rep1,eS7_4KR.0hr,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-4KR-3HA,eS7-4KR,,GSM3680549
