Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,sample type,molecule,GEO Accession
SRR7874134,104344429,5217221450,50,3060,SRX4712998,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162072,PRJNA491747,1,"",SRS3798765,SAMN10087193,simple,9606,Homo sapiens,GSM3395010,GEO,SRA777985,09,2019,Makar,PANC1 cell line,PANC1 CT-1 RF,PANC1 cell line,control,Ribosome protected RNA,GSM3395010
SRR7874135,77075024,3853751200,50,2148,SRX4712999,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162072,PRJNA491747,1,"",SRS3798764,SAMN10087192,simple,9606,Homo sapiens,GSM3395011,GEO,SRA777985,09,2019,Makar,PANC1 cell line,PANC1 CT-2 RF,PANC1 cell line,control,Ribosome protected RNA,GSM3395011
SRR7874136,127289140,6364457000,50,3562,SRX4713000,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162072,PRJNA491747,1,"",SRS3798766,SAMN10087191,simple,9606,Homo sapiens,GSM3395012,GEO,SRA777985,09,2019,Makar,PANC1 cell line,PANC1 CT-3 RF,PANC1 cell line,control,Ribosome protected RNA,GSM3395012
SRR7874137,89273230,4463661500,50,2501,SRX4713001,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162072,PRJNA491747,1,"",SRS3798767,SAMN10087190,simple,9606,Homo sapiens,GSM3395013,GEO,SRA777985,09,2019,Makar,PANC1 cell line,PANC1 S-1 RF,PANC1 cell line,CR31B treated,Ribosome protected RNA,GSM3395013
SRR7874138,103935152,5196757600,50,2924,SRX4713002,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162072,PRJNA491747,1,"",SRS3798769,SAMN10087189,simple,9606,Homo sapiens,GSM3395014,GEO,SRA777985,09,2019,Makar,PANC1 cell line,PANC1 S-2 RF,PANC1 cell line,CR31B treated,Ribosome protected RNA,GSM3395014
SRR7874139,92046158,4602307900,50,2594,SRX4713003,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162072,PRJNA491747,1,"",SRS3798768,SAMN10087188,simple,9606,Homo sapiens,GSM3395015,GEO,SRA777985,09,2019,Makar,PANC1 cell line,PANC1 S-3 RF,PANC1 cell line,CR31B treated,Ribosome protected RNA,GSM3395015
SRR7874140,135363292,13536329200,50,8487,SRX4713004,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162072,PRJNA491747,1,"",SRS3798771,SAMN10087187,simple,9606,Homo sapiens,GSM3395016,GEO,SRA777985,09,2019,Makar,PANC1 cell line,PANC1 CT-1 RNA,PANC1 cell line,control,RNA,GSM3395016
SRR7874141,143895227,14389522700,50,9014,SRX4713005,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162072,PRJNA491747,1,"",SRS3798770,SAMN10087186,simple,9606,Homo sapiens,GSM3395017,GEO,SRA777985,09,2019,Makar,PANC1 cell line,PANC1 CT-2 RNA,PANC1 cell line,control,RNA,GSM3395017
SRR7874142,145799595,14579959500,50,9112,SRX4713006,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162072,PRJNA491747,1,"",SRS3798772,SAMN10087185,simple,9606,Homo sapiens,GSM3395018,GEO,SRA777985,09,2019,Makar,PANC1 cell line,PANC1 CT-3 RNA,PANC1 cell line,control,RNA,GSM3395018
SRR7874143,139241903,13924190300,50,8797,SRX4713007,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162072,PRJNA491747,1,"",SRS3798773,SAMN10087184,simple,9606,Homo sapiens,GSM3395019,GEO,SRA777985,09,2019,Makar,PANC1 cell line,PANC1 S-1 RNA,PANC1 cell line,CR31B treated,RNA,GSM3395019
SRR7874144,147730773,14773077300,50,9242,SRX4713008,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162072,PRJNA491747,1,"",SRS3798775,SAMN10087183,simple,9606,Homo sapiens,GSM3395020,GEO,SRA777985,09,2019,Makar,PANC1 cell line,PANC1 S-2 RNA,PANC1 cell line,CR31B treated,RNA,GSM3395020
SRR7874145,150645133,15064513300,50,9414,SRX4713009,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162072,PRJNA491747,1,"",SRS3798774,SAMN10087182,simple,9606,Homo sapiens,GSM3395021,GEO,SRA777985,09,2019,Makar,PANC1 cell line,PANC1 S-3 RNA,PANC1 cell line,CR31B treated,RNA,GSM3395021
