Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,condition,genotype/variation,GEO Accession
SRR16946500,52657747,6318929640,60,1758,SRX13138435,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346102,PRJNA780403,35033535,"",SRS11071632,SAMN23139447,simple,10090,Mus musculus,GSM5690305,GEO,SRA1329059,11,2021,Sepich-Poore,WT mouse 1 (littermate of KO mouse 1),Wildtype1 input,WT mouse 1 (littermate of KO mouse 1),cycloheximide (CHX),input,wild type,GSM5690305
SRR16946501,44940537,5392864440,60,1492,SRX13138436,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346102,PRJNA780403,35033535,"",SRS11071633,SAMN23139445,simple,10090,Mus musculus,GSM5690306,GEO,SRA1329059,11,2021,Sepich-Poore,WT mouse 2 (littermate of KO mouse 2),Wildtype2 input,WT mouse 2 (littermate of KO mouse 2),cycloheximide (CHX),input,wild type,GSM5690306
SRR16946502,51244520,6149342400,60,1691,SRX13138437,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346102,PRJNA780403,35033535,"",SRS11071634,SAMN23139446,simple,10090,Mus musculus,GSM5690307,GEO,SRA1329059,11,2021,Sepich-Poore,WT mouse 3 (littermate of KO mouse 3),Wildtype3 input,WT mouse 3 (littermate of KO mouse 3),cycloheximide (CHX),input,wild type,GSM5690307
SRR16946503,65211354,7825362480,60,2152,SRX13138438,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346102,PRJNA780403,35033535,"",SRS11071635,SAMN23139448,simple,10090,Mus musculus,GSM5690308,GEO,SRA1329059,11,2021,Sepich-Poore,KO mouse 1 (littermate of WT mouse 1),METTL5 KO 1 input,KO mouse 1 (littermate of WT mouse 1),cycloheximide (CHX),input,METTL5 KO,GSM5690308
SRR16946504,57728661,6927439320,60,1920,SRX13138439,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346102,PRJNA780403,35033535,"",SRS11071636,SAMN23139449,simple,10090,Mus musculus,GSM5690309,GEO,SRA1329059,11,2021,Sepich-Poore,KO mouse 2 (littermate of WT mouse 2),METTL5 KO 2 input,KO mouse 2 (littermate of WT mouse 2),cycloheximide (CHX),input,METTL5 KO,GSM5690309
SRR16946505,63012826,7561539120,60,2083,SRX13138440,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346102,PRJNA780403,35033535,"",SRS11071637,SAMN23139450,simple,10090,Mus musculus,GSM5690310,GEO,SRA1329059,11,2021,Sepich-Poore,KO mouse 3 (littermate of WT mouse 3),METTL5 KO 3 input,KO mouse 3 (littermate of WT mouse 3),cycloheximide (CHX),input,METTL5 KO,GSM5690310
SRR16946506,102953518,12354422160,60,3336,SRX13138441,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346102,PRJNA780403,35033535,"",SRS11071638,SAMN23139451,simple,10090,Mus musculus,GSM5690311,GEO,SRA1329059,11,2021,Sepich-Poore,WT mouse 1 (littermate of KO mouse 1),Wildtype1 RPF,WT mouse 1 (littermate of KO mouse 1),cycloheximide (CHX),ribosome-protected-fragments (RPFs),wild type,GSM5690311
SRR16946507,95177814,11421337680,60,3081,SRX13138442,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346102,PRJNA780403,35033535,"",SRS11071639,SAMN23139452,simple,10090,Mus musculus,GSM5690312,GEO,SRA1329059,11,2021,Sepich-Poore,WT mouse 2 (littermate of KO mouse 2),Wildtype2 RPF,WT mouse 2 (littermate of KO mouse 2),cycloheximide (CHX),ribosome-protected-fragments (RPFs),wild type,GSM5690312
SRR16946508,103916339,12469960680,60,3319,SRX13138443,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346102,PRJNA780403,35033535,"",SRS11071640,SAMN23139453,simple,10090,Mus musculus,GSM5690313,GEO,SRA1329059,11,2021,Sepich-Poore,WT mouse 3 (littermate of KO mouse 3),Wildtype3 RPF,WT mouse 3 (littermate of KO mouse 3),cycloheximide (CHX),ribosome-protected-fragments (RPFs),wild type,GSM5690313
SRR16946509,104599848,12551981760,60,3413,SRX13138444,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346102,PRJNA780403,35033535,"",SRS11071641,SAMN23139454,simple,10090,Mus musculus,GSM5690314,GEO,SRA1329059,11,2021,Sepich-Poore,KO mouse 1 (littermate of WT mouse 1),METTL5 KO 1 RPF,KO mouse 1 (littermate of WT mouse 1),cycloheximide (CHX),ribosome-protected-fragments (RPFs),METTL5 KO,GSM5690314
SRR16946510,135854448,16302533760,60,4377,SRX13138445,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346102,PRJNA780403,35033535,"",SRS11071642,SAMN23139455,simple,10090,Mus musculus,GSM5690315,GEO,SRA1329059,11,2021,Sepich-Poore,KO mouse 2 (littermate of WT mouse 2),METTL5 KO 2 RPF,KO mouse 2 (littermate of WT mouse 2),cycloheximide (CHX),ribosome-protected-fragments (RPFs),METTL5 KO,GSM5690315
SRR16946511,126199372,15143924640,60,4039,SRX13138446,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP346102,PRJNA780403,35033535,"",SRS11071643,SAMN23139456,simple,10090,Mus musculus,GSM5690316,GEO,SRA1329059,11,2021,Sepich-Poore,KO mouse 3 (littermate of WT mouse 3),METTL5 KO 3 RPF,KO mouse 3 (littermate of WT mouse 3),cycloheximide (CHX),ribosome-protected-fragments (RPFs),METTL5 KO,GSM5690316
