Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,GEO Accession
SRR6751097,29991697,1529576547,51,685,SRX3723710,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133177,PRJNA434718,1,"",SRS2981017,SAMN08567963,simple,10090,Mus musculus,GSM3017997,GEO,SRA660604,07,2019,Makar,BTSC_1,T6_1,BTSC_1,brain,brain tumor stem cells,GSM3017997
SRR6751098,29984923,1529231073,51,685,SRX3723710,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133177,PRJNA434718,1,"",SRS2981017,SAMN08567963,simple,10090,Mus musculus,GSM3017997,GEO,SRA660604,07,2019,Makar,BTSC_1,T6_1,BTSC_2,brain,brain tumor stem cells,GSM3017998
SRR6751099,29878144,1523785344,51,684,SRX3723711,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133177,PRJNA434718,1,"",SRS2981018,SAMN08567962,simple,10090,Mus musculus,GSM3017998,GEO,SRA660604,07,2019,Makar,BTSC_2,T6_2,BTSC_3,brain,brain tumor stem cells,GSM3017999
SRR6751100,29882979,1524031929,51,683,SRX3723711,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133177,PRJNA434718,1,"",SRS2981018,SAMN08567962,simple,10090,Mus musculus,GSM3017998,GEO,SRA660604,07,2019,Makar,BTSC_2,T6_2,BTSC_Gpd1KO_sgRNA1_1,brain,brain tumor stem cells Gpd1 knock-out by Crispr-cas9,GSM3018000
SRR6751101,26048816,1328489616,51,599,SRX3723712,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133177,PRJNA434718,1,"",SRS2981019,SAMN08567961,simple,10090,Mus musculus,GSM3017999,GEO,SRA660604,07,2019,Makar,BTSC_3,T6_3,BTSC_Gpd1KO_sgRNA1_2,brain,brain tumor stem cells Gpd1 knock-out by Crispr-cas9,GSM3018001
SRR6751102,26028634,1327460334,51,598,SRX3723712,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133177,PRJNA434718,1,"",SRS2981019,SAMN08567961,simple,10090,Mus musculus,GSM3017999,GEO,SRA660604,07,2019,Makar,BTSC_3,T6_3,BTSC_Gpd1KO_sgRNA1_3,brain,brain tumor stem cells Gpd1 knock-out by Crispr-cas9,GSM3018002
SRR6751103,29558262,1507471362,51,676,SRX3723713,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133177,PRJNA434718,1,"",SRS2981020,SAMN08567958,simple,10090,Mus musculus,GSM3018000,GEO,SRA660604,07,2019,Makar,BTSC_Gpd1KO_sgRNA1_1,T6g1_10,BTSC_Gpd1KO_sgRNA2_1,brain,brain tumor stem cells Gpd1 knock-out by Crispr-cas9,GSM3018003
SRR6751104,29567565,1507945815,51,676,SRX3723713,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133177,PRJNA434718,1,"",SRS2981020,SAMN08567958,simple,10090,Mus musculus,GSM3018000,GEO,SRA660604,07,2019,Makar,BTSC_Gpd1KO_sgRNA1_1,T6g1_10,BTSC_Gpd1KO_sgRNA2_2,brain,brain tumor stem cells Gpd1 knock-out by Crispr-cas9,GSM3018004
SRR6751105,28301766,1443390066,51,648,SRX3723714,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133177,PRJNA434718,1,"",SRS2981023,SAMN08567960,simple,10090,Mus musculus,GSM3018001,GEO,SRA660604,07,2019,Makar,BTSC_Gpd1KO_sgRNA1_2,T6g1-18,BTSC_Gpd1KO_sgRNA2_3,brain,brain tumor stem cells Gpd1 knock-out by Crispr-cas9,GSM3018005
SRR6751106,28301917,1443397767,51,647,SRX3723714,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP133177,PRJNA434718,1,"",SRS2981023,SAMN08567960,simple,10090,Mus musculus,GSM3018001,GEO,SRA660604,07,2019,Makar,BTSC_Gpd1KO_sgRNA1_2,T6g1-18,BTSC_1,brain,brain tumor stem cells,GSM3017997
