Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,treatment,fraction,cell type,GEO Accession
SRR15513148,146169387,5172116333,35,2237,SRX11811942,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333128,PRJNA756018,35841888,"",SRS9826460,SAMN20849933,simple,9606,Homo sapiens,GSM5527673,GEO,SRA1280330,07,2022,Chothani,untreated normal human brain tissue,Brain_1 (RiboSeq),untreated normal human brain tissue,Brain,untreated,ribosome-protected mRNA fragments,,GSM5527673
SRR15513149,145676168,5168784760,35,2231,SRX11811943,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333128,PRJNA756018,35841888,"",SRS9826461,SAMN20849934,simple,9606,Homo sapiens,GSM5527674,GEO,SRA1280330,07,2022,Chothani,untreated normal human brain tissue,Brain_2 (RiboSeq),untreated normal human brain tissue,Brain,untreated,ribosome-protected mRNA fragments,,GSM5527674
SRR15513150,89615744,3171868897,35,1305,SRX11811944,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333128,PRJNA756018,35841888,"",SRS9826462,SAMN20849935,simple,9606,Homo sapiens,GSM5527675,GEO,SRA1280330,07,2022,Chothani,untreated normal human brain tissue,Brain_3 (RiboSeq),untreated normal human brain tissue,Brain,untreated,ribosome-protected mRNA fragments,,GSM5527675
SRR15513151,140962476,4985219559,35,2109,SRX11811945,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333128,PRJNA756018,35841888,"",SRS9826463,SAMN20849936,simple,9606,Homo sapiens,GSM5527676,GEO,SRA1280330,07,2022,Chothani,untreated normal human brain tissue,Brain_4 (RiboSeq),untreated normal human brain tissue,Brain,untreated,ribosome-protected mRNA fragments,,GSM5527676
SRR15513152,76499364,2702125563,35,1111,SRX11811946,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333128,PRJNA756018,35841888,"",SRS9826464,SAMN20849937,simple,9606,Homo sapiens,GSM5527677,GEO,SRA1280330,07,2022,Chothani,untreated normal human brain tissue,Brain_5 (RiboSeq),untreated normal human brain tissue,Brain,untreated,ribosome-protected mRNA fragments,,GSM5527677
SRR15513153,155854461,5483788970,35,2364,SRX11811947,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333128,PRJNA756018,35841888,"",SRS9826465,SAMN20849938,simple,9606,Homo sapiens,GSM5527678,GEO,SRA1280330,07,2022,Chothani,untreated human embryonic stem cells,ES_1 (RiboSeq),untreated human embryonic stem cells,,untreated,ribosome-protected mRNA fragments,ES,GSM5527678
SRR15513154,102941473,3633862254,35,1605,SRX11811948,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333128,PRJNA756018,35841888,"",SRS9826466,SAMN20849939,simple,9606,Homo sapiens,GSM5527679,GEO,SRA1280330,07,2022,Chothani,untreated human embryonic stem cells,ES_2 (RiboSeq),untreated human embryonic stem cells,,untreated,ribosome-protected mRNA fragments,ES,GSM5527679
SRR15513155,95744067,3366650374,35,1366,SRX11811949,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333128,PRJNA756018,35841888,"",SRS9826467,SAMN20849940,simple,9606,Homo sapiens,GSM5527680,GEO,SRA1280330,07,2022,Chothani,untreated human embryonic stem cells,ES_3 (RiboSeq),untreated human embryonic stem cells,,untreated,ribosome-protected mRNA fragments,ES,GSM5527680
SRR15513156,85717131,3011980437,35,1233,SRX11811950,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333128,PRJNA756018,35841888,"",SRS9826468,SAMN20849941,simple,9606,Homo sapiens,GSM5527681,GEO,SRA1280330,07,2022,Chothani,untreated human embryonic stem cells,ES_4 (RiboSeq),untreated human embryonic stem cells,,untreated,ribosome-protected mRNA fragments,ES,GSM5527681
SRR15513157,86157567,3028039674,35,1211,SRX11811951,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333128,PRJNA756018,35841888,"",SRS9826469,SAMN20849942,simple,9606,Homo sapiens,GSM5527682,GEO,SRA1280330,07,2022,Chothani,untreated human embryonic stem cells,ES_5 (RiboSeq),untreated human embryonic stem cells,,untreated,ribosome-protected mRNA fragments,ES,GSM5527682
SRR15513158,68655478,2412619089,35,977,SRX11811952,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333128,PRJNA756018,35841888,"",SRS9826470,SAMN20849943,simple,9606,Homo sapiens,GSM5527683,GEO,SRA1280330,07,2022,Chothani,untreated human embryonic stem cells,ES_6 (RiboSeq),untreated human embryonic stem cells,,untreated,ribosome-protected mRNA fragments,ES,GSM5527683
SRR15513159,62564469,2202162454,35,892,SRX11811953,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333128,PRJNA756018,35841888,"",SRS9826471,SAMN20849944,simple,9606,Homo sapiens,GSM5527684,GEO,SRA1280330,07,2022,Chothani,untreated normal human fat tissue,Fat_1 (RiboSeq),untreated normal human fat tissue,fat,untreated,ribosome-protected mRNA fragments,,GSM5527684
SRR15513160,50307263,1766973759,35,713,SRX11811954,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP333128,PRJNA756018,35841888,"",SRS9826472,SAMN20849945,simple,9606,Homo sapiens,GSM5527685,GEO,SRA1280330,07,2022,Chothani,untreated normal human fat tissue,Fat_2 (RiboSeq),untreated normal human fat tissue,fat,untreated,ribosome-protected mRNA fragments,,GSM5527685
