Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,genetic background,cell line,growth protocol,GEO Accession
SRR1536296,79737969,3986898450,50,2714,SRX669414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045257,PRJNA257463,25159147,"",SRS674031,SAMN02951941,simple,10090,Mus musculus,GSM1464901,GEO,SRA177955,08,2014,Ingolia,ES cell,ribo_chx_mesc,ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml)",129/Ola,E14,"Feeder-free, with LIF",GSM1464901
SRR1536297,49732175,2486608750,50,1538,SRX669414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045257,PRJNA257463,25159147,"",SRS674031,SAMN02951941,simple,10090,Mus musculus,GSM1464901,GEO,SRA177955,08,2014,Ingolia,ES cell,ribo_chx_mesc,ES cell,"ES cell feeder-free, w/ LIF 60 s Emetine",129/Ola,E14,"Feeder-free, with LIF",GSM1464902
SRR1536298,181384849,9069242450,50,5956,SRX669414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045257,PRJNA257463,25159147,"",SRS674031,SAMN02951941,simple,10090,Mus musculus,GSM1464901,GEO,SRA177955,08,2014,Ingolia,ES cell,ribo_chx_mesc,HEK cell,DMEM + 10% FBS,,HEK,,GSM1464903
SRR1536299,80976587,4048829350,50,2766,SRX669415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045257,PRJNA257463,25159147,"",SRS674032,SAMN02951942,simple,10090,Mus musculus,GSM1464902,GEO,SRA177955,08,2014,Ingolia,ES cell,ribo_emet_mesc,HEK cell,DMEM + 10% FBS,,HEK,,GSM1464904
SRR1536300,73056337,3652816850,50,2272,SRX669415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045257,PRJNA257463,25159147,"",SRS674032,SAMN02951942,simple,10090,Mus musculus,GSM1464902,GEO,SRA177955,08,2014,Ingolia,ES cell,ribo_emet_mesc,ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml)",129/Ola,E14,"Feeder-free, with LIF",GSM1464901
SRR1536301,124212409,6210620450,50,4115,SRX669415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045257,PRJNA257463,25159147,"",SRS674032,SAMN02951942,simple,10090,Mus musculus,GSM1464902,GEO,SRA177955,08,2014,Ingolia,ES cell,ribo_emet_mesc,ES cell,"ES cell feeder-free, w/ LIF 60 s Emetine",129/Ola,E14,"Feeder-free, with LIF",GSM1464902
SRR1536302,117876972,5893848600,50,3816,SRX669416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045257,PRJNA257463,25159147,"",SRS674033,SAMN02951943,simple,9606,Homo sapiens,GSM1464903,GEO,SRA177955,08,2014,Ingolia,HEK cell,input_HEK,HEK cell,DMEM + 10% FBS,,HEK,,GSM1464903
SRR1536303,32503647,1625182350,50,999,SRX669416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045257,PRJNA257463,25159147,"",SRS674033,SAMN02951943,simple,9606,Homo sapiens,GSM1464903,GEO,SRA177955,08,2014,Ingolia,HEK cell,input_HEK,HEK cell,DMEM + 10% FBS,,HEK,,GSM1464904
SRR1536304,127038702,6351935100,50,4134,SRX669417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045257,PRJNA257463,25159147,"",SRS674034,SAMN02951944,simple,9606,Homo sapiens,GSM1464904,GEO,SRA177955,08,2014,Ingolia,HEK cell,bound_HEK,ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml)",129/Ola,E14,"Feeder-free, with LIF",GSM1464901
SRR1536305,26274929,1313746450,50,815,SRX669417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045257,PRJNA257463,25159147,"",SRS674034,SAMN02951944,simple,9606,Homo sapiens,GSM1464904,GEO,SRA177955,08,2014,Ingolia,HEK cell,bound_HEK,ES cell,"ES cell feeder-free, w/ LIF 60 s Emetine",129/Ola,E14,"Feeder-free, with LIF",GSM1464902
