Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype/variation,molecule,GEO Accession
SRR14517735,64429688,4896656288,76,1607,SRX10863216,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP257547,PRJNA626635,34759377,"",SRS8958574,SAMN19110396,simple,9606,Homo sapiens,GSM5291027,GEO,SRA1067212,08,2021,Jansson,HelaS3 cells,HelaS3_WT_total_1,HelaS3 cells,HelaS3,wild type,total RNA,GSM5291027
SRR14517736,65892929,5007862604,76,1653,SRX10863217,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP257547,PRJNA626635,34759377,"",SRS8958575,SAMN19110395,simple,9606,Homo sapiens,GSM5291028,GEO,SRA1067212,08,2021,Jansson,HelaS3 cells,HelaS3_WT_total_2,HelaS3 cells,HelaS3,wild type,total RNA,GSM5291028
SRR14517737,68160780,5180219280,76,1695,SRX10863218,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP257547,PRJNA626635,34759377,"",SRS8958576,SAMN19110393,simple,9606,Homo sapiens,GSM5291029,GEO,SRA1067212,08,2021,Jansson,HelaS3 cells,HelaS3_WT_total_3,HelaS3 cells,HelaS3,wild type,total RNA,GSM5291029
SRR14517738,57235829,4349923004,76,1427,SRX10863219,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP257547,PRJNA626635,34759377,"",SRS8958577,SAMN19110392,simple,9606,Homo sapiens,GSM5291030,GEO,SRA1067212,08,2021,Jansson,HelaS3 SNORD45C knockout cells,HelaS3_45CKO_total_1,HelaS3 SNORD45C knockout cells,HelaS3,HelaS3-SNORD45C-KO,total RNA,GSM5291030
SRR14517739,61035120,4638669120,76,1516,SRX10863220,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP257547,PRJNA626635,34759377,"",SRS8958578,SAMN19110391,simple,9606,Homo sapiens,GSM5291031,GEO,SRA1067212,08,2021,Jansson,HelaS3 SNORD45C knockout cells,HelaS3_45CKO_total_2,HelaS3 SNORD45C knockout cells,HelaS3,HelaS3-SNORD45C-KO,total RNA,GSM5291031
SRR14517740,58610292,4454382192,76,1451,SRX10863221,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP257547,PRJNA626635,34759377,"",SRS8958579,SAMN19110389,simple,9606,Homo sapiens,GSM5291032,GEO,SRA1067212,08,2021,Jansson,HelaS3 SNORD45C knockout cells,HelaS3_45CKO_total_3,HelaS3 SNORD45C knockout cells,HelaS3,HelaS3-SNORD45C-KO,total RNA,GSM5291032
SRR14517741,51551194,3917890744,76,1265,SRX10863222,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP257547,PRJNA626635,34759377,"",SRS8958580,SAMN19110388,simple,9606,Homo sapiens,GSM5291033,GEO,SRA1067212,08,2021,Jansson,HelaS3 cells,HelaS3_WT_RP_1,HelaS3 cells,HelaS3,wild type,ribosome protected fragment RNA,GSM5291033
SRR14517742,43295063,3290424788,76,1111,SRX10863223,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP257547,PRJNA626635,34759377,"",SRS8958581,SAMN19110387,simple,9606,Homo sapiens,GSM5291034,GEO,SRA1067212,08,2021,Jansson,HelaS3 cells,HelaS3_WT_RP_2,HelaS3 cells,HelaS3,wild type,ribosome protected fragment RNA,GSM5291034
SRR14517743,42037631,3194859956,76,1084,SRX10863224,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP257547,PRJNA626635,34759377,"",SRS8958582,SAMN19110385,simple,9606,Homo sapiens,GSM5291035,GEO,SRA1067212,08,2021,Jansson,HelaS3 cells,HelaS3_WT_RP_3,HelaS3 cells,HelaS3,wild type,ribosome protected fragment RNA,GSM5291035
SRR14517744,54363258,4131607608,76,1403,SRX10863225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP257547,PRJNA626635,34759377,"",SRS8958583,SAMN19110384,simple,9606,Homo sapiens,GSM5291036,GEO,SRA1067212,08,2021,Jansson,HelaS3 SNORD45C knockout cells,HelaS3_45CKO_RP_1,HelaS3 SNORD45C knockout cells,HelaS3,HelaS3-SNORD45C-KO,ribosome protected fragment RNA,GSM5291036
