Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,protocol,profiling,GEO Accession
SRR3143640,3992851,155285911,38,128,SRX1559773,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP045893,PRJNA259844,1,"",SRS1274470,SAMN04455424,simple,10090,Mus musculus,GSM2054390,GEO,SRA180657,08,2016,Makar,RAW264,mRNA-Seq Basal_Rep1,RAW264,RAW 264,macrophages,basal,mRNA-Seq,GSM2054390
SRR3143641,3889838,116402247,29,97,SRX1559774,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP045893,PRJNA259844,1,"",SRS1274469,SAMN04455425,simple,10090,Mus musculus,GSM2054391,GEO,SRA180657,08,2016,Makar,RAW264,mRNA-Seq Basal_Rep2,RAW264,RAW 264,macrophages,basal,mRNA-Seq,GSM2054391
SRR3143642,2830509,91762852,32,79,SRX1559775,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP045893,PRJNA259844,1,"",SRS1274468,SAMN04455426,simple,10090,Mus musculus,GSM2054392,GEO,SRA180657,08,2016,Makar,RAW264,mRNA-Seq LPS30min_Rep1,RAW264,RAW 264,macrophages,LPS 30min,mRNA-Seq,GSM2054392
SRR3143643,3695111,114719552,31,99,SRX1559776,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP045893,PRJNA259844,1,"",SRS1274467,SAMN04455427,simple,10090,Mus musculus,GSM2054393,GEO,SRA180657,08,2016,Makar,RAW264,mRNA-Seq LPS30min_Rep2,RAW264,RAW 264,macrophages,LPS 30min,mRNA-Seq,GSM2054393
SRR3143644,4143830,141491688,34,120,SRX1559777,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP045893,PRJNA259844,1,"",SRS1274466,SAMN04455428,simple,10090,Mus musculus,GSM2054394,GEO,SRA180657,08,2016,Makar,RAW264,mRNA-Seq LPSDEX30min_Rep1,RAW264,RAW 264,macrophages,LPSDEX 30min,mRNA-Seq,GSM2054394
SRR3143645,3640714,117233727,32,99,SRX1559778,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP045893,PRJNA259844,1,"",SRS1274465,SAMN04455429,simple,10090,Mus musculus,GSM2054395,GEO,SRA180657,08,2016,Makar,RAW264,mRNA-Seq LPSDEX30min_Rep2,RAW264,RAW 264,macrophages,LPSDEX 30min,mRNA-Seq,GSM2054395
SRR3143646,4064971,133403341,32,112,SRX1559779,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP045893,PRJNA259844,1,"",SRS1274464,SAMN04455430,simple,10090,Mus musculus,GSM2054396,GEO,SRA180657,08,2016,Makar,RAW264,Ribo-Seq Basal_Rep1,RAW264,RAW 264,macrophages,basal,Ribo-seq,GSM2054396
SRR3143647,3543247,115986480,32,98,SRX1559780,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP045893,PRJNA259844,1,"",SRS1274463,SAMN04455431,simple,10090,Mus musculus,GSM2054397,GEO,SRA180657,08,2016,Makar,RAW264,Ribo-Seq Basal_Rep2,RAW264,RAW 264,macrophages,basal,Ribo-seq,GSM2054397
SRR3143648,3139362,101823347,32,84,SRX1559781,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP045893,PRJNA259844,1,"",SRS1274462,SAMN04455432,simple,10090,Mus musculus,GSM2054398,GEO,SRA180657,08,2016,Makar,RAW264,Ribo-Seq LPS30min_Rep1,RAW264,RAW 264,macrophages,LPS 30min,Ribo-seq,GSM2054398
SRR3143649,3061482,101250705,33,86,SRX1559782,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP045893,PRJNA259844,1,"",SRS1274461,SAMN04455433,simple,10090,Mus musculus,GSM2054399,GEO,SRA180657,08,2016,Makar,RAW264,Ribo-Seq LPS30min_Rep2,RAW264,RAW 264,macrophages,LPS 30min,Ribo-seq,GSM2054399
