Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,sirna,GEO Accession
SRR7667880,1694045,254106750,75,100,SRX4528446,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP157046,PRJNA485438,31855834,"",SRS3646315,SAMN09791428,simple,10090,Mus musculus,GSM3327707,GEO,SRA756811,07,2020,Smekalova,Hepa1c1c7 Liver cells,d4162: rRNA control in vitro replicate 1,Hepa1c1c7 Liver cells,not applicable,Hepa1c1c7 Liver cells,luciferase,GSM3327707
SRR7667881,1768558,265283700,75,106,SRX4528447,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP157046,PRJNA485438,31855834,"",SRS3646314,SAMN09791427,simple,10090,Mus musculus,GSM3327708,GEO,SRA756811,07,2020,Smekalova,Hepa1c1c7 Liver cells,d4163: rRNA control in vitro replicate 2,Hepa1c1c7 Liver cells,not applicable,Hepa1c1c7 Liver cells,luciferase,GSM3327708
SRR7667882,1583471,237520650,75,95,SRX4528448,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP157046,PRJNA485438,31855834,"",SRS3646316,SAMN09791425,simple,10090,Mus musculus,GSM3327709,GEO,SRA756811,07,2020,Smekalova,Hepa1c1c7 Liver cells,d4164: rRNA control in vitro replicate 3,Hepa1c1c7 Liver cells,not applicable,Hepa1c1c7 Liver cells,luciferase,GSM3327709
SRR7667883,1940021,291003150,75,118,SRX4528449,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP157046,PRJNA485438,31855834,"",SRS3646317,SAMN09791424,simple,10090,Mus musculus,GSM3327710,GEO,SRA756811,07,2020,Smekalova,Hepa1c1c7 Liver cells,d4165: rRNA eIF3m kD in vitro replicate 1,Hepa1c1c7 Liver cells,not applicable,Hepa1c1c7 Liver cells,Eif3m,GSM3327710
SRR7667884,1888728,283309200,75,115,SRX4528450,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP157046,PRJNA485438,31855834,"",SRS3646318,SAMN09791423,simple,10090,Mus musculus,GSM3327711,GEO,SRA756811,07,2020,Smekalova,Hepa1c1c7 Liver cells,d4166: rRNA eIF3m kD in vitro replicate 2,Hepa1c1c7 Liver cells,not applicable,Hepa1c1c7 Liver cells,Eif3m,GSM3327711
SRR7667885,1748210,262231500,75,104,SRX4528451,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP157046,PRJNA485438,31855834,"",SRS3646319,SAMN09791422,simple,10090,Mus musculus,GSM3327712,GEO,SRA756811,07,2020,Smekalova,Hepa1c1c7 Liver cells,d4167: rRNA eIF3m kD in vitro replicate 3,Hepa1c1c7 Liver cells,not applicable,Hepa1c1c7 Liver cells,Eif3m,GSM3327712
SRR7667886,3581771,537265650,75,201,SRX4528452,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP157046,PRJNA485438,31855834,"",SRS3646320,SAMN09791421,simple,10090,Mus musculus,GSM3327713,GEO,SRA756811,07,2020,Smekalova,liver,d8613: rRNA control in vivo replicate 1,liver,FVB/N,liver,luciferase,GSM3327713
SRR7667887,2695946,404391900,75,153,SRX4528453,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP157046,PRJNA485438,31855834,"",SRS3646321,SAMN09791420,simple,10090,Mus musculus,GSM3327714,GEO,SRA756811,07,2020,Smekalova,liver,d8614: rRNA control in vivo replicate 2,liver,FVB/N,liver,luciferase,GSM3327714
SRR7667888,4461869,669280350,75,252,SRX4528454,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP157046,PRJNA485438,31855834,"",SRS3646322,SAMN09791419,simple,10090,Mus musculus,GSM3327715,GEO,SRA756811,07,2020,Smekalova,liver,d8615: rRNA control in vivo replicate 3,liver,FVB/N,liver,luciferase,GSM3327715
SRR7667889,4744208,711631200,75,265,SRX4528455,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP157046,PRJNA485438,31855834,"",SRS3646323,SAMN09791418,simple,10090,Mus musculus,GSM3327716,GEO,SRA756811,07,2020,Smekalova,liver,d8616: rRNA eIF3m kD in vivo replicate 1,liver,FVB/N,liver,Eif3m,GSM3327716
