Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,tissue lineage,treatment medium,treatment length,genetic tag,cell fraction,treatment,strain,GEO Accession
SRR13125084,139517294,11998487284,76,4834,SRX9567109,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7767975,SAMN16881239,simple,9606,Homo sapiens,GSM4932420,GEO,SRA1163168,06,2021,VanInsberghe,"HEK293T cells that were cultured in DMEM that was either complete, or that had been depleted of Arginine or Leucine for 3 or 6 hours.",HEK293T-Starv1,"HEK293T cells that were cultured in DMEM that was either complete, or that had been depleted of Arginine or Leucine for 3 or 6 hours.",HEK293T,embryonic kidney,"DMEM + 10% Dialized FBS, DMEM + 10% Dialized FBS -Arginine, DMEM + 10% Dialized FBS -Leucine. Specific treatment for each well is defined in HEK293T_Starv_layout.csv.gz.","0, 3, and 6 hours. Specific treatment for each well is defined in HEK293T_Starv_layout.csv.gz.",,,,,GSM4932420
SRR13125085,142150162,12224913932,76,4902,SRX9567110,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7758102,SAMN16881238,simple,9606,Homo sapiens,GSM4932421,GEO,SRA1163168,06,2021,VanInsberghe,"HEK293T cells that were cultured in DMEM that was either complete, or that had been depleted of Arginine or Leucine for 3 or 6 hours.",HEK293T-Starv2,"HEK293T cells that were cultured in DMEM that was either complete, or that had been depleted of Arginine or Leucine for 3 or 6 hours.",HEK293T,embryonic kidney,"DMEM + 10% Dialized FBS, DMEM + 10% Dialized FBS -Arginine, DMEM + 10% Dialized FBS -Leucine. Specific treatment for each well is defined in HEK293T_Starv_layout.csv.gz.","0, 3, and 6 hours. Specific treatment for each well is defined in HEK293T_Starv_layout.csv.gz.",,,,,GSM4932421
SRR13125086,101123410,8696613260,76,3471,SRX9567111,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7763840,SAMN16881237,simple,9606,Homo sapiens,GSM4932422,GEO,SRA1163168,06,2021,VanInsberghe,HEK293T cells that were cultured in DMEM + 10% FBS,HEK293T,HEK293T cells that were cultured in DMEM + 10% FBS,HEK293T,embryonic kidney,DMEM + 10% FBS,,,,,,GSM4932422
SRR13125087,208099040,17896517440,76,6998,SRX9567112,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7765382,SAMN16881236,simple,9606,Homo sapiens,GSM4932423,GEO,SRA1163168,06,2021,VanInsberghe,hTERT RPE1 FUCCI cells from either interphase or contact-inhibition G0 fractions.,G011,hTERT RPE1 FUCCI cells from either interphase or contact-inhibition G0 fractions.,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Contact-inhibition G0 and interphase cells. Specific cell fraction for each well is defined in RPE_G0_layout.csv.gz.,Interphase and G0 treatments,,GSM4932423
SRR13125088,111234922,9566203292,76,3882,SRX9567113,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7772959,SAMN16881235,simple,9606,Homo sapiens,GSM4932424,GEO,SRA1163168,06,2021,VanInsberghe,hTERT RPE1 FUCCI cells from either interphase or contact-inhibition G0 fractions.,G012,hTERT RPE1 FUCCI cells from either interphase or contact-inhibition G0 fractions.,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Contact-inhibition G0 and interphase cells. Specific cell fraction for each well is defined in RPE_G0_layout.csv.gz.,Interphase and G0 treatments,,GSM4932424
SRR13125089,109168249,9388469414,76,3803,SRX9567114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7775360,SAMN16881234,simple,9606,Homo sapiens,GSM4932425,GEO,SRA1163168,06,2021,VanInsberghe,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,Mit01,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Mitotic shake-off and interphase cells. Specific cell fraction for each well is defined in RPE_Mit_layout.csv.gz,Interphase and Mitotic treatments,,GSM4932425
SRR13125090,116252022,9997673892,76,4028,SRX9567115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7764766,SAMN16881233,simple,9606,Homo sapiens,GSM4932426,GEO,SRA1163168,06,2021,VanInsberghe,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,Mit02,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Mitotic shake-off and interphase cells. Specific cell fraction for each well is defined in RPE_Mit_layout.csv.gz,Interphase and Mitotic treatments,,GSM4932426
SRR13125091,150327015,12928123290,76,5042,SRX9567116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7771976,SAMN16881232,simple,9606,Homo sapiens,GSM4932427,GEO,SRA1163168,06,2021,VanInsberghe,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,Mit03,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Mitotic shake-off and interphase cells. Specific cell fraction for each well is defined in RPE_Mit_layout.csv.gz,Interphase and Mitotic treatments,,GSM4932427
SRR13125092,102661697,8828905942,76,3664,SRX9567117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7772807,SAMN16881231,simple,9606,Homo sapiens,GSM4932428,GEO,SRA1163168,06,2021,VanInsberghe,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,Mit04,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Mitotic shake-off and interphase cells. Specific cell fraction for each well is defined in RPE_Mit_layout.csv.gz,Interphase and Mitotic treatments,,GSM4932428
SRR13125093,109351435,9404223410,76,3877,SRX9567118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7774174,SAMN16881230,simple,9606,Homo sapiens,GSM4932429,GEO,SRA1163168,06,2021,VanInsberghe,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,Mit06,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Mitotic shake-off and interphase cells. Specific cell fraction for each well is defined in RPE_Mit_layout.csv.gz,Interphase and Mitotic treatments,,GSM4932429
