Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,sample_type,treatment,lymphoma subtype,BioSampleModel
SRR12285192,416920493,21262945143,51,6530,SRX8788502,HBL1_D1_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273033,PRJNA647736,1,"",SRS7057057,SAMN15596800,simple,9606,Homo sapiens,HBL-1_Ctrl,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",HBL-1,HBL-1,65,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,HBL-1,cell culture,"DMSO 0.1%, 30 min. 37C",activate B cell lymphoma (ABC),Human
SRR12285191,386207998,19696607898,51,5952,SRX8788503,HBL1_D2_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273033,PRJNA647736,1,"",SRS7057057,SAMN15596800,simple,9606,Homo sapiens,HBL-1_Ctrl,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",HBL-1,HBL-1,65,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,HBL-1,cell culture,"DMSO 0.1%, 30 min. 37C",activate B cell lymphoma (ABC),Human
SRR12285190,130063574,19769663248,76,7235,SRX8788504,SUDHL4_D1_RNA,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP273033,PRJNA647736,1,"",SRS7057058,SAMN15596802,simple,9606,Homo sapiens,SU-DHL-4_Ctrl,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",SU-DHL-4,SU-DHL-4,38,NCI/CCR/LMB L. M. Staudt,male,peritoneal effusion,SU-DHL-4,cell culture,"DMSO 0.1%, 30 min. 37C",germinal center B cell lymphoma (GCB),Human
SRR12285189,122024352,18547701504,76,6907,SRX8788505,SUDHL4_D2_RNA,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP273033,PRJNA647736,1,"",SRS7057058,SAMN15596802,simple,9606,Homo sapiens,SU-DHL-4_Ctrl,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",SU-DHL-4,SU-DHL-4,38,NCI/CCR/LMB L. M. Staudt,male,peritoneal effusion,SU-DHL-4,cell culture,"DMSO 0.1%, 30 min. 37C",germinal center B cell lymphoma (GCB),Human
SRR12285188,366692929,18701339379,51,5779,SRX8788506,SUDHL4_H1_Ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273033,PRJNA647736,1,"",SRS7057059,SAMN15596803,simple,9606,Homo sapiens,SU-DHL-4_Harr,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",SU-DHL-4,SU-DHL-4,38,NCI/CCR/LMB L. M. Staudt,male,peritoneal effusion,SU-DHL-4,cell culture,harringtonine (DMSO dissolved) 5 g/ml 30 min. 37C,germinal center B cell lymphoma (GCB),Human
SRR12285187,410768071,20949171621,51,6474,SRX8788507,SUDHL4_H2_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273033,PRJNA647736,1,"",SRS7057059,SAMN15596803,simple,9606,Homo sapiens,SU-DHL-4_Harr,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",SU-DHL-4,SU-DHL-4,38,NCI/CCR/LMB L. M. Staudt,male,peritoneal effusion,SU-DHL-4,cell culture,harringtonine (DMSO dissolved) 5 g/ml 30 min. 37C,germinal center B cell lymphoma (GCB),Human
SRR12285186,150297473,22845215896,76,8706,SRX8788508,SUDHL4_H1_RNA,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP273033,PRJNA647736,1,"",SRS7057059,SAMN15596803,simple,9606,Homo sapiens,SU-DHL-4_Harr,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",SU-DHL-4,SU-DHL-4,38,NCI/CCR/LMB L. M. Staudt,male,peritoneal effusion,SU-DHL-4,cell culture,harringtonine (DMSO dissolved) 5 g/ml 30 min. 37C,germinal center B cell lymphoma (GCB),Human
SRR12285185,126124926,19170988752,76,7100,SRX8788509,SUDHL4_H2_RNA,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP273033,PRJNA647736,1,"",SRS7057059,SAMN15596803,simple,9606,Homo sapiens,SU-DHL-4_Harr,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",SU-DHL-4,SU-DHL-4,38,NCI/CCR/LMB L. M. Staudt,male,peritoneal effusion,SU-DHL-4,cell culture,harringtonine (DMSO dissolved) 5 g/ml 30 min. 37C,germinal center B cell lymphoma (GCB),Human
SRR12285184,375228173,19136636823,51,5686,SRX8788510,DOHH2_D1_Ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273033,PRJNA647736,1,"",SRS7057060,SAMN15596804,simple,9606,Homo sapiens,DoHH2_Ctrl,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",DoHH2,DoHH2,60,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,DoHH2,cell culture,"DMSO 0.1%, 30 min. 37C",germinal center B cell lymphoma (GCB),Human
SRR12285183,380127787,19386517137,51,5809,SRX8788511,DOHH2_D2_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273033,PRJNA647736,1,"",SRS7057060,SAMN15596804,simple,9606,Homo sapiens,DoHH2_Ctrl,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",DoHH2,DoHH2,60,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,DoHH2,cell culture,"DMSO 0.1%, 30 min. 37C",germinal center B cell lymphoma (GCB),Human
