Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell culture treatment,assayed molecule,ribosome stabilization agent,GEO Accession
SRR1042851,47340432,2414362032,51,1502,SRX386982,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510917,SAMN02435384,simple,4932,Saccharomyces cerevisiae,GSM1279566,GEO,SRA115268,12,2013,Guydosh,Whole cells,wild-type mRNA-Seq,Whole cells,wild-type (BY4741),cycloheximide (2 min),polyA RNA,,GSM1279566
SRR1042852,36746858,1874089758,51,1155,SRX386983,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510918,SAMN02435392,simple,4932,Saccharomyces cerevisiae,GSM1279567,GEO,SRA115268,12,2013,Guydosh,Whole cells,dom34KO mRNA-Seq,Whole cells,dom34KO,cycloheximide (2 min),polyA RNA,,GSM1279567
SRR1042853,35173440,1793845440,51,1096,SRX386984,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510919,SAMN02435386,simple,4932,Saccharomyces cerevisiae,GSM1279568,GEO,SRA115268,12,2013,Guydosh,Whole cells,wild-type CHX,Whole cells,wild-type (BY4741),,Ribosome-protected RNA 25-34 nt,cycloheximide,GSM1279568
SRR1042854,29710852,1515253452,51,911,SRX386985,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510920,SAMN02435385,simple,4932,Saccharomyces cerevisiae,GSM1279569,GEO,SRA115268,12,2013,Guydosh,Whole cells,dom34KO CHX,Whole cells,dom34KO,,Ribosome-protected RNA 25-34 nt,cycloheximide,GSM1279569
SRR1042855,48132696,2454767496,51,1499,SRX386986,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510921,SAMN02435390,simple,4932,Saccharomyces cerevisiae,GSM1279570,GEO,SRA115268,12,2013,Guydosh,Whole cells,wild-type no additive,Whole cells,wild-type (BY4741),,Ribosome-protected RNA 25-34 nt,no additive,GSM1279570
SRR1042856,39447031,2011798581,51,1223,SRX386987,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510922,SAMN02435388,simple,4932,Saccharomyces cerevisiae,GSM1279571,GEO,SRA115268,12,2013,Guydosh,Whole cells,dom34KO no additive,Whole cells,dom34KO,,Ribosome-protected RNA 25-34 nt,no additive,GSM1279571
SRR1042857,27983305,1427148555,51,838,SRX386988,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510923,SAMN02435389,simple,4932,Saccharomyces cerevisiae,GSM1279572,GEO,SRA115268,12,2013,Guydosh,Whole cells,wild-type CHX+GMP-PNP,Whole cells,wild-type (BY4741),,Ribosome-protected RNA 25-34 nt,cycloheximide+GMP-PNP,GSM1279572
SRR1042858,26140273,1333153923,51,791,SRX386989,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510924,SAMN02435395,simple,4932,Saccharomyces cerevisiae,GSM1279573,GEO,SRA115268,12,2013,Guydosh,Whole cells,wild-type GMP-PNP,Whole cells,wild-type (BY4741),,Ribosome-protected RNA 25-34 nt,GMP-PNP,GSM1279573
SRR1042859,26831836,1368423636,51,805,SRX386990,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510925,SAMN02435387,simple,4932,Saccharomyces cerevisiae,GSM1279574,GEO,SRA115268,12,2013,Guydosh,Whole cells,wild-type high Mg++,Whole cells,wild-type (BY4741),,Ribosome-protected RNA 25-34 nt,high [Mg++],GSM1279574
SRR1042860,28232662,1439865762,51,852,SRX386991,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510926,SAMN02435393,simple,4932,Saccharomyces cerevisiae,GSM1279575,GEO,SRA115268,12,2013,Guydosh,Whole cells,dom34KO CHX+GMP-PNP,Whole cells,dom34KO,,Ribosome-protected RNA 25-34 nt,cycloheximide+GMP-PNP,GSM1279575
SRR1042861,27962922,1426109022,51,851,SRX386992,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510928,SAMN02435391,simple,4932,Saccharomyces cerevisiae,GSM1279576,GEO,SRA115268,12,2013,Guydosh,Whole cells,dom34KO GMP-PNP,Whole cells,dom34KO,,Ribosome-protected RNA 25-34 nt,GMP-PNP,GSM1279576
SRR1042862,28318151,1444225701,51,863,SRX386993,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510927,SAMN02435394,simple,4932,Saccharomyces cerevisiae,GSM1279577,GEO,SRA115268,12,2013,Guydosh,Whole cells,dom34KO high Mg++,Whole cells,dom34KO,,Ribosome-protected RNA 25-34 nt,high [Mg++],GSM1279577
SRR1042863,32402573,1652531223,51,1033,SRX386994,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510929,SAMN02435396,simple,4932,Saccharomyces cerevisiae,GSM1279578,GEO,SRA115268,12,2013,Guydosh,Whole cells,ski2KO,Whole cells,ski2KO,,Ribosome-protected RNA 25-34 nt,cycloheximide,GSM1279578
SRR1042864,68689532,3503166132,51,2277,SRX386995,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510930,SAMN02435398,simple,4932,Saccharomyces cerevisiae,GSM1279579,GEO,SRA115268,12,2013,Guydosh,Whole cells,wild-type 3-AT,Whole cells,HIS3,100 mM 3-AT for 2.5 doublings (CSM-His media),Ribosome-protected RNA 25-34 nt,cycloheximide,GSM1279579
SRR1042865,79026619,4030357569,51,2597,SRX386996,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510931,SAMN02435400,simple,4932,Saccharomyces cerevisiae,GSM1279580,GEO,SRA115268,12,2013,Guydosh,Whole cells,dom34KO 3-AT,Whole cells,HIS3 dom34KO,100 mM 3-AT for 2.5 doublings (CSM-His media),Ribosome-protected RNA 25-34 nt,cycloheximide,GSM1279580
SRR1042866,159138350,8116055850,51,4680,SRX386996,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510931,SAMN02435400,simple,4932,Saccharomyces cerevisiae,GSM1279580,GEO,SRA115268,12,2013,Guydosh,Whole cells,dom34KO 3-AT,Whole cells,wild-type (BY4741),2mM diamide (+0.3 mM CaCl2) for 2 hours,Ribosome-protected RNA 25-34 nt,cycloheximide,GSM1279581
SRR1042867,140917645,7186799895,51,4333,SRX386996,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510931,SAMN02435400,simple,4932,Saccharomyces cerevisiae,GSM1279580,GEO,SRA115268,12,2013,Guydosh,Whole cells,dom34KO 3-AT,Whole cells,dom34KO,2mM diamide (+0.3 mM CaCl2) for 2 hours,Ribosome-protected RNA 25-34 nt,cycloheximide,GSM1279582
SRR1042868,54567011,2782917561,51,1717,SRX386997,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510932,SAMN02435397,simple,4932,Saccharomyces cerevisiae,GSM1279581,GEO,SRA115268,12,2013,Guydosh,Whole cells,wild-type diamide,Whole cells,ski2KO SUP4-o,CSM-His media,Ribosome-protected RNA 25-34 nt,cycloheximide,GSM1279583
