Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,tansfected with,GEO Accession
SRR1993808,16490301,824515050,50,549,SRX1007648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920554,SAMN03566650,simple,9606,Homo sapiens,GSM1665946,GEO,SRA262367,07,2015,Topham,RKO_non-targeting siRNAs,Non-Targeting 1,RKO_non-targeting siRNAs,RKO,colon carcinoma cell line,non-targeting siRNAs,GSM1665946
SRR1993809,26207691,1310384550,50,856,SRX1007649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920553,SAMN03566651,simple,9606,Homo sapiens,GSM1665947,GEO,SRA262367,07,2015,Topham,RKO_non-targeting siRNAs,Non-Targeting 2,RKO_non-targeting siRNAs,RKO,colon carcinoma cell line,non-targeting siRNAs,GSM1665947
SRR1993810,24004322,1200216100,50,796,SRX1007650,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920552,SAMN03566652,simple,9606,Homo sapiens,GSM1665948,GEO,SRA262367,07,2015,Topham,RKO_non-targeting siRNAs,Non-Targeting 3,RKO_non-targeting siRNAs,RKO,colon carcinoma cell line,non-targeting siRNAs,GSM1665948
SRR1993811,25726789,1286339450,50,853,SRX1007651,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920551,SAMN03566653,simple,9606,Homo sapiens,GSM1665949,GEO,SRA262367,07,2015,Topham,RKO_non-targeting siRNAs,Non-Targeting 4,RKO_non-targeting siRNAs,RKO,colon carcinoma cell line,non-targeting siRNAs,GSM1665949
SRR1993812,22418294,1120914700,50,742,SRX1007652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920550,SAMN03566654,simple,9606,Homo sapiens,GSM1665950,GEO,SRA262367,07,2015,Topham,RKO_mock-transfected,Mock 1,RKO_mock-transfected,RKO,colon carcinoma cell line,none (mock-transfected),GSM1665950
SRR1993813,20460646,1023032300,50,670,SRX1007653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920536,SAMN03566655,simple,9606,Homo sapiens,GSM1665951,GEO,SRA262367,07,2015,Topham,RKO_mock-transfected,Mock 2,RKO_mock-transfected,RKO,colon carcinoma cell line,none (mock-transfected),GSM1665951
SRR1993814,21494219,1074710950,50,716,SRX1007654,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920534,SAMN03566656,simple,9606,Homo sapiens,GSM1665952,GEO,SRA262367,07,2015,Topham,RKO_mock-transfected,Mock 3,RKO_mock-transfected,RKO,colon carcinoma cell line,none (mock-transfected),GSM1665952
SRR1993815,25077563,1253878150,50,830,SRX1007655,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920548,SAMN03566657,simple,9606,Homo sapiens,GSM1665953,GEO,SRA262367,07,2015,Topham,RKO_mock-transfected,Mock 4,RKO_mock-transfected,RKO,colon carcinoma cell line,none (mock-transfected),GSM1665953
SRR1993816,21574190,1078709500,50,709,SRX1007656,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920535,SAMN03566658,simple,9606,Homo sapiens,GSM1665954,GEO,SRA262367,07,2015,Topham,RKO_mock-transfected,Mock 5,RKO_mock-transfected,RKO,colon carcinoma cell line,none (mock-transfected),GSM1665954
SRR1993817,16495766,824788300,50,546,SRX1007657,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920549,SAMN03566659,simple,9606,Homo sapiens,GSM1665955,GEO,SRA262367,07,2015,Topham,RKO_Myc siRNA,Myc 1,RKO_Myc siRNA,RKO,colon carcinoma cell line,Myc siRNA,GSM1665955
