Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,GEO Accession
SRR8887162,69219732,3530206332,51,2241,SRX5672889,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615532,SAMN11403225,simple,9606,Homo sapiens,GSM3720417,GEO,SRA873063,04,2020,Ma,GROseq_A2780_vehicle,GROseq_A2780_vehicle,GROseq_A2780_vehicle,A2780,,GSM3720417
SRR8887163,69813679,3560497629,51,2224,SRX5672890,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615533,SAMN11403224,simple,9606,Homo sapiens,GSM3720418,GEO,SRA873063,04,2020,Ma,GROseq_A2780_cisplatin,GROseq_A2780_cisplatin,GROseq_A2780_cisplatin,A2780,,GSM3720418
SRR8887164,37603211,1880160550,50,1104,SRX5672891,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615534,SAMN11403223,simple,9606,Homo sapiens,GSM3720419,GEO,SRA873063,04,2020,Ma,GROseq_A2780cis_vehicle,GROseq_A2780cis_vehicle,GROseq_A2780cis_vehicle,A2780cis,,GSM3720419
SRR8887165,57522777,2876138850,50,1681,SRX5672892,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615535,SAMN11403222,simple,9606,Homo sapiens,GSM3720420,GEO,SRA873063,04,2020,Ma,GROseq_A2780cis_cisplatin,GROseq_A2780cis_cisplatin,GROseq_A2780cis_cisplatin,A2780cis,,GSM3720420
SRR8887166,47578782,2426517882,51,1539,SRX5672893,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615536,SAMN11403221,simple,9606,Homo sapiens,GSM3720421,GEO,SRA873063,04,2020,Ma,RNAseq_A2780_vehicle,RNAseq_A2780_vehicle,RNAseq_A2780_vehicle,A2780,,GSM3720421
SRR8887167,59327053,3025679703,51,1877,SRX5672894,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615537,SAMN11403220,simple,9606,Homo sapiens,GSM3720422,GEO,SRA873063,04,2020,Ma,RNAseq_A2780_cisplatin,RNAseq_A2780_cisplatin,RNAseq_A2780_cisplatin,A2780,,GSM3720422
SRR8887168,43775311,2188765550,50,1246,SRX5672895,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615538,SAMN11403219,simple,9606,Homo sapiens,GSM3720423,GEO,SRA873063,04,2020,Ma,RNAseq_A2780cis_vehicle,RNAseq_A2780cis_vehicle,RNAseq_A2780cis_vehicle,A2780cis,,GSM3720423
SRR8887169,37066006,1853300300,50,1050,SRX5672896,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615539,SAMN11403218,simple,9606,Homo sapiens,GSM3720424,GEO,SRA873063,04,2020,Ma,RNAseq_A2780cis_cisplatin,RNAseq_A2780cis_cisplatin,RNAseq_A2780cis_cisplatin,A2780cis,,GSM3720424
SRR8887170,110330347,5626847697,51,3578,SRX5672897,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615540,SAMN11403217,simple,9606,Homo sapiens,GSM3720425,GEO,SRA873063,04,2020,Ma,Ribosome_profiling_A2780_vehicle,Ribosome_profiling_A2780_vehicle,Ribosome_profiling_A2780_vehicle,A2780,,GSM3720425
SRR8887171,76488071,3900891621,51,2428,SRX5672898,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615541,SAMN11403216,simple,9606,Homo sapiens,GSM3720426,GEO,SRA873063,04,2020,Ma,Ribosome_profiling_A2780_cisplatin,Ribosome_profiling_A2780_cisplatin,Ribosome_profiling_A2780_cisplatin,A2780,,GSM3720426
