Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,cell line,rna population,GEO Accession
SRR12693492,116464609,11646460900,100,3524,SRX9173290,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410868,SAMN16238716,simple,9606,Homo sapiens,GSM4798519,GEO,SRA1129972,10,2020,Rao,HEK293,NSP1-HEK-1_ribo,HEK293,NSP1 expressing,HEK293,RNA from ribosome footprint,GSM4798519
SRR12693493,104981553,10498155300,100,3178,SRX9173291,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410869,SAMN16238715,simple,9606,Homo sapiens,GSM4798520,GEO,SRA1129972,10,2020,Rao,HEK293,NSP1-HEK-2_ribo,HEK293,NSP1 expressing,HEK293,RNA from ribosome footprint,GSM4798520
SRR12693494,144166852,14416685200,100,4357,SRX9173292,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410870,SAMN16238714,simple,9606,Homo sapiens,GSM4798521,GEO,SRA1129972,10,2020,Rao,HEK293,NSP1-HEK-3_ribo,HEK293,NSP1 expressing,HEK293,RNA from ribosome footprint,GSM4798521
SRR12693495,112019926,11201992600,100,3395,SRX9173293,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410871,SAMN16238713,simple,9606,Homo sapiens,GSM4798522,GEO,SRA1129972,10,2020,Rao,HEK293,NSP2-HEK-1_ribo,HEK293,NSP2 expressing,HEK293,RNA from ribosome footprint,GSM4798522
SRR12693496,113938015,11393801500,100,3470,SRX9173294,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410872,SAMN16238712,simple,9606,Homo sapiens,GSM4798523,GEO,SRA1129972,10,2020,Rao,HEK293,NSP2-HEK-2_ribo,HEK293,NSP2 expressing,HEK293,RNA from ribosome footprint,GSM4798523
SRR12693497,104891811,10489181100,100,3167,SRX9173295,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410873,SAMN16238711,simple,9606,Homo sapiens,GSM4798524,GEO,SRA1129972,10,2020,Rao,HEK293,NSP2-HEK-3_ribo,HEK293,NSP2 expressing,HEK293,RNA from ribosome footprint,GSM4798524
SRR12693498,67130099,6713009900,100,2031,SRX9173296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410874,SAMN16238710,simple,9606,Homo sapiens,GSM4798525,GEO,SRA1129972,10,2020,Rao,HEK293,WT-HEK-1_ribo,HEK293,no treatment,HEK293,RNA from ribosome footprint,GSM4798525
SRR12693499,126846131,12684613100,100,3835,SRX9173297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410875,SAMN16238709,simple,9606,Homo sapiens,GSM4798526,GEO,SRA1129972,10,2020,Rao,HEK293,WT-HEK-2_ribo,HEK293,no treatment,HEK293,RNA from ribosome footprint,GSM4798526
SRR12693500,91286251,9128625100,100,2786,SRX9173298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410876,SAMN16238708,simple,9606,Homo sapiens,GSM4798527,GEO,SRA1129972,10,2020,Rao,HEK293,WT-HEK-3_ribo,HEK293,no treatment,HEK293,RNA from ribosome footprint,GSM4798527
SRR12693501,34840423,3484042300,100,1210,SRX9173299,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410877,SAMN16238707,simple,9606,Homo sapiens,GSM4798528,GEO,SRA1129972,10,2020,Rao,HEK293,NSP1-HEK-1_rnaseq,HEK293,NSP1 expressing,HEK293,Total RNA,GSM4798528
