Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,induced mirna,GEO Accession
SRR10441364,48978488,4163171480,85,1592,SRX7136110,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229759,PRJNA589466,32821933,"",SRS5645028,SAMN13281631,simple,9606,Homo sapiens,GSM4160132,GEO,SRA995632,08,2020,Patel,Empty vector control,Empty vector control rep 1 [Ribo-seq],Empty vector control,Flp-In T-REx 293 Cell,None,GSM4160132
SRR10441365,55946680,4755467800,85,1807,SRX7136111,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229759,PRJNA589466,32821933,"",SRS5645029,SAMN13281630,simple,9606,Homo sapiens,GSM4160133,GEO,SRA995632,08,2020,Patel,Empty vector control,Empty vector control rep 2 [Ribo-seq],Empty vector control,Flp-In T-REx 293 Cell,None,GSM4160133
SRR10441366,44222099,3758878415,85,1422,SRX7136112,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229759,PRJNA589466,32821933,"",SRS5645030,SAMN13281629,simple,9606,Homo sapiens,GSM4160134,GEO,SRA995632,08,2020,Patel,miR-1 expressing cells,miR-1 expressing cells rep 1 [Ribo-seq],miR-1 expressing cells,Flp-In T-REx 293 Cell,has-miR-1,GSM4160134
SRR10441367,48792303,4147345755,85,1569,SRX7136113,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229759,PRJNA589466,32821933,"",SRS5645031,SAMN13281628,simple,9606,Homo sapiens,GSM4160135,GEO,SRA995632,08,2020,Patel,miR-1 expressing cells,miR-1 expressing cells rep 2 [Ribo-seq],miR-1 expressing cells,Flp-In T-REx 293 Cell,hsa-miR-1,GSM4160135
SRR10441368,42924513,3648583605,85,1405,SRX7136114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229759,PRJNA589466,32821933,"",SRS5645032,SAMN13281627,simple,9606,Homo sapiens,GSM4160136,GEO,SRA995632,08,2020,Patel,miR-122 expressing cells,miR-122 expressing cells rep 1 [Ribo-seq],miR-122 expressing cells,Flp-In T-REx 293 Cell,has-miR-122,GSM4160136
SRR10441369,52924664,4498596440,85,1704,SRX7136115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229759,PRJNA589466,32821933,"",SRS5645033,SAMN13281626,simple,9606,Homo sapiens,GSM4160137,GEO,SRA995632,08,2020,Patel,miR-122 expressing cells,miR-122 expressing cells rep 2 [Ribo-seq],miR-122 expressing cells,Flp-In T-REx 293 Cell,has-miR-122,GSM4160137
SRR10441370,23851790,2027402150,85,776,SRX7136116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229759,PRJNA589466,32821933,"",SRS5645034,SAMN13281625,simple,9606,Homo sapiens,GSM4160138,GEO,SRA995632,08,2020,Patel,Empty vector control,Empty vector control rep 1 [RNA-seq],Empty vector control,Flp-In T-REx 293 Cell,None,GSM4160138
SRR10441371,24558792,2087497320,85,799,SRX7136117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229759,PRJNA589466,32821933,"",SRS5645035,SAMN13281624,simple,9606,Homo sapiens,GSM4160139,GEO,SRA995632,08,2020,Patel,Empty vector control,Empty vector control rep 2 [RNA-seq],Empty vector control,Flp-In T-REx 293 Cell,None,GSM4160139
SRR10441372,20671234,1757054890,85,683,SRX7136118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229759,PRJNA589466,32821933,"",SRS5645036,SAMN13281623,simple,9606,Homo sapiens,GSM4160140,GEO,SRA995632,08,2020,Patel,miR-1 expressing cells,miR-1 expressing cells rep 1 [RNA-seq],miR-1 expressing cells,Flp-In T-REx 293 Cell,has-miR-1,GSM4160140
SRR10441373,23490783,1996716555,85,766,SRX7136119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP229759,PRJNA589466,32821933,"",SRS5645037,SAMN13281622,simple,9606,Homo sapiens,GSM4160141,GEO,SRA995632,08,2020,Patel,miR-1 expressing cells,miR-1 expressing cells rep 2 [RNA-seq],miR-1 expressing cells,Flp-In T-REx 293 Cell,has-miR-1,GSM4160141
