Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,genotype,age,tissue,molecule subtype,GEO Accession
SRR11050266,23411212,3558504224,76,1298,SRX7700228,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124498,SAMN14073947,simple,10090,Mus musculus,GSM4304038,GEO,SRA1040365,02,2020,Makar,C201R,C201R 14003-1,C201R,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304038
SRR11050267,25633758,3896331216,76,1405,SRX7700229,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124500,SAMN14073946,simple,10090,Mus musculus,GSM4304039,GEO,SRA1040365,02,2020,Makar,C201R,C201R 14004-2,C201R,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304039
SRR11050268,24759658,3763468016,76,1375,SRX7700230,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124499,SAMN14073945,simple,10090,Mus musculus,GSM4304040,GEO,SRA1040365,02,2020,Makar,C201R,C201R 14701-5,C201R,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304040
SRR11050269,21727728,3302614656,76,1197,SRX7700231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124502,SAMN14073944,simple,10090,Mus musculus,GSM4304041,GEO,SRA1040365,02,2020,Makar,C201R Negative Ctrl,C201R Negative Ctrl_14003-2,C201R Negative Ctrl,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304041
SRR11050270,24416410,3711294320,76,1326,SRX7700232,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124501,SAMN14073943,simple,10090,Mus musculus,GSM4304042,GEO,SRA1040365,02,2020,Makar,C201R Negative Ctrl,C201R Negative Ctrl_14003-3,C201R Negative Ctrl,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304042
SRR11050271,15261151,2319694952,76,835,SRX7700233,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124503,SAMN14073942,simple,10090,Mus musculus,GSM4304043,GEO,SRA1040365,02,2020,Makar,C201R Negative Ctrl,C201R Negative Ctrl_14004-8,C201R Negative Ctrl,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304043
SRR11050272,18792681,2856487512,76,1065,SRX7700234,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124504,SAMN14073941,simple,10090,Mus musculus,GSM4304044,GEO,SRA1040365,02,2020,Makar,C201R Negative Ctrl,C201R Negative Ctrl_14004-7,C201R Negative Ctrl,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304044
SRR11050273,18618840,2830063680,76,1011,SRX7700235,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124506,SAMN14073940,simple,10090,Mus musculus,GSM4304045,GEO,SRA1040365,02,2020,Makar,C201R Negative Ctrl,C201R Negative Ctrl_14702-8,C201R Negative Ctrl,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304045
SRR11050274,20492401,3114844952,76,1111,SRX7700236,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124505,SAMN14073939,simple,10090,Mus musculus,GSM4304046,GEO,SRA1040365,02,2020,Makar,C201R Negative Ctrl,C201R Negative Ctrl_14702-9,C201R Negative Ctrl,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304046
SRR11050275,26926684,4092855968,76,1495,SRX7700237,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124507,SAMN14073938,simple,10090,Mus musculus,GSM4304047,GEO,SRA1040365,02,2020,Makar,C201R,C201R_14003-4,C201R,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304047
SRR11050276,22055613,3352453176,76,1211,SRX7700238,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124508,SAMN14073937,simple,10090,Mus musculus,GSM4304048,GEO,SRA1040365,02,2020,Makar,C201R,C201R_14004-5,C201R,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304048
SRR11050277,23685592,3600209984,76,1306,SRX7700239,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124509,SAMN14073936,simple,10090,Mus musculus,GSM4304049,GEO,SRA1040365,02,2020,Makar,C201R,C201R_14703-4,C201R,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304049
SRR11050278,24053273,3656097496,76,1325,SRX7700240,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124510,SAMN14073935,simple,10090,Mus musculus,GSM4304050,GEO,SRA1040365,02,2020,Makar,WT,WT 14002-6,WT,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304050
SRR11050279,23555148,3580382496,76,1303,SRX7700241,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124511,SAMN14073934,simple,10090,Mus musculus,GSM4304051,GEO,SRA1040365,02,2020,Makar,WT,WT 14004-6,WT,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304051
SRR11050280,23273996,3537647392,76,1282,SRX7700242,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124513,SAMN14073933,simple,10090,Mus musculus,GSM4304052,GEO,SRA1040365,02,2020,Makar,WT,WT 14702-3,WT,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304052
SRR11050281,22437786,3410543472,76,1246,SRX7700243,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124512,SAMN14073932,simple,10090,Mus musculus,GSM4304053,GEO,SRA1040365,02,2020,Makar,WT,WT 14703-5,WT,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304053
SRR11050282,24584624,3736862848,76,1344,SRX7700244,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124515,SAMN14073931,simple,10090,Mus musculus,GSM4304054,GEO,SRA1040365,02,2020,Makar,WT Negative Ctrl,WT Negative Ctrl_14004-4,WT Negative Ctrl,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304054
SRR11050283,21406634,3253808368,76,1182,SRX7700245,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124514,SAMN14073930,simple,10090,Mus musculus,GSM4304055,GEO,SRA1040365,02,2020,Makar,WT Negative Ctrl,WT Negative Ctrl_14701-1,WT Negative Ctrl,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304055
SRR11050284,22100954,3359345008,76,1211,SRX7700246,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124516,SAMN14073929,simple,10090,Mus musculus,GSM4304056,GEO,SRA1040365,02,2020,Makar,WT Negative Ctrl,WT Negative Ctrl_14702-1,WT Negative Ctrl,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304056
SRR11050285,20917272,3179425344,76,1142,SRX7700247,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124518,SAMN14073953,simple,10090,Mus musculus,GSM4304057,GEO,SRA1040365,02,2020,Makar,WT Negative Ctrl,WT Negative Ctrl_14702-4,WT Negative Ctrl,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304057
SRR11050286,21740190,3304508880,76,1191,SRX7700248,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124517,SAMN14073952,simple,10090,Mus musculus,GSM4304058,GEO,SRA1040365,02,2020,Makar,WT Negative Ctrl,WT Negative Ctrl_14702-5,WT Negative Ctrl,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304058
SRR11050287,19311196,2935301792,76,1050,SRX7700249,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124519,SAMN14073879,simple,10090,Mus musculus,GSM4304059,GEO,SRA1040365,02,2020,Makar,WT Negative Ctrl,WT Negative Ctrl_14702-6,WT Negative Ctrl,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304059
SRR11050288,27269326,4144937552,76,1495,SRX7700250,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124520,SAMN14073878,simple,10090,Mus musculus,GSM4304060,GEO,SRA1040365,02,2020,Makar,WT,WT_14004-3,WT,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304060
SRR11050289,26067168,3962209536,76,1445,SRX7700251,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247865,PRJNA605655,1,"",SRS6124521,SAMN14073877,simple,10090,Mus musculus,GSM4304061,GEO,SRA1040365,02,2020,Makar,WT,WT_14701-9,WT,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304061
