Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,genotype,cell line,treatment,cell type,GEO Accession
SRR16097929,23972745,7191823500,150,2269,SRX12383996,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354128,SAMN21880090,simple,10090,Mus musculus,GSM5600230,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-WT1 CD4 T cell-0h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,wild type,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600230
SRR16097930,23750798,7125239400,150,2157,SRX12383997,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354129,SAMN21880091,simple,10090,Mus musculus,GSM5600231,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-WT2 CD4 T cell-0h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,wild type,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600231
SRR16097931,24834379,7450313700,150,2254,SRX12383998,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354130,SAMN21880092,simple,10090,Mus musculus,GSM5600232,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-WT1 CD4 T cell-3h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,wild type,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600232
SRR16097932,23641990,7092597000,150,2134,SRX12383999,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354131,SAMN21880093,simple,10090,Mus musculus,GSM5600233,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-WT2 CD4 T cell-3h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,wild type,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600233
SRR16097933,23905355,7171606500,150,2166,SRX12384000,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354133,SAMN21880094,simple,10090,Mus musculus,GSM5600234,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-WT1 CD4 T cell-6h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,wild type,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600234
SRR16097934,26012735,7803820500,150,2358,SRX12384001,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354134,SAMN21880095,simple,10090,Mus musculus,GSM5600235,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-WT2 CD4 T cell-6h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,wild type,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600235
SRR16097935,25770945,7456556221,145,2769,SRX12384002,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354132,SAMN21880096,simple,10090,Mus musculus,GSM5600236,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-WT1 CD4 T cell-18h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,wild type,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600236
SRR16097936,25743530,7472118868,146,2789,SRX12384003,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354135,SAMN21880097,simple,10090,Mus musculus,GSM5600237,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-WT2 CD4 T cell-18h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,wild type,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600237
SRR16097937,27895416,8368624800,150,2552,SRX12384004,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354136,SAMN21880098,simple,10090,Mus musculus,GSM5600238,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-WT1 CD4 T cell-48h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,wild type,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600238
SRR16097938,23042683,6912804900,150,2109,SRX12384005,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354138,SAMN21880099,simple,10090,Mus musculus,GSM5600239,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-WT2 CD4 T cell-48h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,wild type,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600239
