Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolation_source,collection_date,geo_loc_name,sample_type,assay,timepoint,replicate,BioSampleModel
SRR6160960,19815990,1506015240,76,481,SRX3272475,ribosomal_RNA_2-2_S6,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2583990,SAMN07775565,simple,2242,Halobacterium salinarum,footprint.replicate2.timepoint.2,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,footprint,2,2,"Microbe, viral or environmental"
SRR6160959,39663230,3014405480,76,1020,SRX3272476,ribosomal_RNA_2-1_S5,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2583991,SAMN07775564,simple,2242,Halobacterium salinarum,footprint.replicate2.timepoint.1,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,footprint,1,2,"Microbe, viral or environmental"
SRR6160958,20619543,1567085268,76,518,SRX3272477,ribosomal_RNA_1-4_S4,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2583992,SAMN07775563,simple,2242,Halobacterium salinarum,footprint.replicate1.timepoint.4,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,footprint,4,1,"Microbe, viral or environmental"
SRR6160957,10916190,829630440,,283,SRX3272478,ribosomal_RNA_1-3_S3,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2583993,SAMN07775562,simple,2242,Halobacterium salinarum,footprint.replicate1.timepoint.3,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,footprint,3,1,"Microbe, viral or environmental"
SRR6160956,17460608,1327006208,76,452,SRX3272479,ribosomal_RNA_1-2_S2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2583994,SAMN07775561,simple,2242,Halobacterium salinarum,footprint.replicate1.timepoint.2,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,footprint,2,1,"Microbe, viral or environmental"
SRR6160955,10325125,784709500,76,260,SRX3272480,ribosomal_RNA_1-1_S1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2583995,SAMN07775560,simple,2242,Halobacterium salinarum,footprint.replicate1.timepoint.1,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,footprint,1,1,"Microbe, viral or environmental"
SRR6160954,20908015,1577661816,75,562,SRX3272481,total-RNA-3-4_S12,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2583996,SAMN07775559,simple,2242,Halobacterium salinarum,mRNA.replicate3.timepoint.4,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,mRNA,4,3,"Microbe, viral or environmental"
SRR6160953,22449508,1694587767,75,602,SRX3272482,total-RNA-3-3_S11,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2583997,SAMN07775558,simple,2242,Halobacterium salinarum,mRNA.replicate3.timepoint.3,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,mRNA,3,3,"Microbe, viral or environmental"
SRR6160952,17025028,1293902128,76,472,SRX3272483,ribosomal_RNA_2-4_S8,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2583998,SAMN07775567,simple,2242,Halobacterium salinarum,footprint.replicate2.timepoint.4,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,footprint,4,2,"Microbe, viral or environmental"
SRR6160951,17474431,1328056756,76,459,SRX3272484,ribosomal_RNA_2-3_S7,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2583999,SAMN07775566,simple,2242,Halobacterium salinarum,footprint.replicate2.timepoint.3,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,footprint,3,2,"Microbe, viral or environmental"
