Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,GEO Accession
SRR3306574,54143996,2761343796,51,1778,SRX1667355,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365652,SAMN04588774,simple,9606,Homo sapiens,GSM2100587,GEO,SRA399402,04,2016,Park,HeLa,S phase RNA-seq oligo-dT enriched replicate 1,HeLa,human cervical cancer cell line,GSM2100587
SRR3306575,68862189,3511971639,51,2227,SRX1667356,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365651,SAMN04588775,simple,9606,Homo sapiens,GSM2100588,GEO,SRA399402,04,2016,Park,HeLa,S phase RNA-seq oligo-dT enriched replicate 2,HeLa,human cervical cancer cell line,GSM2100588
SRR3306576,66669156,3400126956,51,2006,SRX1667357,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365650,SAMN04588776,simple,9606,Homo sapiens,GSM2100589,GEO,SRA399402,04,2016,Park,HeLa,S phase RNA-seq ribozero treated,HeLa,human cervical cancer cell line,GSM2100589
SRR3306577,55626520,2836952520,51,1839,SRX1667358,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365649,SAMN04588777,simple,9606,Homo sapiens,GSM2100590,GEO,SRA399402,04,2016,Park,HeLa,M phase RNA-seq oligo-dT enriched replicate 1,HeLa,human cervical cancer cell line,GSM2100590
SRR3306578,55578621,2834509671,51,1801,SRX1667359,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365648,SAMN04588778,simple,9606,Homo sapiens,GSM2100591,GEO,SRA399402,04,2016,Park,HeLa,M phase RNA-seq oligo-dT enriched replicate 2,HeLa,human cervical cancer cell line,GSM2100591
SRR3306579,69518074,3545421774,51,2094,SRX1667360,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365646,SAMN04588779,simple,9606,Homo sapiens,GSM2100592,GEO,SRA399402,04,2016,Park,HeLa,M phase RNA-seq ribozero treated,HeLa,human cervical cancer cell line,GSM2100592
SRR3306580,74238526,3786164826,51,2384,SRX1667361,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365647,SAMN04588780,simple,9606,Homo sapiens,GSM2100593,GEO,SRA399402,04,2016,Park,HeLa,M phase RNA-seq synchronized by shake off,HeLa,human cervical cancer cell line,GSM2100593
SRR3306581,57060872,2910104472,51,1878,SRX1667362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365645,SAMN04588781,simple,9606,Homo sapiens,GSM2100594,GEO,SRA399402,04,2016,Park,HeLa,Asynchronous cell RNA-seq 1,HeLa,human cervical cancer cell line,GSM2100594
SRR3306582,82746720,4220082720,51,2656,SRX1667363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365644,SAMN04588782,simple,9606,Homo sapiens,GSM2100595,GEO,SRA399402,04,2016,Park,HeLa,Asynchronous cell RNA-seq 2,HeLa,human cervical cancer cell line,GSM2100595
SRR3306583,178511892,9104106492,51,5808,SRX1667364,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365643,SAMN04588783,simple,9606,Homo sapiens,GSM2100596,GEO,SRA399402,04,2016,Park,HeLa,S phase ribosome profiling replicate 1,HeLa,human cervical cancer cell line,GSM2100596
SRR3306584,242256008,12355056408,51,8063,SRX1667365,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365641,SAMN04588784,simple,9606,Homo sapiens,GSM2100597,GEO,SRA399402,04,2016,Park,HeLa,S phase ribosome profiling replicate 2,HeLa,human cervical cancer cell line,GSM2100597
SRR3306585,116546351,5943863901,51,4003,SRX1667366,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365640,SAMN04588785,simple,9606,Homo sapiens,GSM2100598,GEO,SRA399402,04,2016,Park,HeLa,M phase ribosome profiling replicate 1,HeLa,human cervical cancer cell line,GSM2100598
SRR3306586,239897608,12234778008,51,7928,SRX1667367,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365639,SAMN04588786,simple,9606,Homo sapiens,GSM2100599,GEO,SRA399402,04,2016,Park,HeLa,M phase ribosome profiling replicate 2,HeLa,human cervical cancer cell line,GSM2100599
SRR3306587,242516177,12368325027,51,7970,SRX1667368,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365638,SAMN04588787,simple,9606,Homo sapiens,GSM2100600,GEO,SRA399402,04,2016,Park,HeLa,M phase ribosome profiling synchronized by shake off,HeLa,human cervical cancer cell line,GSM2100600
SRR3306588,173946221,8871257271,51,5728,SRX1667369,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365637,SAMN04588788,simple,9606,Homo sapiens,GSM2100601,GEO,SRA399402,04,2016,Park,HeLa,Asynchronous cell ribosome profiling 1,HeLa,human cervical cancer cell line,GSM2100601
SRR3306589,242417925,12363314175,51,7884,SRX1667370,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365642,SAMN04588789,simple,9606,Homo sapiens,GSM2100602,GEO,SRA399402,04,2016,Park,HeLa,Asynchronous cell ribosome profiling 2,HeLa,human cervical cancer cell line,GSM2100602
SRR3306590,10245696,2889093844,51,1723,SRX1667371,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365636,SAMN04588790,simple,9606,Homo sapiens,GSM2100603,GEO,SRA399402,04,2016,Park,HeLa,S phase TAIL-seq,HeLa,human cervical cancer cell line,GSM2100603
SRR3306591,6717706,1894268182,51,1093,SRX1667372,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072459,PRJNA316618,27153541,"",SRS1365635,SAMN04588791,simple,9606,Homo sapiens,GSM2100604,GEO,SRA399402,04,2016,Park,HeLa,M phase TAIL-seq,HeLa,human cervical cancer cell line,GSM2100604
