Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain,Stage,treatment,rna subtype,GEO Accession
SRR870722,4000000,3.04e+08,76,183,SRX288474,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431101,SAMN02183598,simple,7955,Danio rerio,GSM1152436,GEO,SRA082637,09,2013,Lee,WT input mRNA for Ribosome Profiling,WT input mRNA for Ribosome Profiling,WT input mRNA for Ribosome Profiling,Whole embryos,TUAB,2hpf,none,polyA RNA,GSM1152436
SRR870723,3768017,286369292,76,171,SRX288474,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431101,SAMN02183598,simple,7955,Danio rerio,GSM1152436,GEO,SRA082637,09,2013,Lee,WT input mRNA for Ribosome Profiling,WT input mRNA for Ribosome Profiling,WT ribosome protected fragments for Ribosome Profiling,Whole embryos,TUAB,2hpf,none,total RNA,GSM1152437
SRR870724,4000000,3.04e+08,,181,SRX288474,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431101,SAMN02183598,simple,7955,Danio rerio,GSM1152436,GEO,SRA082637,09,2013,Lee,WT input mRNA for Ribosome Profiling,WT input mRNA for Ribosome Profiling,Nanog + SoxB1 MO input mRNA for Ribosome Profiling,Whole embryos,TUAB,2hpf,"Nanog MO, SoxB1 MO",polyA RNA,GSM1152438
SRR870725,4000000,3.04e+08,76,188,SRX288475,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431102,SAMN02183599,simple,7955,Danio rerio,GSM1152437,GEO,SRA082637,09,2013,Lee,WT ribosome protected fragments for Ribosome Profiling,WT ribosome protected fragments for Ribosome Profiling,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Whole embryos,TUAB,2hpf,"Nanog MO, SoxB1 MO",total RNA,GSM1152439
SRR870726,4000000,3.04e+08,76,194,SRX288475,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431102,SAMN02183599,simple,7955,Danio rerio,GSM1152437,GEO,SRA082637,09,2013,Lee,WT ribosome protected fragments for Ribosome Profiling,WT ribosome protected fragments for Ribosome Profiling,WT 2hpf Total mRNA,Whole embryos,TUAB,2hpf,none,total RNA,GSM1152440
SRR870727,4000000,3.04e+08,76,185,SRX288475,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431102,SAMN02183599,simple,7955,Danio rerio,GSM1152437,GEO,SRA082637,09,2013,Lee,WT ribosome protected fragments for Ribosome Profiling,WT ribosome protected fragments for Ribosome Profiling,WT 4hpf poly(A)+ mRNA,Whole embryos,TUAB,4hpf,none,polyA RNA,GSM1152441
SRR870728,3877037,294654812,76,190,SRX288475,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431102,SAMN02183599,simple,7955,Danio rerio,GSM1152437,GEO,SRA082637,09,2013,Lee,WT ribosome protected fragments for Ribosome Profiling,WT ribosome protected fragments for Ribosome Profiling,WT 4hpf Total mRNA,Whole embryos,TUAB,4hpf,none,total RNA,GSM1152442
SRR870729,4000000,3.04e+08,76,187,SRX288475,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431102,SAMN02183599,simple,7955,Danio rerio,GSM1152437,GEO,SRA082637,09,2013,Lee,WT ribosome protected fragments for Ribosome Profiling,WT ribosome protected fragments for Ribosome Profiling,Alpha-amanitin 4hpf Total mRNA,Whole embryos,TUAB,4hpf,alpha-amanitin,total RNA,GSM1152443
SRR870730,4000000,3.04e+08,76,190,SRX288475,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431102,SAMN02183599,simple,7955,Danio rerio,GSM1152437,GEO,SRA082637,09,2013,Lee,WT ribosome protected fragments for Ribosome Profiling,WT ribosome protected fragments for Ribosome Profiling,U1U2 MO 4hpf Total mRNA,Whole embryos,TUAB,4hpf,"U1 MO, U2 MO",total RNA,GSM1152444
SRR870731,4000000,3.04e+08,76,191,SRX288475,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431102,SAMN02183599,simple,7955,Danio rerio,GSM1152437,GEO,SRA082637,09,2013,Lee,WT ribosome protected fragments for Ribosome Profiling,WT ribosome protected fragments for Ribosome Profiling,Nanog MO 4hpf Total mRNA,Whole embryos,TUAB,4hpf,Nanog MO,total RNA,GSM1152445
