Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,stress condition,sample type,molecule subtype,substrain,GEO Accession
SRR1301050,8556647,436388997,51,277,SRX554704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030123,PRJNA219750,25416955,"",SRS621970,SAMN02801778,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1399608,GEO,SRA101966,06,2014,Subramaniam,whole cell lysate_ribosome profiling,ssra_noleu_mono,whole cell lysate_ribosome profiling,"leuB::kan, tmRNA/ssrA::cat",leucine starvation,whole cell lysate,Monosome protected mRNA,MG1655,GSM1399608
SRR1301051,9484189,948418900,100,506,SRX554705,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030123,PRJNA219750,25416955,"",SRS621971,SAMN02801777,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1399609,GEO,SRA101966,06,2014,Subramaniam,whole cell lysate_total mRNA profiling,wt_noleu_di,whole cell lysate_total mRNA profiling,leuB::kan,leucine starvation,whole cell lysate,Disome protected mRNA,MG1655,GSM1399609
SRR1301052,7184193,718419300,100,360,SRX554706,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030123,PRJNA219750,25416955,"",SRS621972,SAMN02801781,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1399610,GEO,SRA101966,06,2014,Subramaniam,whole cell lysate_ribosome profiling,wt_noleu_mono,whole cell lysate_ribosome profiling,leuB::kan,leucine starvation,whole cell lysate,Monosome protected mRNA,MG1655,GSM1399610
SRR1301053,4447065,444706500,100,224,SRX554707,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030123,PRJNA219750,25416955,"",SRS621973,SAMN02801786,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1399611,GEO,SRA101966,06,2014,Subramaniam,whole cell lysate_total mRNA profiling,wt_noleu_total,whole cell lysate_total mRNA profiling,leuB::kan,leucine starvation,whole cell lysate,total mRNA,MG1655,GSM1399611
SRR1301054,6966050,696605000,100,350,SRX554708,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030123,PRJNA219750,25416955,"",SRS621974,SAMN02801787,simple,679895,Escherichia coli BW25113,GSM1399612,GEO,SRA101966,06,2014,Subramaniam,whole cell lysate_ribosome profiling,wt_noser_mono,whole cell lysate_ribosome profiling,serA::kan,serine starvation,whole cell lysate,Monosome protected mRNA,,GSM1399612
SRR1301055,5384104,274589304,51,172,SRX554709,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030123,PRJNA219750,25416955,"",SRS621975,SAMN02801784,simple,679895,Escherichia coli BW25113,GSM1399613,GEO,SRA101966,06,2014,Subramaniam,whole cell lysate_total mRNA profiling,wt_noser_total,whole cell lysate_total mRNA profiling,serA::kan,serine starvation,whole cell lysate,total mRNA,,GSM1399613
SRR1301056,4150616,415061600,100,219,SRX554710,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030123,PRJNA219750,25416955,"",SRS621976,SAMN02801779,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1399614,GEO,SRA101966,06,2014,Subramaniam,whole cell lysate_ribosome profiling,wt_yesleu_di,whole cell lysate_ribosome profiling,leuB::kan,none (rich medium control),whole cell lysate,Disome protected mRNA,MG1655,GSM1399614
SRR1301057,6768833,676883300,100,346,SRX554711,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030123,PRJNA219750,25416955,"",SRS621977,SAMN02801783,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1399615,GEO,SRA101966,06,2014,Subramaniam,whole cell lysate_ribosome profiling,wt_yesleu_mono,whole cell lysate_ribosome profiling,leuB::kan,none (rich medium control),whole cell lysate,Monosome protected mRNA,MG1655,GSM1399615
SRR1301058,4423741,442374100,100,222,SRX554712,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030123,PRJNA219750,25416955,"",SRS621978,SAMN02801785,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1399616,GEO,SRA101966,06,2014,Subramaniam,whole cell lysate_total mRNA profiling,wt_yesleu_total,whole cell lysate_total mRNA profiling,leuB::kan,none (rich medium control),whole cell lysate,total mRNA,MG1655,GSM1399616
SRR1301059,6290309,629030900,100,316,SRX554713,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030123,PRJNA219750,25416955,"",SRS621979,SAMN02801782,simple,679895,Escherichia coli BW25113,GSM1399617,GEO,SRA101966,06,2014,Subramaniam,whole cell lysate_ribosome profiling,wt_yesser_mono,whole cell lysate_ribosome profiling,serA::kan,none (rich medium control),whole cell lysate,Monosome protected mRNA,,GSM1399617
SRR1301060,5658819,288599769,51,182,SRX554714,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030123,PRJNA219750,25416955,"",SRS621980,SAMN02801780,simple,679895,Escherichia coli BW25113,GSM1399618,GEO,SRA101966,06,2014,Subramaniam,whole cell lysate_total mRNA profiling,wt_yesser_total,whole cell lysate_total mRNA profiling,serA::kan,none (rich medium control),whole cell lysate,total mRNA,,GSM1399618
