Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,passages,treatment,spike-in,library strategy,GEO Accession
SRR17007089,262103008,22386682489,26,9560,SRX13197304,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124364,SAMN23390449,simple,9606,Homo sapiens,GSM5699601,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,PLATE_screen_pool,TS543 neurosphere tissue culture,TS543 glioblastoma,11,"DMSO,PP242,AZD8055,MNK-i1,BKM120,4EGi-1,PP242+MNK-i1,PP242+BKM120,MNK-i1+BKM120",NA,OTHER: (PLATE-seq),GSM5699601
SRR17007090,337983073,28884166924,26,12102,SRX13197305,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124367,SAMN23390450,simple,9606,Homo sapiens,GSM5699602,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,riboPLATE_screen_pool,TS543 neurosphere tissue culture,TS543 glioblastoma,11,"DMSO,PP242,AZD8055,MNK-i1,BKM120,4EGi-1,PP242+MNK-i1,PP242+BKM120,MNK-i1+BKM120",NA,OTHER: (riboPLATE-seq),GSM5699602
SRR17007091,184858830,15794234572,26,7316,SRX13197306,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124365,SAMN23390458,simple,9606,Homo sapiens,GSM5699603,GEO,SRA982946,11,2021,Metz,Wi38 fibroblast culture,PLATE_ERCC_pool,Wi38 fibroblast culture,Wi38 fibroblasts,8,NA,ERCC+/-,OTHER: (PLATE-seq),GSM5699603
SRR17007092,128701992,10989970487,26,5096,SRX13197307,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124366,SAMN23390459,simple,9606,Homo sapiens,GSM5699604,GEO,SRA982946,11,2021,Metz,Wi38 fibroblast culture,riboPLATE_ERCC_pool,Wi38 fibroblast culture,Wi38 fibroblasts,8,NA,ERCC+/-,OTHER: (riboPLATE-seq),GSM5699604
SRR17007093,82230089,6234269661,75,2835,SRX13197308,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124368,SAMN23390451,simple,9606,Homo sapiens,GSM5699605,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,DMSO_30_1.RIBO,TS543 neurosphere tissue culture,TS543 glioblastoma,11,DMSO (30 min),NA,OTHER: (ribosome profiling),GSM5699605
SRR17007094,58642149,4442499773,75,2065,SRX13197309,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124369,SAMN23390452,simple,9606,Homo sapiens,GSM5699606,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,DMSO_30_2.RIBO,TS543 neurosphere tissue culture,TS543 glioblastoma,11,DMSO (30 min),NA,OTHER: (ribosome profiling),GSM5699606
SRR17007095,51584710,3903724782,75,1759,SRX13197310,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124371,SAMN23390453,simple,9606,Homo sapiens,GSM5699607,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,DMSO_30_3.RIBO,TS543 neurosphere tissue culture,TS543 glioblastoma,11,DMSO (30 min),NA,OTHER: (ribosome profiling),GSM5699607
SRR17007096,38671033,2917808056,75,1177,SRX13197311,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124374,SAMN23390454,simple,9606,Homo sapiens,GSM5699608,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,PP_30_1.RIBO,TS543 neurosphere tissue culture,TS543 glioblastoma,11,PP242 (30 min),NA,OTHER: (ribosome profiling),GSM5699608
SRR17007097,44284145,3344307125,75,1370,SRX13197312,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124370,SAMN23390455,simple,9606,Homo sapiens,GSM5699609,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,PP_30_2.RIBO,TS543 neurosphere tissue culture,TS543 glioblastoma,11,PP242 (30 min),NA,OTHER: (ribosome profiling),GSM5699609
SRR17007098,36378915,2748726474,75,1127,SRX13197313,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124372,SAMN23390456,simple,9606,Homo sapiens,GSM5699610,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,PP_30_3.RIBO,TS543 neurosphere tissue culture,TS543 glioblastoma,11,PP242 (30 min),NA,OTHER: (ribosome profiling),GSM5699610
SRR17007099,52865980,2527217672,47,1176,SRX13197314,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124373,SAMN23390457,simple,9606,Homo sapiens,GSM5699611,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,DMSO_6_3.RIBO,TS543 neurosphere tissue culture,TS543 glioblastoma,11,DMSO (6 hrs),NA,OTHER: (ribosome profiling),GSM5699611
SRR17007100,66952599,3164007288,47,1443,SRX13197315,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124375,SAMN23390460,simple,9606,Homo sapiens,GSM5699612,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,DMSO_6_4.RIBO,TS543 neurosphere tissue culture,TS543 glioblastoma,11,DMSO (6 hrs),NA,OTHER: (ribosome profiling),GSM5699612
SRR17007101,91454453,4511784177,49,1958,SRX13197316,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124377,SAMN23390461,simple,9606,Homo sapiens,GSM5699613,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,PP_6_1.RIBO,TS543 neurosphere tissue culture,TS543 glioblastoma,11,PP242 (6 hrs),NA,OTHER: (ribosome profiling),GSM5699613
SRR17007102,85096762,4218272933,49,1816,SRX13197317,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124376,SAMN23390431,simple,9606,Homo sapiens,GSM5699614,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,PP_6_3.RIBO,TS543 neurosphere tissue culture,TS543 glioblastoma,11,PP242 (6 hrs),NA,OTHER: (ribosome profiling),GSM5699614
SRR17007103,28250791,2132781561,75,976,SRX13197318,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124378,SAMN23390434,simple,9606,Homo sapiens,GSM5699615,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,DMSO_30_1.RNA,TS543 neurosphere tissue culture,TS543 glioblastoma,11,DMSO (30 min),NA,RNA-Seq,GSM5699615
SRR17007104,39022802,2946538895,75,1334,SRX13197319,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124379,SAMN23390435,simple,9606,Homo sapiens,GSM5699616,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,DMSO_30_2.RNA,TS543 neurosphere tissue culture,TS543 glioblastoma,11,DMSO (30 min),NA,RNA-Seq,GSM5699616
SRR17007105,33727067,2546430787,75,1174,SRX13197320,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124380,SAMN23390436,simple,9606,Homo sapiens,GSM5699617,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,DMSO_30_3.RNA,TS543 neurosphere tissue culture,TS543 glioblastoma,11,DMSO (30 min),NA,RNA-Seq,GSM5699617
SRR17007106,26685114,2014935347,75,918,SRX13197321,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP226588,PRJNA578863,35383235,"",SRS11124381,SAMN23390437,simple,9606,Homo sapiens,GSM5699618,GEO,SRA982946,11,2021,Metz,TS543 neurosphere tissue culture,PP_30_1.RNA,TS543 neurosphere tissue culture,TS543 glioblastoma,11,PP242 (30 min),NA,RNA-Seq,GSM5699618
